tipo_celular,module_size,KLHDC10_MM,KLHDC10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,249,0.108,16.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69),NA,2.88
T cells 18,610,0.134,36.0,98,35,35.71,2.31 (1.86-2.77),63,64.29,3.65 (3.28-4.02),6.62,2.60
astrocytes 5,932,0.116,62.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285,0.129,40.0,353,45,12.75,2.31 (1.91-2.71),308,87.25,4.20 (4.02-4.39),27.01,5.30
GABA neurons expressing GLU receptors 22,599,0.174,30.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,380,0.165,44.0,39,11,28.21,3.52 (3.07-3.98),28,71.79,2.72 (1.97-3.48),2.10,2.75
da like neurons 11,140,0.273,66.0,1,0,0.0,NA,1,100.0,NA,NA,1.72
GABA neurons expressing GABA receptors 13,200,0.138,39.0,34,2,5.88,3.53 (3.29-3.77),32,94.12,3.92 (2.96-4.88),1.78,3.60
endothelial cells 9,1653,0.082,15.0,297,2,0.67,4.54 (4.34-4.75),295,99.33,3.67 (3.46-3.87),7.69,5.50
oligodendrocytes 20,279,0.159,29.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13),NA,3.48
GABA like neurons 14,1300,0.136,18.0,306,18,5.88,2.32 (1.76-2.87),288,94.12,5.34 (5.09-5.60),5.59,6.78
astrocytes 8,283,0.091,23.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303,0.064,31.0,276,37,13.41,2.58 (2.18-2.99),239,86.59,3.75 (3.51-3.99),13.54,3.81
oligodendrocytes 10,735,0.148,75.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,82,0.215,15.0,19,0,0.0,NA,19,100.0,7.57 (7.32-7.82),NA,1.85
astrocytes 15,1401,0.086,51.0,96,3,3.12,2.03 (1.77-2.28),93,96.88,3.68 (3.21-4.14),3.43,3.81
oligodendrocytes 16,113,0.175,46.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71),NA,1.74
da neurons 6,553,0.186,80.0,124,2,1.61,2.28 (-1.40-5.95),122,98.39,4.23 (3.83-4.62),3.10,3.03
astrocytes microglia 23,83,0.256,21.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721,0.169,81.0,61,9,14.75,3.60 (2.89-4.31),52,85.25,2.85 (2.38-3.31),3.15,6.52
oligodendrocytes 0,2078,0.11,42.0,238,6,2.52,3.10 (1.76-4.43),232,97.48,3.65 (3.43-3.88),8.42,4.93
microglia 1,813,0.086,12.0,79,1,1.27,2.76 (NA-NA),78,98.73,3.11 (2.70-3.51),5.40,7.93
oligodendrocytes 3,1003,0.062,13.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,804,0.112,8.0,84,17,20.24,2.73 (2.05-3.41),67,79.76,2.67 (2.28-3.06),3.01,3.49
