tipo_celular,module_size,RUSC2_MM,RUSC2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,125.0,0.202,44.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA),NA,3.32
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.114,58.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.13,42.0,353,11,3.12,0.70 (0.32-1.07),342,96.88,3.99 (3.81-4.17),36.46,7.15
GABA neurons expressing GLU receptors 22,703.0,0.135,22.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80),NA,3.93
GLU like neurons 17,1247.0,0.099,24.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,94.0,0.269,60.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,288.0,0.09,5.0,93,0,0.0,NA,93,100.0,5.15 (4.65-5.64),NA,3.95
endothelial cells 9,1653.0,0.141,61.0,297,2,0.67,NA,295,99.33,3.67 (3.47-3.88),3.40,5.53
oligodendrocytes 20,295.0,0.156,36.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65),NA,3.07
GABA like neurons 14,3052.0,0.177,81.0,125,1,0.8,NA,124,99.2,3.35 (3.03-3.68),1.60,8.67
astrocytes 8,1266.0,0.044,10.0,66,5,7.58,0.56 (0.36-0.76),61,92.42,3.48 (3.09-3.88),3.92,2.87
oligodendrocyte progenitor cells 12,708.0,0.035,4.0,25,0,0.0,NA,25,100.0,2.87 (1.90-3.84),NA,2.54
oligodendrocytes 10,806.0,0.06,11.0,261,7,2.68,3.18 (3.18-3.18),254,97.32,4.38 (4.14-4.63),8.48,6.00
connective tissue cells 21,152.0,0.265,56.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52),NA,2.22
astrocytes 15,1768.0,0.074,38.0,105,2,1.9,1.25 (-0.12-2.62),103,98.1,3.25 (2.92-3.59),4.52,3.97
oligodendrocytes 16,91.0,0.207,46.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518.0,0.111,52.0,122,12,9.84,1.74 (0.84-2.63),110,90.16,4.20 (3.81-4.59),2.10,3.63
astrocytes microglia 23,28.0,0.448,71.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.125,9.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,2078.0,0.107,35.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86),NA,5.02
microglia 1,958.0,0.08,7.0,290,0,0.0,NA,290,100.0,3.81 (3.58-4.04),NA,5.00
oligodendrocytes 3,1003.0,0.086,40.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,921.0,0.117,19.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89),NA,3.46
