tipo_celular,module_size,B2M_MM,B2M_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235,0.167,30.0,140,43,30.71,4.21 (3.90-4.53),97,69.29,4.73 (4.34-5.12),4.07,3.31
T cells 18,506,0.664,100.0,225,76,33.78,3.52 (3.12-3.92),149,66.22,3.65 (3.34-3.97),7.40,8.16
astrocytes 5,328,0.193,63.0,128,7,5.47,4.00 (2.85-5.15),121,94.53,3.54 (3.19-3.90),4.87,6.87
oligodendrocyte progenitor cells 7,628,0.477,99.0,164,40,24.39,4.22 (3.79-4.65),124,75.61,4.04 (3.63-4.45),4.35,8.55
GABA neurons expressing GLU receptors 22,400,0.11,7.0,24,12,50.0,1.33 (0.72-1.94),12,50.0,2.98 (2.50-3.47),4.94,2.22
GLU like neurons 17,685,0.506,99.0,135,34,25.19,2.04 (1.71-2.36),101,74.81,3.57 (3.21-3.92),4.67,3.44
da like neurons 11,408,0.218,60.0,25,10,40.0,1.69 (0.64-2.74),15,60.0,6.56 (5.47-7.65),2.01,2.46
GABA neurons expressing GABA receptors 13,417,0.218,79.0,213,41,19.25,2.36 (1.87-2.84),172,80.75,4.14 (3.90-4.39),7.74,10.15
endothelial cells 9,559,0.707,100.0,155,27,17.42,5.20 (4.43-5.97),128,82.58,4.23 (3.83-4.62),2.73,4.67
oligodendrocytes 20,938,0.151,62.0,169,34,20.12,3.01 (2.48-3.54),135,79.88,3.57 (3.33-3.81),6.38,5.11
GABA like neurons 14,2402,0.115,13.0,455,71,15.6,3.18 (2.76-3.60),384,84.4,4.60 (4.40-4.79),15.32,7.64
astrocytes 8,603,0.237,93.0,89,11,12.36,2.10 (1.28-2.92),78,87.64,2.88 (2.50-3.26),4.70,6.23
oligodendrocyte progenitor cells 12,103,0.406,25.0,9,3,33.33,5.41 (5.28-5.54),6,66.67,2.24 (0.06-4.41),1.99,3.26
oligodendrocytes 10,483,0.495,96.0,129,9,6.98,4.46 (3.58-5.34),120,93.02,3.35 (2.94-3.76),14.10,19.57
connective tissue cells 21,301,0.578,90.0,158,23,14.56,3.34 (2.57-4.11),135,85.44,4.42 (4.01-4.82),8.91,6.75
astrocytes 15,1768,0.141,89.0,105,25,23.81,1.99 (1.59-2.40),80,76.19,3.64 (3.25-4.02),5.87,3.39
oligodendrocytes 16,108,0.169,45.0,5,1,20.0,2.46 (NA-NA),4,80.0,4.35 (3.43-5.27),1.55,2.78
da neurons 6,729,0.153,51.0,182,8,4.4,2.15 (1.49-2.81),174,95.6,3.70 (3.44-3.96),8.34,8.53
astrocytes microglia 23,137,0.562,94.0,188,91,48.4,4.46 (3.96-4.95),97,51.6,4.22 (3.75-4.69),4.07,10.03
astrocytes 4,208,0.202,54.0,173,37,21.39,3.92 (3.55-4.29),136,78.61,3.77 (3.43-4.12),2.96,6.34
oligodendrocytes 0,546,0.314,92.0,252,67,26.59,2.96 (2.54-3.39),185,73.41,4.53 (4.26-4.80),10.23,7.48
microglia 1,406,0.491,88.0,278,59,21.22,5.46 (4.96-5.97),219,78.78,4.10 (3.80-4.40),4.31,7.39
oligodendrocytes 3,303,0.261,90.0,154,6,3.9,4.75 (2.70-6.81),148,96.1,3.59 (3.27-3.91),15.23,11.70
oligodendrocytes 2,528,0.478,98.0,175,51,29.14,3.84 (3.48-4.20),124,70.86,4.66 (4.17-5.14),8.02,3.22
