tipo_celular,module_size,AP1G1_MM,AP1G1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,184,0.216,55.0,21,10,47.62,1.89 (0.79-2.99),11,52.38,2.71 (2.15-3.27),2.25,1.78
T cells 18,610,0.147,46.0,98,25,25.51,2.58 (1.88-3.29),73,74.49,3.32 (2.98-3.65),5.97,3.37
astrocytes 5,1141,0.114,26.0,166,10,6.02,2.24 (0.89-3.59),156,93.98,3.45 (3.20-3.70),4.57,4.55
oligodendrocyte progenitor cells 7,4285,0.144,63.0,353,48,13.6,2.88 (2.42-3.33),305,86.4,4.09 (3.90-4.28),16.30,6.77
GABA neurons expressing GLU receptors 22,567,0.136,23.0,16,5,31.25,2.47 (2.02-2.92),11,68.75,1.77 (0.87-2.68),1.51,4.60
GLU like neurons 17,1316,0.134,59.0,101,3,2.97,3.17 (2.85-3.49),98,97.03,3.05 (2.68-3.41),2.19,3.08
da like neurons 11,215,0.211,57.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52),NA,5.38
GABA neurons expressing GABA receptors 13,86,0.171,57.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72),NA,4.82
endothelial cells 9,1653,0.128,50.0,297,6,2.02,5.52 (4.17-6.87),291,97.98,3.65 (3.45-3.85),3.90,5.55
oligodendrocytes 20,221,0.201,53.0,12,3,25.0,5.86 (5.64-6.08),9,75.0,0.94 (0.08-1.80),2.02,4.97
GABA like neurons 14,3052,0.142,53.0,125,2,1.6,3.81 (NA-NA),123,98.4,3.35 (3.02-3.67),1.97,8.72
astrocytes 8,577,0.059,27.0,83,1,1.2,0.87 (NA-NA),82,98.8,3.29 (2.84-3.74),1.30,4.51
oligodendrocyte progenitor cells 12,708,0.066,22.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08),1.92,2.59
oligodendrocytes 10,2107,0.064,11.0,358,45,12.57,2.62 (2.12-3.13),313,87.43,4.09 (3.89-4.28),13.97,8.83
connective tissue cells 21,118,0.228,12.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA),NA,3.19
astrocytes 15,1401,0.014,1.0,96,9,9.38,2.64 (2.02-3.27),87,90.62,3.71 (3.22-4.19),2.90,3.89
oligodendrocytes 16,92,0.154,25.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518,0.139,77.0,122,31,25.41,2.39 (1.97-2.80),91,74.59,4.79 (4.36-5.22),4.85,3.02
astrocytes microglia 23,115,0.287,36.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787,0.15,48.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37),1.77,5.81
oligodendrocytes 0,1186,0.143,47.0,300,9,3.0,3.74 (2.77-4.70),291,97.0,3.79 (3.58-4.00),2.23,4.22
microglia 1,958,0.125,71.0,290,22,7.59,2.64 (2.17-3.10),268,92.41,3.94 (3.70-4.18),5.18,4.99
oligodendrocytes 3,1003,0.085,39.0,111,1,0.9,4.85 (NA-NA),110,99.1,3.29 (2.94-3.63),3.41,4.24
oligodendrocytes 2,921,0.13,36.0,200,13,6.5,3.23 (2.70-3.76),187,93.5,3.66 (3.37-3.94),4.25,3.41
