tipo_celular,module_size,CAMSAP2_MM,CAMSAP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,181.0,0.104,2.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07),NA,4.68
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.138,61.0,166,13,7.83,2.22 (1.33-3.12),153,92.17,3.49 (3.24-3.75),4.60,4.54
oligodendrocyte progenitor cells 7,436.0,0.09,23.0,219,26,11.87,4.77 (4.04-5.50),193,88.13,5.29 (4.97-5.60),7.25,4.26
GABA neurons expressing GLU receptors 22,459.0,0.168,55.0,165,11,6.67,2.38 (1.58-3.17),154,93.33,5.30 (4.96-5.63),5.00,4.02
GLU like neurons 17,795.0,0.103,32.0,80,6,7.5,4.39 (4.27-4.50),74,92.5,5.78 (5.35-6.21),2.32,3.07
da like neurons 11,142.0,0.436,91.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA),NA,1.71
GABA neurons expressing GABA receptors 13,238.0,0.239,81.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,1653.0,0.178,82.0,297,3,1.01,3.79 (NA-NA),294,98.99,3.67 (3.47-3.88),5.21,5.52
oligodendrocytes 20,279.0,0.146,26.0,16,1,6.25,4.17 (NA-NA),15,93.75,2.26 (1.50-3.01),1.42,3.62
GABA like neurons 14,1300.0,0.137,19.0,306,47,15.36,3.95 (3.34-4.56),259,84.64,5.35 (5.07-5.63),11.84,5.77
astrocytes 8,577.0,0.054,22.0,83,1,1.2,0.87 (NA-NA),82,98.8,3.29 (2.84-3.74),1.30,4.51
oligodendrocyte progenitor cells 12,254.0,0.23,35.0,37,6,16.22,3.59 (2.88-4.30),31,83.78,4.71 (4.04-5.39),2.44,2.48
oligodendrocytes 10,806.0,0.1,27.0,261,38,14.56,5.14 (4.63-5.65),223,85.44,4.22 (3.96-4.49),4.39,6.35
connective tissue cells 21,85.0,0.196,9.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75),NA,3.74
astrocytes 15,1768.0,0.159,94.0,105,8,7.62,1.71 (1.09-2.34),97,92.38,3.35 (3.00-3.69),3.62,4.01
oligodendrocytes 16,81.0,0.244,87.0,3,0,0.0,NA,3,100.0,NA,NA,2.28
da neurons 6,553.0,0.176,76.0,124,11,8.87,5.03 (3.00-7.06),113,91.13,4.12 (3.73-4.52),2.58,3.08
astrocytes microglia 23,190.0,0.206,11.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92),NA,1.81
astrocytes 4,752.0,0.15,45.0,96,12,12.5,3.49 (2.64-4.34),84,87.5,3.26 (2.90-3.62),2.75,4.54
oligodendrocytes 0,1186.0,0.181,93.0,300,6,2.0,3.56 (2.66-4.47),294,98.0,3.80 (3.59-4.01),6.74,4.10
microglia 1,958.0,0.12,63.0,290,14,4.83,2.23 (1.68-2.77),276,95.17,3.92 (3.68-4.15),4.84,5.01
oligodendrocytes 3,854.0,0.089,49.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,804.0,0.138,33.0,84,9,10.71,2.44 (1.33-3.55),75,89.29,2.72 (2.37-3.07),2.49,3.51
