tipo_celular,module_size,CDS2_MM,CDS2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401,0.264,90.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,388,0.119,31.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30),NA,4.32
astrocytes 5,1141,0.098,13.0,166,10,6.02,1.78 (0.98-2.58),156,93.98,3.52 (3.26-3.77),4.74,4.54
oligodendrocyte progenitor cells 7,4285,0.112,19.0,353,33,9.35,2.38 (1.78-2.98),320,90.65,4.10 (3.92-4.28),20.75,6.76
GABA neurons expressing GLU receptors 22,203,0.205,29.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97),NA,3.80
GLU like neurons 17,1316,0.117,44.0,101,3,2.97,2.50 (2.08-2.91),98,97.03,3.07 (2.71-3.44),2.33,3.08
da like neurons 11,1220,0.108,19.0,410,21,5.12,2.80 (2.41-3.19),389,94.88,4.36 (4.17-4.55),13.21,7.21
GABA neurons expressing GABA receptors 13,265,0.097,9.0,78,6,7.69,3.43 (2.85-4.00),72,92.31,4.46 (4.01-4.91),3.58,4.32
endothelial cells 9,338,0.078,18.0,191,2,1.05,2.97 (1.51-4.43),189,98.95,3.90 (3.67-4.12),3.77,9.21
oligodendrocytes 20,279,0.164,32.0,16,1,6.25,3.48 (NA-NA),15,93.75,2.30 (1.52-3.09),1.81,3.59
GABA like neurons 14,2402,0.153,26.0,455,30,6.59,2.26 (1.75-2.77),425,93.41,4.55 (4.37-4.73),23.42,7.81
astrocytes 8,577,0.07,37.0,83,2,2.41,3.18 (1.90-4.45),81,97.59,3.25 (2.79-3.71),2.98,4.51
oligodendrocyte progenitor cells 12,3303,0.076,47.0,276,24,8.7,3.25 (2.56-3.93),252,91.3,3.58 (3.35-3.81),6.99,4.93
oligodendrocytes 10,806,0.116,33.0,261,16,6.13,2.64 (2.22-3.06),245,93.87,4.52 (4.27-4.77),5.76,6.08
connective tissue cells 21,111,0.213,10.0,26,2,7.69,2.60 (2.45-2.75),24,92.31,2.52 (1.78-3.25),3.01,2.10
astrocytes 15,443,0.133,36.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,64,0.207,62.0,1,0,0.0,NA,1,100.0,2.12 (NA-NA),NA,1.77
da neurons 6,307,0.162,79.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28),NA,3.36
astrocytes microglia 23,42,0.206,5.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,752,0.123,12.0,96,2,2.08,3.80 (3.76-3.83),94,97.92,3.28 (2.94-3.61),2.87,4.35
oligodendrocytes 0,1186,0.13,28.0,300,3,1.0,3.49 (2.90-4.09),297,99.0,3.80 (3.59-4.00),3.72,4.16
microglia 1,346,0.177,66.0,43,1,2.33,4.41 (NA-NA),42,97.67,3.75 (3.23-4.27),1.35,4.56
oligodendrocytes 3,639,0.079,35.0,15,11,73.33,2.92 (1.54-4.31),4,26.67,5.46 (1.07-9.84),2.39,1.76
oligodendrocytes 2,804,0.123,16.0,84,10,11.9,2.05 (1.30-2.79),74,88.1,2.80 (2.43-3.17),3.59,3.37
