tipo_celular,module_size,APOE_MM,APOE_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235,0.26,59.0,140,46,32.86,4.48 (4.02-4.95),94,67.14,4.60 (4.24-4.96),4.26,3.19
T cells 18,506,0.129,24.0,225,57,25.33,3.71 (3.30-4.13),168,74.67,3.56 (3.25-3.87),7.38,8.08
astrocytes 5,328,0.617,100.0,128,18,14.06,4.39 (3.66-5.12),110,85.94,3.43 (3.05-3.80),3.31,7.33
oligodendrocyte progenitor cells 7,200,0.258,79.0,16,3,18.75,4.22 (0.91-7.52),13,81.25,3.85 (3.15-4.55),1.61,4.90
GABA neurons expressing GLU receptors 22,192,0.208,79.0,55,7,12.73,2.90 (1.32-4.49),48,87.27,4.22 (3.82-4.61),1.60,3.58
GLU like neurons 17,685,0.213,80.0,135,69,51.11,3.18 (2.81-3.56),66,48.89,3.20 (2.69-3.70),3.53,3.98
da like neurons 11,408,0.141,40.0,25,19,76.0,4.77 (3.24-6.30),6,24.0,3.74 (2.44-5.04),2.22,2.47
GABA neurons expressing GABA receptors 13,417,0.119,17.0,213,47,22.07,2.52 (1.99-3.04),166,77.93,4.16 (3.93-4.40),6.98,10.45
endothelial cells 9,916,0.276,67.0,302,20,6.62,4.04 (3.07-5.02),282,93.38,3.98 (3.74-4.21),6.82,10.92
oligodendrocytes 20,348,0.13,51.0,33,5,15.15,3.40 (2.80-4.01),28,84.85,2.60 (2.04-3.16),2.07,3.62
GABA like neurons 14,2402,0.205,43.0,455,82,18.02,3.47 (3.07-3.86),373,81.98,4.61 (4.41-4.81),15.09,7.46
astrocytes 8,603,0.467,100.0,89,11,12.36,1.68 (0.98-2.39),78,87.64,2.91 (2.54-3.29),4.49,6.26
oligodendrocyte progenitor cells 12,3303,0.093,67.0,276,71,25.72,2.62 (2.37-2.88),205,74.28,4.00 (3.73-4.27),8.18,4.05
oligodendrocytes 10,483,0.304,83.0,129,6,4.65,3.98 (3.39-4.57),123,95.35,3.39 (2.98-3.81),9.57,19.66
connective tissue cells 21,301,0.376,51.0,158,44,27.85,4.30 (3.80-4.81),114,72.15,4.23 (3.73-4.72),5.44,7.70
astrocytes 15,1768,0.158,93.0,105,34,32.38,2.33 (1.94-2.72),71,67.62,3.69 (3.26-4.12),6.04,2.99
oligodendrocytes 16,96,0.324,87.0,102,23,22.55,1.96 (1.44-2.49),79,77.45,3.75 (3.41-4.09),5.25,8.37
da neurons 6,729,0.067,6.0,182,7,3.85,2.15 (1.49-2.81),175,96.15,3.70 (3.44-3.96),7.21,8.57
astrocytes microglia 23,137,0.626,99.0,188,36,19.15,2.95 (2.37-3.53),152,80.85,4.83 (4.47-5.20),6.15,7.38
astrocytes 4,208,0.609,100.0,173,28,16.18,4.54 (4.02-5.05),145,83.82,3.62 (3.28-3.96),3.12,6.10
oligodendrocytes 0,546,0.169,49.0,252,71,28.17,3.35 (2.88-3.82),181,71.83,4.43 (4.16-4.71),8.88,7.95
microglia 1,406,0.609,99.0,278,32,11.51,4.94 (4.49-5.38),246,88.49,4.26 (3.95-4.57),3.79,7.12
oligodendrocytes 3,303,0.262,90.0,154,4,2.6,5.14 (2.99-7.30),150,97.4,3.58 (3.26-3.90),12.28,11.83
oligodendrocytes 2,99,0.164,20.0,116,5,4.31,4.09 (2.28-5.91),111,95.69,3.95 (3.64-4.25),2.63,7.44
