tipo_celular,module_size,TF_MM,TF_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.61,97.0,15,2,13.33,NA,13,86.67,5.79 (5.09-6.49),2.03,2.38
T cells 18,349,0.435,90.0,68,14,20.59,2.42 (1.62-3.22),54,79.41,4.96 (4.39-5.52),2.75,3.46
astrocytes 5,165,0.236,68.0,51,2,3.92,5.10 (NA-NA),49,96.08,5.35 (4.67-6.04),1.62,3.01
oligodendrocyte progenitor cells 7,229,0.454,95.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62),NA,5.36
GABA neurons expressing GLU receptors 22,567,0.386,90.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,637,0.604,99.0,91,16,17.58,2.10 (1.08-3.12),75,82.42,5.24 (4.78-5.69),3.50,2.96
da like neurons 11,408,0.607,95.0,25,8,32.0,1.20 (0.74-1.66),17,68.0,6.45 (5.43-7.48),2.28,2.28
GABA neurons expressing GABA receptors 13,288,0.305,84.0,93,7,7.53,1.85 (1.10-2.60),86,92.47,5.51 (5.04-5.97),3.31,4.00
endothelial cells 9,450,0.591,92.0,74,5,6.76,3.78 (2.20-5.37),69,93.24,5.61 (5.04-6.18),2.43,3.72
oligodendrocytes 20,938,0.192,78.0,169,26,15.38,3.02 (2.39-3.66),143,84.62,3.54 (3.31-3.78),6.43,5.17
GABA like neurons 14,3052,0.063,4.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,771,0.565,95.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,708,0.651,100.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,204,0.553,88.0,92,5,5.43,3.31 (1.78-4.84),87,94.57,5.84 (5.37-6.30),4.20,3.69
connective tissue cells 21,250,0.526,80.0,117,11,9.4,3.22 (2.12-4.31),106,90.6,5.63 (5.24-6.02),3.56,3.76
astrocytes 15,458,0.29,92.0,36,3,8.33,3.95 (2.83-5.06),33,91.67,3.75 (2.56-4.94),1.91,2.63
oligodendrocytes 16,199,0.235,89.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66),NA,4.76
da neurons 6,398,0.365,91.0,138,11,7.97,1.88 (0.93-2.83),127,92.03,5.10 (4.75-5.45),2.64,2.74
astrocytes microglia 23,122,0.285,48.0,46,3,6.52,4.42 (3.84-4.99),43,93.48,5.08 (4.48-5.68),2.07,3.29
astrocytes 4,102,0.177,40.0,42,2,4.76,NA,40,95.24,5.68 (4.96-6.40),1.43,3.25
oligodendrocytes 0,546,0.316,92.0,252,42,16.67,2.80 (2.22-3.38),210,83.33,4.36 (4.10-4.62),12.01,7.45
microglia 1,127,0.432,89.0,24,3,12.5,2.53 (2.34-2.73),21,87.5,5.48 (4.84-6.12),2.14,2.52
oligodendrocytes 3,242,0.231,83.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94),NA,2.04
oligodendrocytes 2,528,0.488,98.0,175,33,18.86,3.56 (3.07-4.04),142,81.14,4.60 (4.18-5.01),8.80,3.65
