tipo_celular,module_size,PITPNB_MM,PITPNB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360,0.149,32.0,102,5,4.9,1.63 (0.63-2.62),97,95.1,3.60 (3.23-3.97),4.89,2.94
T cells 18,624,0.147,46.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,1141,0.123,37.0,166,6,3.61,1.32 (-0.08-2.72),160,96.39,3.49 (3.24-3.73),4.70,4.54
oligodendrocyte progenitor cells 7,4285,0.143,62.0,353,24,6.8,1.87 (1.31-2.42),329,93.2,4.08 (3.90-4.27),25.23,6.81
GABA neurons expressing GLU receptors 22,848,0.143,20.0,262,13,4.96,2.33 (1.59-3.07),249,95.04,4.30 (4.05-4.54),4.62,4.08
GLU like neurons 17,1316,0.194,92.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,853,0.071,7.0,133,10,7.52,1.40 (0.48-2.32),123,92.48,3.43 (3.12-3.75),5.27,4.07
GABA neurons expressing GABA receptors 13,77,0.19,64.0,2,0,0.0,NA,2,100.0,NA,NA,1.47
endothelial cells 9,412,0.202,60.0,141,2,1.42,2.50 (1.68-3.31),139,98.58,2.97 (2.73-3.21),1.65,6.89
oligodendrocytes 20,275,0.158,33.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,2402,0.172,32.0,455,22,4.84,2.23 (1.58-2.88),433,95.16,4.49 (4.31-4.68),23.78,8.08
astrocytes 8,520,0.043,8.0,288,12,4.17,2.49 (1.93-3.06),276,95.83,4.27 (4.07-4.47),8.43,4.52
oligodendrocyte progenitor cells 12,3303,0.101,76.0,276,12,4.35,2.28 (1.57-2.98),264,95.65,3.62 (3.40-3.84),9.70,4.90
oligodendrocytes 10,2107,0.068,12.0,358,18,5.03,1.54 (0.92-2.17),340,94.97,4.03 (3.84-4.21),26.79,8.56
connective tissue cells 21,93,0.187,7.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.92
astrocytes 15,1401,0.082,46.0,96,2,2.08,2.11 (1.89-2.34),94,97.92,3.65 (3.19-4.11),4.01,3.79
oligodendrocytes 16,313,0.078,1.0,291,13,4.47,2.25 (1.87-2.62),278,95.53,4.46 (4.23-4.68),6.25,3.70
da neurons 6,553,0.161,70.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61),3.77,3.03
astrocytes microglia 23,96,0.289,32.0,3,1,33.33,NA,2,66.67,1.95 (-1.12-5.03),1.88,7.20
astrocytes 4,721,0.133,17.0,61,3,4.92,1.74 (1.73-1.75),58,95.08,3.01 (2.59-3.43),2.67,6.19
oligodendrocytes 0,1186,0.122,19.0,300,2,0.67,2.06 (NA-NA),298,99.33,3.80 (3.59-4.01),1.67,4.17
microglia 1,958,0.15,90.0,290,6,2.07,2.64 (1.63-3.65),284,97.93,3.85 (3.61-4.08),4.84,5.00
oligodendrocytes 3,1003,0.082,35.0,111,1,0.9,4.85 (NA-NA),110,99.1,3.29 (2.94-3.63),3.41,4.24
oligodendrocytes 2,921,0.145,64.0,200,4,2.0,2.71 (1.29-4.12),196,98.0,3.64 (3.37-3.91),2.25,3.49
