tipo_celular,module_size,RANGAP1_MM,RANGAP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178,0.262,74.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,477,0.191,69.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,423,0.089,6.0,80,2,2.5,1.04 (NA-NA),78,97.5,3.44 (2.96-3.91),2.91,5.07
oligodendrocyte progenitor cells 7,666,0.201,73.0,127,16,12.6,3.07 (2.12-4.02),111,87.4,3.99 (3.65-4.34),3.65,6.15
GABA neurons expressing GLU receptors 22,487,0.434,95.0,73,3,4.11,1.56 (1.55-1.57),70,95.89,2.81 (2.42-3.21),3.16,7.51
GLU like neurons 17,1247,0.188,79.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,108,0.15,29.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15),NA,3.13
GABA neurons expressing GABA receptors 13,265,0.147,43.0,78,9,11.54,3.84 (2.71-4.97),69,88.46,4.45 (4.01-4.89),4.67,4.21
endothelial cells 9,385,0.083,26.0,275,38,13.82,1.98 (1.55-2.40),237,86.18,4.37 (4.11-4.63),9.73,5.27
oligodendrocytes 20,279,0.164,31.0,16,3,18.75,3.83 (3.16-4.50),13,81.25,2.16 (1.37-2.96),1.68,3.90
GABA like neurons 14,2402,0.172,32.0,455,44,9.67,2.92 (2.29-3.54),411,90.33,4.55 (4.37-4.73),18.90,7.76
astrocytes 8,520,0.111,47.0,288,34,11.81,3.34 (2.74-3.94),254,88.19,4.30 (4.10-4.51),8.00,4.24
oligodendrocyte progenitor cells 12,3303,0.058,24.0,276,42,15.22,2.54 (2.14-2.95),234,84.78,3.77 (3.53-4.01),10.06,4.22
oligodendrocytes 10,735,0.159,79.0,277,2,0.72,6.69 (6.29-7.09),275,99.28,3.87 (3.62-4.11),2.61,8.99
connective tissue cells 21,69,0.264,33.0,1,0,0.0,NA,1,100.0,NA,NA,1.82
astrocytes 15,1401,0.041,9.0,96,11,11.46,3.70 (2.11-5.29),85,88.54,3.60 (3.13-4.07),3.60,3.82
oligodendrocytes 16,313,0.169,28.0,291,25,8.59,3.58 (2.94-4.22),266,91.41,4.41 (4.18-4.65),6.45,3.57
da neurons 6,300,0.136,42.0,159,2,1.26,6.49 (6.49-6.49),157,98.74,4.33 (4.02-4.64),2.95,3.74
astrocytes microglia 23,63,0.304,41.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807,0.131,25.0,104,23,22.12,2.09 (1.56-2.63),81,77.88,3.10 (2.79-3.42),9.42,4.26
oligodendrocytes 0,613,0.105,12.0,127,14,11.02,3.06 (2.50-3.62),113,88.98,3.05 (2.57-3.53),2.83,6.70
microglia 1,958,0.13,76.0,290,30,10.34,3.36 (2.79-3.92),260,89.66,3.88 (3.63-4.13),6.94,4.78
oligodendrocytes 3,457,0.042,4.0,345,35,10.14,3.97 (3.43-4.52),310,89.86,4.32 (4.09-4.54),6.97,5.55
oligodendrocytes 2,921,0.139,53.0,200,21,10.5,3.54 (3.07-4.02),179,89.5,3.63 (3.34-3.93),5.57,3.22
