tipo_celular,module_size,DDB1_MM,DDB1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352,0.14,29.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91),NA,3.22
T cells 18,477,0.093,7.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,1141,0.073,1.0,166,57,34.34,3.00 (2.64-3.37),109,65.66,3.67 (3.33-4.00),6.04,3.77
oligodendrocyte progenitor cells 7,4285,0.129,41.0,353,79,22.38,2.72 (2.39-3.04),274,77.62,4.37 (4.18-4.56),19.10,4.88
GABA neurons expressing GLU receptors 22,848,0.229,57.0,262,37,14.12,3.26 (2.77-3.75),225,85.88,4.34 (4.07-4.61),6.24,3.75
GLU like neurons 17,380,0.17,48.0,39,11,28.21,3.52 (3.07-3.98),28,71.79,2.72 (1.97-3.48),2.10,2.75
da like neurons 11,1220,0.143,35.0,410,31,7.56,3.49 (3.03-3.96),379,92.44,4.32 (4.12-4.52),12.27,7.13
GABA neurons expressing GABA receptors 13,357,0.148,41.0,237,3,1.27,4.37 (3.31-5.43),234,98.73,4.41 (4.17-4.64),4.24,4.18
endothelial cells 9,385,0.095,41.0,275,72,26.18,2.52 (2.18-2.86),203,73.82,4.71 (4.44-4.99),8.79,4.85
oligodendrocytes 20,271,0.134,30.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,2402,0.188,37.0,455,59,12.97,2.94 (2.49-3.39),396,87.03,4.62 (4.43-4.81),15.67,7.82
astrocytes 8,603,0.098,64.0,89,9,10.11,1.39 (1.01-1.78),80,89.89,2.98 (2.61-3.35),5.32,6.12
oligodendrocyte progenitor cells 12,3303,0.087,61.0,276,66,23.91,2.69 (2.40-2.98),210,76.09,3.93 (3.66-4.20),10.22,3.51
oligodendrocytes 10,735,0.148,75.0,277,8,2.89,5.07 (3.86-6.29),269,97.11,3.87 (3.62-4.11),2.04,9.15
connective tissue cells 21,139,0.325,66.0,6,1,16.67,NA,5,83.33,1.24 (-0.25-2.73),1.37,2.18
astrocytes 15,1768,0.053,17.0,105,38,36.19,2.56 (2.15-2.98),67,63.81,3.63 (3.18-4.08),6.13,2.76
oligodendrocytes 16,113,0.207,49.0,10,3,30.0,4.05 (1.83-6.27),7,70.0,2.46 (1.99-2.93),2.13,1.78
da neurons 6,300,0.205,65.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67),NA,3.73
astrocytes microglia 23,122,0.231,10.0,5,3,60.0,NA,2,40.0,1.94 (-0.80-4.68),1.41,2.13
astrocytes 4,721,0.141,30.0,61,10,16.39,3.53 (2.88-4.18),51,83.61,2.85 (2.37-3.32),3.09,6.60
oligodendrocytes 0,2078,0.095,15.0,238,26,10.92,3.75 (3.19-4.31),212,89.08,3.62 (3.38-3.86),5.60,4.95
microglia 1,958,0.089,17.0,290,24,8.28,2.89 (2.24-3.55),266,91.72,3.91 (3.67-4.15),4.56,5.04
oligodendrocytes 3,743,0.05,8.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630,0.12,14.0,154,3,1.95,3.44 (2.46-4.42),151,98.05,3.24 (2.97-3.51),2.13,3.62
