tipo_celular,module_size,GDI1_MM,GDI1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,181,0.413,100.0,8,1,12.5,2.91 (NA-NA),7,87.5,1.04 (0.29-1.79),2.04,5.05
T cells 18,349,0.095,16.0,68,25,36.76,4.64 (3.68-5.60),43,63.24,4.12 (3.52-4.72),2.43,3.83
astrocytes 5,228,0.109,17.0,266,24,9.02,3.66 (2.87-4.44),242,90.98,4.17 (3.96-4.39),5.50,4.93
oligodendrocyte progenitor cells 7,296,0.173,45.0,251,0,0.0,NA,251,100.0,4.07 (3.83-4.30),NA,6.15
GABA neurons expressing GLU receptors 22,848,0.183,38.0,262,33,12.6,5.15 (4.33-5.98),229,87.4,3.97 (3.73-4.20),5.08,3.96
GLU like neurons 17,1316,0.135,60.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,1220,0.192,54.0,410,16,3.9,4.26 (3.29-5.23),394,96.1,4.25 (4.06-4.44),8.64,7.47
GABA neurons expressing GABA receptors 13,265,0.109,16.0,78,8,10.26,3.68 (2.39-4.98),70,89.74,4.46 (4.03-4.89),4.75,4.21
endothelial cells 9,338,0.173,65.0,191,3,1.57,4.12 (2.10-6.13),188,98.43,3.88 (3.65-4.11),5.40,9.22
oligodendrocytes 20,938,0.081,28.0,169,6,3.55,2.07 (0.86-3.28),163,96.45,3.54 (3.33-3.76),2.69,5.46
GABA like neurons 14,2402,0.478,87.0,455,15,3.3,3.90 (2.85-4.96),440,96.7,4.36 (4.17-4.55),18.62,8.50
astrocytes 8,520,0.166,64.0,288,16,5.56,4.05 (3.14-4.96),272,94.44,4.18 (3.98-4.39),8.65,4.45
oligodendrocyte progenitor cells 12,1049,0.042,9.0,235,2,0.85,5.02 (4.68-5.35),233,99.15,3.81 (3.58-4.04),2.00,7.66
oligodendrocytes 10,806,0.221,67.0,261,23,8.81,5.44 (4.62-6.25),238,91.19,4.22 (3.98-4.47),3.99,6.27
connective tissue cells 21,136,0.308,60.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA),NA,1.93
astrocytes 15,1768,0.099,62.0,105,10,9.52,2.12 (1.42-2.82),95,90.48,3.34 (2.98-3.69),3.64,4.01
oligodendrocytes 16,123,0.169,21.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61),NA,3.28
da neurons 6,300,0.137,43.0,159,5,3.14,5.64 (4.95-6.32),154,96.86,4.31 (3.99-4.63),2.93,3.76
astrocytes microglia 23,72,0.239,6.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807,0.123,15.0,104,6,5.77,2.32 (0.90-3.75),98,94.23,2.90 (2.61-3.18),4.94,5.43
oligodendrocytes 0,116,0.092,11.0,169,1,0.59,2.08 (NA-NA),168,99.41,4.29 (4.00-4.59),2.25,6.51
microglia 1,214,0.151,39.0,227,5,2.2,4.23 (3.09-5.37),222,97.8,4.09 (3.85-4.33),4.27,6.16
oligodendrocytes 3,457,0.102,42.0,345,21,6.09,3.86 (3.15-4.58),324,93.91,4.31 (4.09-4.53),7.87,5.55
oligodendrocytes 2,526,0.169,20.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25),NA,7.94
