tipo_celular,module_size,VMP1_MM,VMP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360,0.24,70.0,102,16,15.69,2.71 (1.87-3.55),86,84.31,3.66 (3.26-4.05),3.68,2.91
T cells 18,624,0.166,61.0,142,1,0.7,6.89 (NA-NA),141,99.3,3.18 (2.92-3.44),2.02,4.31
astrocytes 5,322,0.182,54.0,58,3,5.17,2.95 (-0.27-6.18),55,94.83,4.25 (3.85-4.66),1.65,2.35
oligodendrocyte progenitor cells 7,666,0.18,61.0,127,9,7.09,2.13 (1.27-2.98),118,92.91,4.03 (3.69-4.37),4.60,5.93
GABA neurons expressing GLU receptors 22,848,0.189,42.0,262,24,9.16,3.23 (2.59-3.87),238,90.84,4.30 (4.03-4.56),4.67,4.05
GLU like neurons 17,1247,0.126,44.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,853,0.229,90.0,133,16,12.03,1.68 (1.08-2.27),117,87.97,3.51 (3.19-3.84),4.36,4.14
GABA neurons expressing GABA receptors 13,86,0.193,72.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72),NA,4.82
endothelial cells 9,412,0.245,75.0,141,7,4.96,2.47 (1.24-3.70),134,95.04,2.99 (2.75-3.23),4.18,6.96
oligodendrocytes 20,295,0.218,62.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65),NA,3.07
GABA like neurons 14,1300,0.2,47.0,306,29,9.48,3.30 (2.67-3.92),277,90.52,5.39 (5.12-5.65),4.84,6.90
astrocytes 8,577,0.069,37.0,83,2,2.41,2.35 (-0.55-5.24),81,97.59,3.28 (2.82-3.73),1.42,4.55
oligodendrocyte progenitor cells 12,708,0.126,57.0,25,6,24.0,4.40 (1.71-7.08),19,76.0,2.39 (1.49-3.29),2.21,2.64
oligodendrocytes 10,2107,0.225,76.0,358,42,11.73,2.41 (1.87-2.95),316,88.27,4.12 (3.93-4.31),20.76,7.97
connective tissue cells 21,152,0.333,78.0,21,1,4.76,7.59 (NA-NA),20,95.24,4.98 (3.59-6.37),1.65,2.25
astrocytes 15,1401,0.15,89.0,96,9,9.38,2.40 (1.84-2.97),87,90.62,3.77 (3.28-4.26),4.12,3.76
oligodendrocytes 16,88,0.19,44.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518,0.124,63.0,122,32,26.23,2.54 (2.09-2.99),90,73.77,4.68 (4.23-5.13),5.58,2.74
astrocytes microglia 23,327,0.288,34.0,120,18,15.0,2.15 (1.44-2.87),102,85.0,3.94 (3.65-4.23),3.52,2.67
astrocytes 4,721,0.134,18.0,61,3,4.92,2.12 (1.37-2.87),58,95.08,3.01 (2.58-3.44),2.87,6.18
oligodendrocytes 0,309,0.13,45.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,480,0.256,75.0,163,2,1.23,4.83 (4.22-5.45),161,98.77,3.69 (3.42-3.96),3.47,5.19
oligodendrocytes 3,1003,0.113,66.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,804,0.17,69.0,84,7,8.33,1.64 (0.77-2.51),77,91.67,2.81 (2.46-3.16),2.67,3.46
