tipo_celular,module_size,VDAC3_MM,VDAC3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,184,0.225,62.0,21,8,38.1,0.89 (0.41-1.38),13,61.9,3.24 (2.72-3.75),2.39,1.77
T cells 18,282,0.185,58.0,241,8,3.32,3.62 (2.77-4.46),233,96.68,4.08 (3.82-4.34),4.85,4.32
astrocytes 5,228,0.18,52.0,266,34,12.78,2.35 (1.90-2.79),232,87.22,4.43 (4.23-4.63),8.26,4.50
oligodendrocyte progenitor cells 7,296,0.157,34.0,251,5,1.99,3.40 (2.24-4.55),246,98.01,4.08 (3.84-4.32),2.74,6.22
GABA neurons expressing GLU receptors 22,487,0.323,81.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14),NA,7.33
GLU like neurons 17,229,0.21,58.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13),NA,3.09
da like neurons 11,1220,0.292,79.0,410,26,6.34,2.84 (2.37-3.31),384,93.66,4.36 (4.17-4.55),16.47,6.91
GABA neurons expressing GABA receptors 13,417,0.179,62.0,213,29,13.62,1.84 (1.39-2.29),184,86.38,4.11 (3.87-4.34),11.68,9.37
endothelial cells 9,338,0.197,72.0,191,4,2.09,2.32 (2.10-2.55),187,97.91,3.93 (3.70-4.15),4.43,9.26
oligodendrocytes 20,250,0.153,36.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,2402,0.52,90.0,455,26,5.71,2.08 (1.51-2.66),429,94.29,4.50 (4.32-4.69),28.04,7.67
astrocytes 8,520,0.224,74.0,288,25,8.68,3.01 (2.47-3.55),263,91.32,4.29 (4.09-4.50),9.38,4.24
oligodendrocyte progenitor cells 12,1049,0.035,5.0,235,13,5.53,3.50 (2.65-4.35),222,94.47,3.84 (3.60-4.08),10.69,7.43
oligodendrocytes 10,806,0.328,83.0,261,19,7.28,2.60 (2.13-3.07),242,92.72,4.51 (4.26-4.76),7.75,5.93
connective tissue cells 21,111,0.427,100.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA),NA,3.65
astrocytes 15,268,0.039,10.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38),NA,1.59
oligodendrocytes 16,313,0.231,56.0,291,17,5.84,2.99 (2.35-3.63),274,94.16,4.43 (4.20-4.66),5.17,3.73
da neurons 6,409,0.272,91.0,235,8,3.4,3.60 (2.72-4.48),227,96.6,3.99 (3.73-4.25),9.34,4.24
astrocytes microglia 23,161,0.291,42.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41),NA,2.66
astrocytes 4,787,0.171,83.0,65,5,7.69,4.26 (3.54-4.98),60,92.31,2.82 (2.41-3.23),2.71,6.00
oligodendrocytes 0,2078,0.087,7.0,238,3,1.26,1.48 (0.22-2.73),235,98.74,3.67 (3.45-3.89),7.48,4.99
microglia 1,214,0.173,48.0,227,18,7.93,2.89 (2.33-3.46),209,92.07,4.19 (3.95-4.44),11.53,5.65
oligodendrocytes 3,457,0.142,62.0,345,19,5.51,2.91 (2.36-3.46),326,94.49,4.36 (4.15-4.58),14.38,5.19
oligodendrocytes 2,99,0.175,29.0,116,3,2.59,2.46 (2.33-2.60),113,97.41,4.01 (3.70-4.31),3.21,7.34
