tipo_celular,module_size,PICALM_MM,PICALM_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352,0.085,6.0,73,2,2.74,4.52 (NA-NA),71,97.26,3.55 (3.20-3.90),1.78,3.26
T cells 18,349,0.1,17.0,68,16,23.53,2.97 (1.93-4.02),52,76.47,4.88 (4.30-5.47),2.86,3.45
astrocytes 5,1141,0.179,95.0,166,37,22.29,2.30 (1.93-2.67),129,77.71,3.75 (3.47-4.03),4.13,4.67
oligodendrocyte progenitor cells 7,448,0.151,58.0,108,2,1.85,3.55 (NA-NA),106,98.15,3.25 (2.81-3.70),1.96,17.41
GABA neurons expressing GLU receptors 22,599,0.22,57.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,637,0.343,87.0,91,27,29.67,2.57 (1.84-3.29),64,70.33,5.64 (5.19-6.08),3.28,2.97
da like neurons 11,408,0.215,60.0,25,16,64.0,4.26 (2.62-5.91),9,36.0,5.67 (3.95-7.39),2.45,1.98
GABA neurons expressing GABA receptors 13,288,0.191,59.0,93,17,18.28,4.24 (2.97-5.52),76,81.72,5.41 (4.90-5.92),3.33,4.09
endothelial cells 9,412,0.34,94.0,141,15,10.64,3.15 (2.24-4.05),126,89.36,2.94 (2.69-3.18),3.36,7.23
oligodendrocytes 20,676,0.183,41.0,110,19,17.27,3.45 (2.47-4.43),91,82.73,5.42 (4.97-5.87),3.78,3.47
GABA like neurons 14,1300,0.147,22.0,306,51,16.67,3.98 (3.26-4.69),255,83.33,5.37 (5.11-5.63),7.42,6.56
astrocytes 8,771,0.392,88.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,153,0.341,27.0,27,12,44.44,3.78 (2.52-5.04),15,55.56,5.89 (4.84-6.95),2.39,1.96
oligodendrocytes 10,2107,0.178,62.0,358,74,20.67,2.24 (1.98-2.50),284,79.33,4.46 (4.27-4.64),18.84,7.03
connective tissue cells 21,250,0.212,21.0,117,18,15.38,3.52 (2.62-4.43),99,84.62,5.74 (5.35-6.13),3.03,3.87
astrocytes 15,458,0.12,64.0,36,4,11.11,3.95 (2.83-5.06),32,88.89,3.75 (2.56-4.94),1.93,2.65
oligodendrocytes 16,287,0.156,13.0,105,24,22.86,3.22 (2.40-4.03),81,77.14,5.82 (5.44-6.19),3.03,3.60
da neurons 6,398,0.243,78.0,138,26,18.84,3.60 (2.59-4.61),112,81.16,5.14 (4.78-5.50),3.02,2.67
astrocytes microglia 23,229,0.337,65.0,99,4,4.04,2.50 (2.36-2.65),95,95.96,4.34 (4.00-4.68),2.41,3.27
astrocytes 4,752,0.161,62.0,96,17,17.71,3.08 (2.68-3.48),79,82.29,3.35 (2.94-3.75),2.63,4.68
oligodendrocytes 0,187,0.283,88.0,14,1,7.14,7.00 (NA-NA),13,92.86,5.40 (4.79-6.01),1.49,2.56
microglia 1,315,0.292,90.0,144,7,4.86,5.69 (3.13-8.26),137,95.14,4.41 (4.11-4.71),2.46,4.29
oligodendrocytes 3,187,0.132,67.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA),NA,2.73
oligodendrocytes 2,348,0.155,29.0,114,10,8.77,4.24 (3.08-5.41),104,91.23,5.24 (4.80-5.67),3.95,4.44
