tipo_celular,module_size,RBFOX2_MM,RBFOX2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206,0.23,63.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,349,0.086,11.0,68,5,7.35,2.38 (0.59-4.17),63,92.65,4.58 (4.02-5.14),2.58,3.37
astrocytes 5,423,0.133,38.0,80,5,6.25,4.24 (2.61-5.86),75,93.75,3.34 (2.84-3.83),3.03,5.15
oligodendrocyte progenitor cells 7,436,0.067,11.0,219,4,1.83,2.97 (2.40-3.54),215,98.17,5.27 (4.99-5.56),10.52,4.50
GABA neurons expressing GLU receptors 22,459,0.127,34.0,165,9,5.45,2.03 (1.45-2.61),156,94.55,5.32 (5.00-5.65),4.75,4.05
GLU like neurons 17,229,0.191,46.0,22,1,4.55,3.78 (NA-NA),21,95.45,2.46 (1.83-3.09),1.86,3.15
da like neurons 11,853,0.087,16.0,133,57,42.86,2.58 (2.19-2.96),76,57.14,3.92 (3.49-4.35),5.32,3.29
GABA neurons expressing GABA receptors 13,77,0.154,37.0,2,0,0.0,NA,2,100.0,NA,NA,1.47
endothelial cells 9,658,0.298,77.0,120,17,14.17,3.56 (2.93-4.20),103,85.83,4.81 (4.47-5.15),4.07,3.58
oligodendrocytes 20,228,0.172,40.0,5,3,60.0,1.95 (0.03-3.87),2,40.0,5.21 (1.90-8.51),1.78,3.49
GABA like neurons 14,1300,0.119,13.0,306,19,6.21,2.59 (2.02-3.16),287,93.79,5.35 (5.09-5.61),8.16,6.61
astrocytes 8,1266,0.123,79.0,66,23,34.85,2.55 (1.75-3.35),43,65.15,3.62 (3.19-4.05),3.49,2.66
oligodendrocyte progenitor cells 12,254,0.418,87.0,37,10,27.03,3.81 (3.12-4.50),27,72.97,4.83 (4.06-5.59),2.05,2.63
oligodendrocytes 10,806,0.204,64.0,261,1,0.38,4.85 (NA-NA),260,99.62,4.36 (4.12-4.61),4.73,6.07
connective tissue cells 21,136,0.112,0.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA),NA,1.93
astrocytes 15,1401,0.156,90.0,96,3,3.12,2.76 (0.97-4.55),93,96.88,3.63 (3.18-4.09),1.80,3.86
oligodendrocytes 16,121,0.153,10.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53),NA,2.09
da neurons 6,553,0.206,86.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61),3.77,3.03
astrocytes microglia 23,89,0.191,5.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,514,0.159,34.0,95,6,6.32,1.30 (0.81-1.78),89,93.68,3.52 (3.09-3.95),3.02,4.75
oligodendrocytes 0,1186,0.121,17.0,300,7,2.33,4.23 (3.24-5.21),293,97.67,3.78 (3.57-3.99),8.11,4.06
microglia 1,214,0.083,5.0,227,1,0.44,4.85 (NA-NA),226,99.56,4.09 (3.85-4.32),2.42,6.14
oligodendrocytes 3,1003,0.059,11.0,111,3,2.7,3.90 (2.39-5.42),108,97.3,3.28 (2.93-3.63),4.10,4.23
oligodendrocytes 2,804,0.179,77.0,84,3,3.57,0.66 (0.21-1.11),81,96.43,2.78 (2.45-3.12),3.23,3.40
