tipo_celular,module_size,DHX36_MM,DHX36_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.111,16.0,97,9,9.28,4.32 (3.34-5.31),88,90.72,2.93 (2.52-3.34),3.17,5.08
T cells 18,518,0.173,63.0,131,11,8.4,4.75 (3.34-6.17),120,91.6,2.92 (2.66-3.17),3.03,4.91
astrocytes 5,1141,0.145,69.0,166,65,39.16,3.08 (2.69-3.47),101,60.84,3.64 (3.32-3.96),5.13,4.18
oligodendrocyte progenitor cells 7,4285,0.128,38.0,353,120,33.99,3.01 (2.71-3.30),233,66.01,4.47 (4.28-4.67),13.12,5.46
GABA neurons expressing GLU receptors 22,599,0.279,79.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,1316,0.175,86.0,101,3,2.97,4.31 (1.10-7.53),98,97.03,3.00 (2.66-3.35),2.14,3.08
da like neurons 11,289,0.268,81.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,90,0.167,53.0,4,1,25.0,7.70 (NA-NA),3,75.0,4.56 (1.37-7.75),1.71,1.89
endothelial cells 9,1653,0.068,6.0,297,15,5.05,4.45 (3.71-5.19),282,94.95,3.63 (3.42-3.84),3.01,5.65
oligodendrocytes 20,348,0.091,42.0,33,7,21.21,3.67 (2.62-4.72),26,78.79,2.59 (2.07-3.11),2.07,3.73
GABA like neurons 14,2402,0.203,42.0,455,60,13.19,2.90 (2.42-3.38),395,86.81,4.61 (4.42-4.79),16.67,7.64
astrocytes 8,354,0.105,40.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,708,0.06,23.0,32,18,56.25,2.57 (1.51-3.63),14,43.75,4.15 (3.05-5.25),2.81,2.33
oligodendrocytes 10,735,0.074,33.0,277,5,1.81,6.20 (3.48-8.92),272,98.19,3.87 (3.63-4.11),1.90,9.08
connective tissue cells 21,85,0.31,50.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75),NA,3.74
astrocytes 15,1768,0.061,24.0,105,43,40.95,2.72 (2.22-3.23),62,59.05,3.54 (3.11-3.97),5.29,3.07
oligodendrocytes 16,78,0.134,15.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,409,0.13,54.0,235,22,9.36,3.64 (2.79-4.49),213,90.64,4.03 (3.77-4.28),5.40,4.31
astrocytes microglia 23,327,0.265,25.0,120,57,47.5,2.96 (2.55-3.38),63,52.5,4.30 (3.95-4.65),3.25,2.39
astrocytes 4,514,0.208,62.0,95,17,17.89,2.71 (2.02-3.41),78,82.11,3.55 (3.06-4.05),2.48,5.11
oligodendrocytes 0,2078,0.105,31.0,238,38,15.97,3.67 (3.16-4.18),200,84.03,3.63 (3.38-3.87),4.30,5.16
microglia 1,958,0.134,80.0,290,63,21.72,4.22 (3.74-4.70),227,78.28,3.69 (3.43-3.95),4.92,5.02
oligodendrocytes 3,357,0.1,56.0,127,8,6.3,4.22 (2.38-6.06),119,93.7,3.06 (2.73-3.40),4.47,4.22
oligodendrocytes 2,921,0.106,8.0,200,36,18.0,4.60 (4.04-5.16),164,82.0,3.41 (3.12-3.70),4.17,3.31
