tipo_celular,module_size,IL1RAPL1_MM,IL1RAPL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.808,100.0,15,7,46.67,6.14 (5.15-7.13),8,53.33,5.18 (4.64-5.73),2.43,2.25
T cells 18,349,0.745,100.0,68,31,45.59,4.62 (3.76-5.47),37,54.41,4.03 (3.43-4.64),2.68,3.85
astrocytes 5,165,0.744,100.0,51,6,11.76,6.44 (5.42-7.46),45,88.24,5.18 (4.44-5.92),2.06,3.07
oligodendrocyte progenitor cells 7,229,0.186,47.0,45,1,2.22,5.19 (NA-NA),44,97.78,5.00 (4.36-5.63),2.73,5.42
GABA neurons expressing GLU receptors 22,459,0.239,77.0,165,31,18.79,4.56 (3.60-5.52),134,81.21,5.21 (4.87-5.56),5.63,3.73
GLU like neurons 17,637,0.579,98.0,91,14,15.38,2.96 (2.24-3.68),77,84.62,4.95 (4.37-5.54),3.21,3.03
da like neurons 11,191,0.335,63.0,93,57,61.29,5.75 (5.22-6.27),36,38.71,5.44 (4.88-6.00),4.90,2.92
GABA neurons expressing GABA receptors 13,288,0.628,100.0,93,55,59.14,5.10 (4.49-5.71),38,40.86,5.24 (4.37-6.11),4.93,2.53
endothelial cells 9,450,0.735,99.0,74,28,37.84,5.94 (5.22-6.66),46,62.16,5.08 (4.28-5.87),4.80,2.93
oligodendrocytes 20,676,0.436,72.0,110,44,40.0,4.97 (4.33-5.62),66,60.0,5.01 (4.40-5.63),4.62,2.80
GABA like neurons 14,1300,0.233,62.0,306,86,28.1,4.93 (4.41-5.45),220,71.9,5.19 (4.90-5.47),12.60,4.40
astrocytes 8,771,0.865,100.0,48,11,22.92,6.63 (5.23-8.03),37,77.08,3.67 (2.96-4.38),3.01,3.18
oligodendrocyte progenitor cells 12,708,0.28,86.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,204,0.584,94.0,92,12,13.04,5.41 (4.30-6.53),80,86.96,5.77 (5.25-6.30),4.56,3.59
connective tissue cells 21,250,0.88,100.0,117,41,35.04,5.20 (4.53-5.88),76,64.96,5.52 (5.06-5.98),5.00,3.06
astrocytes 15,458,0.752,100.0,36,5,13.89,8.14 (7.87-8.41),31,86.11,2.61 (1.87-3.36),1.64,2.73
oligodendrocytes 16,313,0.115,8.0,291,12,4.12,3.19 (2.26-4.12),279,95.88,4.39 (4.16-4.61),5.08,3.76
da neurons 6,398,0.61,100.0,138,45,32.61,4.37 (3.71-5.02),93,67.39,5.06 (4.62-5.50),2.93,2.64
astrocytes microglia 23,54,0.625,95.0,29,11,37.93,6.44 (5.18-7.70),18,62.07,6.89 (6.14-7.64),2.28,3.19
astrocytes 4,102,0.674,100.0,42,8,19.05,5.50 (4.97-6.02),34,80.95,5.72 (4.85-6.60),1.66,3.52
oligodendrocytes 0,479,0.287,96.0,40,17,42.5,6.40 (5.50-7.29),23,57.5,5.39 (4.90-5.88),3.73,3.28
microglia 1,127,0.697,100.0,24,10,41.67,5.37 (4.26-6.49),14,58.33,4.94 (4.06-5.82),2.60,2.38
oligodendrocytes 3,1003,0.346,100.0,111,1,0.9,NA,110,99.1,3.30 (2.96-3.64),1.56,4.26
oligodendrocytes 2,348,0.421,95.0,114,46,40.35,5.35 (4.73-5.97),68,59.65,4.90 (4.35-5.44),6.29,3.11
