tipo_celular,module_size,AHCYL1_MM,AHCYL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218,0.219,58.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,282,0.374,99.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,322,0.203,65.0,58,5,8.62,1.96 (1.33-2.58),53,91.38,4.43 (4.02-4.83),2.12,2.34
oligodendrocyte progenitor cells 7,200,0.317,89.0,16,2,12.5,2.53 (2.34-2.73),14,87.5,4.16 (3.27-5.04),1.49,4.68
GABA neurons expressing GLU receptors 22,599,0.435,98.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,685,0.5,99.0,135,27,20.0,2.20 (1.64-2.76),108,80.0,3.44 (3.10-3.78),3.78,3.74
da like neurons 11,408,0.08,11.0,25,7,28.0,1.20 (0.74-1.66),18,72.0,6.45 (5.43-7.48),2.24,2.29
GABA neurons expressing GABA receptors 13,266,0.265,89.0,118,8,6.78,5.23 (4.15-6.31),110,93.22,4.69 (4.32-5.06),3.09,4.06
endothelial cells 9,450,0.071,7.0,74,1,1.35,1.74 (NA-NA),73,98.65,5.54 (5.00-6.08),4.42,3.63
oligodendrocytes 20,221,0.101,11.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,3052,0.147,57.0,125,2,1.6,7.59 (7.59-7.59),123,98.4,3.27 (2.96-3.57),2.80,8.71
astrocytes 8,279,0.197,19.0,78,17,21.79,4.04 (3.18-4.89),61,78.21,4.41 (3.94-4.88),3.02,2.62
oligodendrocyte progenitor cells 12,3303,0.147,98.0,276,29,10.51,1.88 (1.58-2.19),247,89.49,3.80 (3.57-4.02),7.35,4.85
oligodendrocytes 10,735,0.134,71.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,250,0.214,21.0,117,5,4.27,1.97 (1.48-2.45),112,95.73,5.59 (5.21-5.96),4.95,3.68
astrocytes 15,1768,0.239,100.0,105,22,20.95,2.43 (1.74-3.12),83,79.05,3.44 (3.07-3.81),4.25,3.91
oligodendrocytes 16,122,0.208,52.0,11,0,0.0,NA,11,100.0,3.57 (3.08-4.06),NA,1.95
da neurons 6,307,0.089,21.0,95,1,1.05,4.14 (NA-NA),94,98.95,4.86 (4.41-5.30),2.27,3.38
astrocytes microglia 23,91,0.301,66.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA),NA,6.41
astrocytes 4,171,0.232,76.0,22,1,4.55,2.54 (NA-NA),21,95.45,4.67 (3.72-5.61),1.65,2.03
oligodendrocytes 0,1186,0.139,40.0,300,3,1.0,5.05 (2.10-8.01),297,99.0,3.78 (3.57-3.98),1.71,4.18
microglia 1,958,0.114,56.0,290,12,4.14,2.53 (1.47-3.59),278,95.86,3.88 (3.65-4.12),6.75,4.92
oligodendrocytes 3,94,0.198,82.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73),NA,3.83
oligodendrocytes 2,921,0.151,74.0,200,11,5.5,3.74 (2.53-4.95),189,94.5,3.61 (3.34-3.89),4.61,3.40
