tipo_celular,module_size,DMXL1_MM,DMXL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401,0.166,56.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,610,0.256,97.0,98,3,3.06,0.67 (0.26-1.08),95,96.94,3.21 (2.89-3.52),10.08,3.85
astrocytes 5,1141,0.165,88.0,166,0,0.0,NA,166,100.0,3.39 (3.14-3.64),NA,4.55
oligodendrocyte progenitor cells 7,4285,0.111,18.0,353,3,0.85,0.67 (0.26-1.08),350,99.15,3.92 (3.74-4.11),51.11,7.69
GABA neurons expressing GLU receptors 22,714,0.165,40.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89),NA,3.57
GLU like neurons 17,1316,0.141,66.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,71,0.536,96.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,238,0.151,42.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,1653,0.147,65.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,295,0.172,42.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65),NA,3.07
GABA like neurons 14,1300,0.146,21.0,306,2,0.65,1.85 (-0.24-3.94),304,99.35,5.12 (4.86-5.39),6.96,6.70
astrocytes 8,727,0.193,87.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,218,0.364,79.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,2107,0.154,53.0,358,4,1.12,0.70 (0.40-0.99),354,98.88,3.91 (3.72-4.10),33.89,9.20
connective tissue cells 21,111,0.237,22.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,338,0.137,40.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,64,0.128,10.0,1,0,0.0,NA,1,100.0,2.12 (NA-NA),NA,1.77
da neurons 6,553,0.145,62.0,124,0,0.0,NA,124,100.0,4.18 (3.79-4.58),NA,3.03
astrocytes microglia 23,255,0.246,41.0,57,0,0.0,NA,57,100.0,2.65 (2.29-3.01),NA,3.33
astrocytes 4,752,0.192,95.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62),NA,4.32
oligodendrocytes 0,1186,0.144,49.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,1615,0.116,60.0,161,3,1.86,0.67 (0.26-1.08),158,98.14,3.33 (3.07-3.60),17.72,5.20
oligodendrocytes 3,639,0.138,77.0,15,2,13.33,0.61 (-0.07-1.28),13,86.67,3.81 (2.38-5.23),3.88,1.96
oligodendrocytes 2,804,0.21,94.0,84,2,2.38,0.87 (0.71-1.03),82,97.62,2.74 (2.41-3.08),2.95,3.41
