tipo_celular,module_size,MACROD2_MM,MACROD2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305.0,0.14,32.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49),NA,2.34
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,222.0,0.246,68.0,98,0,0.0,NA,98,100.0,4.60 (4.19-5.00),NA,2.65
oligodendrocyte progenitor cells 7,436.0,0.078,17.0,219,0,0.0,NA,219,100.0,5.21 (4.92-5.50),NA,4.61
GABA neurons expressing GLU receptors 22,703.0,0.089,6.0,23,2,8.7,1.85 (0.53-3.17),21,91.3,2.12 (1.34-2.89),1.66,4.14
GLU like neurons 17,795.0,0.264,89.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09),NA,3.01
da like neurons 11,191.0,0.457,87.0,93,0,0.0,NA,93,100.0,5.65 (5.25-6.05),NA,4.14
GABA neurons expressing GABA receptors 13,288.0,0.099,9.0,93,0,0.0,NA,93,100.0,5.15 (4.65-5.64),NA,3.95
endothelial cells 9,450.0,0.169,37.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02),NA,3.64
oligodendrocytes 20,298.0,0.099,37.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,1300.0,0.215,54.0,306,4,1.31,2.13 (0.75-3.50),302,98.69,5.15 (4.89-5.41),3.46,6.75
astrocytes 8,279.0,0.301,63.0,78,2,2.56,1.78 (1.46-2.10),76,97.44,4.39 (3.98-4.80),1.47,2.74
oligodendrocyte progenitor cells 12,411.0,0.099,48.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93),NA,3.08
oligodendrocytes 10,1277.0,0.179,85.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,84.0,0.276,49.0,1,0,0.0,NA,1,100.0,NA,NA,1.55
astrocytes 15,418.0,0.342,76.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12),NA,3.01
oligodendrocytes 16,149.0,0.322,82.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12),NA,3.31
da neurons 6,398.0,0.103,23.0,138,6,4.35,2.40 (1.32-3.48),132,95.65,4.96 (4.59-5.32),2.44,2.75
astrocytes microglia 23,166.0,0.18,11.0,7,0,0.0,NA,7,100.0,4.32 (3.39-5.25),NA,4.49
astrocytes 4,201.0,0.231,81.0,18,0,0.0,NA,18,100.0,4.54 (3.65-5.42),NA,3.09
oligodendrocytes 0,309.0,0.148,66.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,1615.0,0.111,53.0,161,22,13.66,1.77 (1.28-2.26),139,86.34,3.57 (3.30-3.85),16.34,3.71
oligodendrocytes 3,242.0,0.221,81.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94),NA,2.04
oligodendrocytes 2,347.0,0.397,98.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
