tipo_celular,module_size,PDE4D_MM,PDE4D_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.181,50.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49),NA,2.34
T cells 18,393,0.317,88.0,59,5,8.47,6.25 (3.80-8.70),54,91.53,2.78 (2.38-3.19),2.05,5.65
astrocytes 5,222,0.309,84.0,98,6,6.12,3.15 (1.80-4.49),92,93.88,4.71 (4.30-5.13),3.04,2.63
oligodendrocyte progenitor cells 7,436,0.266,97.0,219,32,14.61,4.27 (3.92-4.62),187,85.39,5.41 (5.08-5.74),3.85,4.74
GABA neurons expressing GLU receptors 22,459,0.148,46.0,165,38,23.03,3.55 (3.17-3.93),127,76.97,5.79 (5.41-6.18),3.68,4.21
GLU like neurons 17,489,0.3,90.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55),NA,3.21
da like neurons 11,191,0.6,99.0,93,21,22.58,4.02 (3.54-4.49),72,77.42,6.26 (5.84-6.67),3.00,4.47
GABA neurons expressing GABA receptors 13,288,0.142,35.0,93,13,13.98,2.67 (1.91-3.44),80,86.02,5.65 (5.17-6.13),2.75,4.14
endothelial cells 9,658,0.288,75.0,120,36,30.0,3.63 (3.20-4.06),84,70.0,5.07 (4.70-5.45),4.17,3.43
oligodendrocytes 20,676,0.479,76.0,110,10,9.09,3.17 (1.81-4.52),100,90.91,5.26 (4.82-5.70),3.33,3.54
GABA like neurons 14,1300,0.234,63.0,306,67,21.9,3.45 (3.11-3.79),239,78.1,5.76 (5.48-6.04),4.21,7.41
astrocytes 8,727,0.139,69.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,411,0.204,59.0,103,11,10.68,3.91 (3.17-4.65),92,89.32,5.71 (5.31-6.11),2.93,3.10
oligodendrocytes 10,236,0.3,10.0,82,8,9.76,3.54 (2.89-4.19),74,90.24,5.20 (4.64-5.77),3.04,3.92
connective tissue cells 21,250,0.143,5.0,117,21,17.95,4.16 (3.25-5.07),96,82.05,5.68 (5.26-6.09),2.78,3.95
astrocytes 15,418,0.35,78.0,54,10,18.52,3.37 (2.85-3.89),44,81.48,3.76 (3.23-4.30),2.33,3.17
oligodendrocytes 16,287,0.343,60.0,105,14,13.33,2.78 (1.83-3.73),91,86.67,5.60 (5.20-6.00),3.28,3.50
da neurons 6,398,0.194,66.0,138,25,18.12,2.57 (2.04-3.10),113,81.88,5.41 (5.05-5.76),2.62,2.76
astrocytes microglia 23,122,0.624,100.0,46,1,2.17,3.87 (NA-NA),45,97.83,5.06 (4.49-5.63),2.41,3.23
astrocytes 4,220,0.157,43.0,63,11,17.46,3.06 (2.47-3.66),52,82.54,5.74 (5.17-6.32),3.51,3.25
oligodendrocytes 0,261,0.255,90.0,42,8,19.05,2.47 (0.90-4.04),34,80.95,4.59 (3.94-5.24),2.37,2.25
microglia 1,127,0.109,19.0,24,2,8.33,2.53 (2.34-2.73),22,91.67,5.48 (4.84-6.12),2.39,2.48
oligodendrocytes 3,242,0.205,78.0,6,1,16.67,5.39 (NA-NA),5,83.33,6.11 (4.97-7.24),2.21,2.01
oligodendrocytes 2,237,0.368,92.0,26,8,30.77,7.01 (6.68-7.35),18,69.23,4.45 (3.68-5.22),1.80,2.88
