tipo_celular,module_size,EXOC4_MM,EXOC4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500,0.088,6.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,388,0.096,15.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30),NA,4.32
astrocytes 5,222,0.142,20.0,98,2,2.04,0.79 (NA-NA),96,97.96,4.65 (4.24-5.05),1.47,2.67
oligodendrocyte progenitor cells 7,436,0.049,4.0,219,13,5.94,4.79 (4.52-5.07),206,94.06,5.24 (4.93-5.54),10.55,4.24
GABA neurons expressing GLU receptors 22,714,0.128,18.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00),1.76,3.81
GLU like neurons 17,685,0.128,48.0,135,11,8.15,1.82 (1.10-2.55),124,91.85,3.34 (3.02-3.65),2.92,3.82
da like neurons 11,140,0.408,100.0,1,0,0.0,NA,1,100.0,NA,NA,1.72
GABA neurons expressing GABA receptors 13,288,0.099,10.0,93,13,13.98,3.04 (1.98-4.10),80,86.02,5.53 (5.04-6.03),3.49,4.02
endothelial cells 9,1653,0.276,100.0,297,9,3.03,3.59 (3.05-4.12),288,96.97,3.68 (3.47-3.88),5.98,5.50
oligodendrocytes 20,676,0.66,94.0,110,21,19.09,3.51 (2.62-4.39),89,80.91,5.32 (4.84-5.79),3.96,3.42
GABA like neurons 14,1300,0.192,43.0,306,34,11.11,3.07 (2.48-3.66),272,88.89,5.42 (5.16-5.69),10.90,6.18
astrocytes 8,279,0.284,52.0,78,4,5.13,2.48 (2.37-2.58),74,94.87,4.43 (4.01-4.86),4.79,2.60
oligodendrocyte progenitor cells 12,411,0.14,53.0,103,5,4.85,4.88 (4.62-5.14),98,95.15,5.59 (5.18-6.00),7.39,2.86
oligodendrocytes 10,2107,0.191,66.0,358,41,11.45,2.84 (2.18-3.50),317,88.55,4.02 (3.84-4.21),13.49,8.95
connective tissue cells 21,147,0.141,8.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80),NA,3.67
astrocytes 15,418,0.342,77.0,54,4,7.41,3.32 (1.33-5.30),50,92.59,3.71 (3.25-4.16),4.17,2.92
oligodendrocytes 16,287,0.354,62.0,105,18,17.14,3.02 (2.09-3.95),87,82.86,5.54 (5.12-5.97),4.23,3.31
da neurons 6,398,0.111,29.0,138,17,12.32,3.08 (2.22-3.94),121,87.68,5.12 (4.74-5.50),3.64,2.61
astrocytes microglia 23,53,0.199,2.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,220,0.085,6.0,63,1,1.59,NA,62,98.41,5.13 (4.57-5.69),3.06,3.30
oligodendrocytes 0,261,0.213,69.0,42,16,38.1,2.81 (1.88-3.75),26,61.9,4.91 (4.14-5.69),2.18,2.33
microglia 1,315,0.135,31.0,144,0,0.0,NA,144,100.0,4.46 (4.15-4.77),NA,4.21
oligodendrocytes 3,116,0.268,47.0,7,4,57.14,0.96 (0.79-1.12),3,42.86,5.55 (4.15-6.96),1.55,1.36
oligodendrocytes 2,237,0.191,36.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15),NA,2.55
