tipo_celular,module_size,GLYR1_MM,GLYR1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360,0.136,25.0,102,24,23.53,2.06 (1.68-2.44),78,76.47,3.97 (3.56-4.38),4.17,2.68
T cells 18,349,0.15,38.0,68,4,5.88,1.11 (0.68-1.54),64,94.12,4.64 (4.11-5.17),2.87,3.34
astrocytes 5,932,0.114,57.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285,0.142,61.0,353,51,14.45,2.03 (1.68-2.39),302,85.55,4.30 (4.12-4.47),23.77,5.41
GABA neurons expressing GLU receptors 22,823,0.159,37.0,23,2,8.7,2.39 (-0.32-5.11),21,91.3,2.40 (1.62-3.18),1.79,3.58
GLU like neurons 17,1247,0.041,1.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,215,0.134,29.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52),NA,5.38
GABA neurons expressing GABA receptors 13,93,0.146,43.0,2,0,0.0,NA,2,100.0,NA,NA,2.07
endothelial cells 9,1653,0.08,14.0,297,10,3.37,4.23 (3.35-5.11),287,96.63,3.66 (3.45-3.87),4.42,5.56
oligodendrocytes 20,228,0.149,30.0,5,4,80.0,2.34 (0.78-3.90),1,20.0,6.89 (NA-NA),2.65,1.72
GABA like neurons 14,2090,0.231,90.0,74,8,10.81,2.09 (1.77-2.42),66,89.19,3.06 (2.64-3.48),3.32,11.37
astrocytes 8,1266,0.099,66.0,66,19,28.79,1.72 (1.20-2.23),47,71.21,3.98 (3.58-4.38),4.30,2.41
oligodendrocyte progenitor cells 12,3303,0.083,56.0,276,44,15.94,2.10 (1.76-2.44),232,84.06,3.88 (3.65-4.11),10.15,4.15
oligodendrocytes 10,735,0.084,41.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,100,0.183,5.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768,0.077,41.0,105,20,19.05,1.62 (1.21-2.03),85,80.95,3.63 (3.27-3.98),6.98,3.27
oligodendrocytes 16,90,0.147,13.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,307,0.099,30.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28),NA,3.36
astrocytes microglia 23,58,0.246,25.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721,0.142,32.0,61,4,6.56,2.88 (0.64-5.12),57,93.44,2.97 (2.55-3.39),2.82,6.24
oligodendrocytes 0,2078,0.113,46.0,238,14,5.88,3.09 (2.29-3.89),224,94.12,3.67 (3.45-3.90),6.46,4.93
microglia 1,958,0.106,43.0,290,12,4.14,2.23 (1.41-3.04),278,95.86,3.90 (3.67-4.13),5.20,4.99
oligodendrocytes 3,44,0.036,3.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,921,0.142,60.0,200,3,1.5,1.32 (NA-NA),197,98.5,3.64 (3.37-3.90),3.36,3.47
