tipo_celular,module_size,EIF4G3_MM,EIF4G3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500,0.11,15.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,349,0.197,54.0,68,3,4.41,0.90 (0.75-1.04),65,95.59,4.58 (4.05-5.12),2.46,3.35
astrocytes 5,118,0.21,45.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94),NA,2.01
oligodendrocyte progenitor cells 7,436,0.079,17.0,219,5,2.28,3.25 (2.73-3.77),214,97.72,5.28 (4.99-5.57),6.09,4.58
GABA neurons expressing GLU receptors 22,459,0.156,49.0,165,8,4.85,2.37 (1.47-3.27),157,95.15,5.27 (4.93-5.60),4.70,4.06
GLU like neurons 17,795,0.174,69.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09),NA,3.01
da like neurons 11,200,0.276,75.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,357,0.181,61.0,237,0,0.0,NA,237,100.0,4.41 (4.18-4.64),NA,4.18
endothelial cells 9,1653,0.209,92.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,676,0.385,66.0,110,7,6.36,1.99 (1.03-2.95),103,93.64,5.29 (4.86-5.71),3.38,3.53
GABA like neurons 14,1300,0.24,66.0,306,11,3.59,2.24 (1.45-3.03),295,96.41,5.25 (5.00-5.51),7.33,6.68
astrocytes 8,771,0.088,35.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,708,0.079,33.0,32,4,12.5,1.14 (-0.41-2.70),28,87.5,3.60 (2.76-4.43),4.79,2.28
oligodendrocytes 10,236,0.135,2.0,82,3,3.66,3.33 (2.39-4.27),79,96.34,5.08 (4.54-5.61),3.16,3.86
connective tissue cells 21,147,0.27,68.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80),NA,3.67
astrocytes 15,268,0.358,97.0,10,1,10.0,1.92 (NA-NA),9,90.0,3.94 (2.07-5.81),1.41,1.61
oligodendrocytes 16,287,0.212,28.0,105,8,7.62,2.07 (1.22-2.91),97,92.38,5.46 (5.06-5.87),2.69,3.53
da neurons 6,518,0.185,92.0,122,8,6.56,1.35 (0.55-2.15),114,93.44,4.20 (3.82-4.59),4.06,3.44
astrocytes microglia 23,229,0.183,11.0,99,5,5.05,3.25 (2.73-3.77),94,94.95,4.36 (4.01-4.71),4.13,3.19
astrocytes 4,220,0.11,16.0,63,7,11.11,2.87 (2.27-3.47),56,88.89,5.51 (4.94-6.08),4.25,3.17
oligodendrocytes 0,261,0.166,38.0,42,7,16.67,1.38 (1.02-1.75),35,83.33,4.81 (4.20-5.42),1.98,2.33
microglia 1,813,0.116,50.0,79,3,3.8,2.65 (2.55-2.76),76,96.2,3.12 (2.70-3.54),2.83,8.10
oligodendrocytes 3,127,0.215,34.0,45,5,11.11,2.08 (1.29-2.87),40,88.89,4.85 (3.95-5.74),2.24,6.38
oligodendrocytes 2,237,0.156,22.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15),NA,2.55
