tipo_celular,module_size,APPBP2_MM,APPBP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211,0.162,48.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08),NA,4.16
T cells 18,610,0.115,21.0,98,40,40.82,2.45 (2.03-2.87),58,59.18,3.68 (3.27-4.08),6.16,2.57
astrocytes 5,932,0.098,33.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285,0.143,62.0,353,52,14.73,2.59 (2.21-2.96),301,85.27,4.20 (4.01-4.39),24.85,5.16
GABA neurons expressing GLU receptors 22,1069,0.189,68.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,380,0.125,19.0,39,15,38.46,3.30 (2.85-3.75),24,61.54,2.73 (1.84-3.61),2.43,2.66
da like neurons 11,204,0.132,28.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09),NA,4.54
GABA neurons expressing GABA receptors 13,80,0.126,14.0,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653,0.16,74.0,297,2,0.67,4.54 (4.34-4.75),295,99.33,3.67 (3.46-3.87),7.69,5.50
oligodendrocytes 20,228,0.104,15.0,5,3,60.0,1.95 (0.03-3.87),2,40.0,5.21 (1.90-8.51),1.78,3.49
GABA like neurons 14,2090,0.167,59.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,577,0.085,50.0,83,0,0.0,NA,83,100.0,3.25 (2.80-3.70),NA,4.47
oligodendrocyte progenitor cells 12,3303,0.142,97.0,276,43,15.58,2.89 (2.53-3.25),233,84.42,3.71 (3.46-3.96),13.72,3.52
oligodendrocytes 10,1277,0.101,46.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,104,0.237,25.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401,0.04,8.0,96,5,5.21,2.63 (1.50-3.76),91,94.79,3.68 (3.21-4.15),6.46,3.65
oligodendrocytes 16,94,0.229,61.0,5,2,40.0,3.72 (3.59-3.84),3,60.0,2.06 (0.32-3.80),2.10,1.71
da neurons 6,448,0.108,58.0,43,2,4.65,3.48 (2.88-4.07),41,95.35,3.27 (2.72-3.82),1.53,3.57
astrocytes microglia 23,125,0.208,5.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721,0.117,6.0,61,7,11.48,4.13 (3.90-4.36),54,88.52,2.80 (2.35-3.25),3.18,6.39
oligodendrocytes 0,1186,0.187,96.0,300,1,0.33,2.06 (NA-NA),299,99.67,3.80 (3.59-4.01),1.54,4.16
microglia 1,958,0.102,35.0,290,17,5.86,3.18 (2.72-3.63),273,94.14,3.86 (3.62-4.11),6.02,4.94
oligodendrocytes 3,1003,0.106,61.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,407,0.158,55.0,122,25,20.49,2.02 (1.52-2.51),97,79.51,3.79 (3.35-4.24),3.60,2.47
