tipo_celular,module_size,ZRANB2_MM,ZRANB2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206,0.141,13.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,610,0.101,14.0,98,13,13.27,1.69 (1.04-2.34),85,86.73,3.37 (3.04-3.69),11.82,2.85
astrocytes 5,328,0.151,43.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91),NA,6.76
oligodendrocyte progenitor cells 7,4285,0.138,54.0,353,16,4.53,1.58 (1.03-2.13),337,95.47,4.03 (3.85-4.21),43.58,6.38
GABA neurons expressing GLU receptors 22,599,0.105,5.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,685,0.133,52.0,135,5,3.7,1.55 (0.67-2.43),130,96.3,3.26 (2.95-3.58),7.38,3.61
da like neurons 11,145,0.054,1.0,1,0,0.0,NA,1,100.0,NA,NA,1.63
GABA neurons expressing GABA receptors 13,73,0.183,64.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17),NA,9.28
endothelial cells 9,1653,0.167,77.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,271,0.125,23.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,2402,0.096,8.0,455,15,3.3,1.56 (0.97-2.14),440,96.7,4.48 (4.29-4.66),27.27,8.21
astrocytes 8,603,0.056,31.0,89,2,2.25,1.39 (1.08-1.71),87,97.75,2.80 (2.45-3.16),7.16,6.02
oligodendrocyte progenitor cells 12,3303,0.087,61.0,276,11,3.99,2.11 (1.55-2.66),265,96.01,3.62 (3.40-3.84),20.42,4.47
oligodendrocytes 10,2107,0.199,68.0,358,16,4.47,1.58 (1.03-2.13),342,95.53,4.01 (3.82-4.20),48.41,7.65
connective tissue cells 21,106,0.187,6.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06),NA,1.87
astrocytes 15,1768,0.148,91.0,105,9,8.57,1.84 (1.32-2.36),96,91.43,3.35 (3.00-3.71),9.24,3.49
oligodendrocytes 16,121,0.131,1.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53),NA,2.09
da neurons 6,518,0.066,5.0,122,5,4.1,1.32 (0.24-2.41),117,95.9,4.14 (3.75-4.53),4.27,3.45
astrocytes microglia 23,253,0.28,66.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17),NA,3.08
astrocytes 4,752,0.173,80.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62),NA,4.32
oligodendrocytes 0,1186,0.105,7.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,1615,0.104,41.0,161,15,9.32,1.47 (0.93-2.01),146,90.68,3.50 (3.24-3.77),18.86,4.05
oligodendrocytes 3,1003,0.087,40.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,804,0.065,1.0,84,0,0.0,NA,84,100.0,2.69 (2.35-3.02),NA,3.40
