tipo_celular,module_size,MAP4_MM,MAP4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352,0.156,36.0,73,1,1.37,NA,72,98.63,3.56 (3.22-3.91),1.35,3.25
T cells 18,282,0.135,38.0,241,5,2.07,5.19 (3.37-7.01),236,97.93,4.02 (3.77-4.27),2.48,4.38
astrocytes 5,118,0.201,34.0,8,1,12.5,8.28 (NA-NA),7,87.5,3.59 (2.04-5.14),1.65,2.06
oligodendrocyte progenitor cells 7,296,0.103,6.0,251,13,5.18,4.94 (4.25-5.63),238,94.82,4.00 (3.76-4.25),3.94,6.27
GABA neurons expressing GLU receptors 22,599,0.197,42.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,795,0.067,9.0,80,12,15.0,5.06 (3.94-6.19),68,85.0,5.81 (5.38-6.25),3.34,2.96
da like neurons 11,1220,0.139,34.0,410,18,4.39,3.42 (2.47-4.37),392,95.61,4.29 (4.10-4.48),7.54,7.51
GABA neurons expressing GABA receptors 13,266,0.094,9.0,118,9,7.63,5.09 (3.94-6.23),109,92.37,4.71 (4.34-5.08),3.74,4.01
endothelial cells 9,1653,0.077,11.0,297,7,2.36,4.18 (2.55-5.80),290,97.64,3.66 (3.46-3.87),5.55,5.52
oligodendrocytes 20,322,0.248,88.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,2402,0.116,14.0,455,22,4.84,2.22 (1.61-2.83),433,95.16,4.49 (4.30-4.67),22.36,8.15
astrocytes 8,279,0.212,24.0,78,9,11.54,3.79 (2.47-5.10),69,88.46,4.40 (3.96-4.83),3.77,2.57
oligodendrocyte progenitor cells 12,3303,0.132,95.0,276,22,7.97,2.61 (1.93-3.29),254,92.03,3.65 (3.42-3.87),6.39,5.00
oligodendrocytes 10,806,0.18,57.0,261,36,13.79,4.74 (4.18-5.31),225,86.21,4.30 (4.03-4.56),5.32,6.18
connective tissue cells 21,147,0.155,11.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80),NA,3.67
astrocytes 15,208,0.17,52.0,4,1,25.0,4.85 (NA-NA),3,75.0,2.25 (-0.30-4.81),3.98,2.43
oligodendrocytes 16,313,0.135,14.0,291,16,5.5,3.89 (2.95-4.83),275,94.5,4.36 (4.13-4.59),5.31,3.73
da neurons 6,307,0.166,81.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28),NA,3.36
astrocytes microglia 23,70,0.174,6.0,76,11,14.47,4.82 (4.42-5.22),65,85.53,4.03 (3.39-4.67),3.85,4.65
astrocytes 4,171,0.061,0.0,22,0,0.0,NA,22,100.0,4.54 (3.62-5.46),NA,2.02
oligodendrocytes 0,479,0.145,43.0,40,9,22.5,5.47 (4.52-6.42),31,77.5,6.02 (5.40-6.63),3.09,3.58
microglia 1,813,0.121,57.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,357,0.126,70.0,127,1,0.79,5.19 (NA-NA),126,99.21,3.10 (2.77-3.43),2.48,4.25
oligodendrocytes 2,804,0.178,76.0,84,11,13.1,2.41 (1.43-3.39),73,86.9,2.74 (2.38-3.09),2.42,3.54
