tipo_celular,module_size,MAGED1_MM,MAGED1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172,0.128,29.0,140,1,0.71,NA,139,99.29,4.51 (4.08-4.93),2.22,3.58
T cells 18,727,0.152,57.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,1141,0.088,5.0,166,30,18.07,2.12 (1.70-2.54),136,81.93,3.73 (3.47-4.00),4.27,4.61
oligodendrocyte progenitor cells 7,4285,0.134,48.0,353,45,12.75,1.90 (1.59-2.21),308,87.25,4.28 (4.11-4.46),20.05,6.31
GABA neurons expressing GLU receptors 22,823,0.237,82.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23),2.12,3.48
GLU like neurons 17,1316,0.089,18.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,1220,0.12,25.0,410,7,1.71,3.34 (1.98-4.70),403,98.29,4.27 (4.08-4.46),6.30,7.54
GABA neurons expressing GABA receptors 13,265,0.252,84.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77),NA,4.26
endothelial cells 9,586,0.177,41.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,298,0.036,6.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,1300,0.084,7.0,306,7,2.29,1.59 (0.70-2.47),299,97.71,5.22 (4.96-5.47),5.11,6.74
astrocytes 8,520,0.124,53.0,288,2,0.69,0.67 (0.43-0.90),286,99.31,4.20 (4.01-4.40),5.04,4.68
oligodendrocyte progenitor cells 12,3303,0.07,39.0,276,32,11.59,1.74 (1.50-1.98),244,88.41,3.85 (3.63-4.08),7.50,4.80
oligodendrocytes 10,806,0.214,66.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61),NA,6.07
connective tissue cells 21,112,0.182,25.0,7,2,28.57,2.00 (1.71-2.28),5,71.43,1.94 (0.81-3.06),1.66,2.04
astrocytes 15,443,0.215,86.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,313,0.185,35.0,291,1,0.34,0.55 (NA-NA),290,99.66,4.34 (4.12-4.57),1.33,3.82
da neurons 6,300,0.313,90.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67),NA,3.73
astrocytes microglia 23,157,0.26,24.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721,0.112,4.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,2078,0.101,24.0,238,11,4.62,2.39 (1.82-2.97),227,95.38,3.71 (3.48-3.93),6.99,4.93
microglia 1,813,0.103,32.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,1003,0.062,13.0,111,1,0.9,7.59 (NA-NA),110,99.1,3.26 (2.92-3.60),1.76,4.25
oligodendrocytes 2,921,0.092,4.0,200,1,0.5,1.32 (NA-NA),199,99.5,3.64 (3.37-3.90),4.39,3.46
