tipo_celular,module_size,ITM2B_MM,ITM2B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235,0.304,68.0,140,6,4.29,3.52 (2.74-4.29),134,95.71,4.61 (4.32-4.90),6.10,3.43
T cells 18,506,0.207,57.0,225,21,9.33,2.92 (2.30-3.53),204,90.67,3.69 (3.42-3.96),12.44,7.44
astrocytes 5,328,0.234,75.0,128,3,2.34,2.68 (2.59-2.78),125,97.66,3.60 (3.25-3.95),2.57,6.86
oligodendrocyte progenitor cells 7,628,0.425,98.0,164,11,6.71,3.76 (3.07-4.45),153,93.29,4.12 (3.76-4.47),3.63,7.81
GABA neurons expressing GLU receptors 22,487,0.404,93.0,73,2,2.74,1.37 (1.27-1.47),71,97.26,2.80 (2.41-3.19),2.01,7.48
GLU like neurons 17,685,0.18,71.0,135,25,18.52,2.13 (1.59-2.67),110,81.48,3.43 (3.09-3.77),4.26,3.63
da like neurons 11,1220,0.456,96.0,410,20,4.88,3.23 (2.67-3.79),390,95.12,4.31 (4.11-4.50),16.36,7.06
GABA neurons expressing GABA receptors 13,265,0.238,80.0,78,7,8.97,3.29 (2.94-3.64),71,91.03,4.50 (4.05-4.95),3.20,4.37
endothelial cells 9,916,0.314,74.0,302,9,2.98,2.72 (1.79-3.64),293,97.02,4.03 (3.80-4.26),8.63,10.71
oligodendrocytes 20,938,0.243,89.0,169,20,11.83,2.85 (2.16-3.53),149,88.17,3.56 (3.33-3.79),8.22,4.98
GABA like neurons 14,2402,0.584,94.0,455,32,7.03,2.36 (1.75-2.96),423,92.97,4.53 (4.34-4.71),22.78,7.78
astrocytes 8,520,0.303,88.0,288,19,6.6,2.90 (2.34-3.46),269,93.4,4.26 (4.06-4.47),12.13,4.16
oligodendrocyte progenitor cells 12,138,0.491,67.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33),NA,2.28
oligodendrocytes 10,735,0.283,99.0,277,1,0.36,3.85 (NA-NA),276,99.64,3.89 (3.65-4.14),2.43,8.97
connective tissue cells 21,301,0.323,35.0,158,8,5.06,2.85 (1.89-3.80),150,94.94,4.37 (3.99-4.75),7.04,7.07
astrocytes 15,1768,0.1,63.0,105,13,12.38,1.49 (1.07-1.92),92,87.62,3.48 (3.13-3.83),5.21,3.81
oligodendrocytes 16,313,0.318,76.0,291,10,3.44,3.07 (2.26-3.88),281,96.56,4.39 (4.16-4.61),5.39,3.76
da neurons 6,300,0.24,74.0,159,2,1.26,2.72 (2.64-2.81),157,98.74,4.39 (4.08-4.70),1.93,3.75
astrocytes microglia 23,137,0.381,59.0,188,14,7.45,1.87 (1.21-2.54),174,92.55,4.63 (4.29-4.97),6.12,7.23
astrocytes 4,157,0.161,36.0,178,19,10.67,2.30 (1.48-3.12),159,89.33,4.38 (4.12-4.64),6.67,4.24
oligodendrocytes 0,546,0.258,82.0,252,31,12.3,2.18 (1.63-2.72),221,87.7,4.41 (4.16-4.65),15.13,7.24
microglia 1,406,0.284,66.0,278,3,1.08,3.53 (1.95-5.11),275,98.92,4.37 (4.10-4.65),3.12,6.78
oligodendrocytes 3,457,0.244,88.0,345,16,4.64,3.42 (2.85-3.99),329,95.36,4.32 (4.10-4.53),17.24,5.13
oligodendrocytes 2,528,0.476,98.0,175,15,8.57,3.70 (2.80-4.59),160,91.43,4.45 (4.08-4.82),12.90,3.84
