tipo_celular,module_size,SOD1_MM,SOD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178,0.254,69.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,282,0.222,74.0,241,15,6.22,3.75 (2.83-4.67),226,93.78,4.08 (3.82-4.34),2.91,4.43
astrocytes 5,228,0.234,75.0,266,62,23.31,3.44 (2.92-3.96),204,76.69,4.35 (4.14-4.55),6.15,4.62
oligodendrocyte progenitor cells 7,296,0.271,83.0,251,10,3.98,4.12 (3.73-4.50),241,96.02,4.06 (3.82-4.31),3.03,6.28
GABA neurons expressing GLU receptors 22,848,0.48,97.0,262,44,16.79,4.24 (3.52-4.95),218,83.21,4.14 (3.88-4.40),6.76,3.57
GLU like neurons 17,1316,0.232,97.0,101,5,4.95,2.55 (2.05-3.04),96,95.05,3.07 (2.71-3.43),2.65,3.07
da like neurons 11,1220,0.542,99.0,410,41,10.0,3.56 (3.05-4.07),369,90.0,4.33 (4.14-4.53),11.01,7.13
GABA neurons expressing GABA receptors 13,417,0.271,94.0,213,39,18.31,2.32 (1.68-2.96),174,81.69,4.12 (3.90-4.34),9.08,9.82
endothelial cells 9,916,0.301,71.0,302,20,6.62,4.20 (3.11-5.29),282,93.38,3.96 (3.73-4.19),9.82,10.71
oligodendrocytes 20,279,0.056,7.0,16,1,6.25,4.17 (NA-NA),15,93.75,2.26 (1.50-3.01),1.42,3.62
GABA like neurons 14,2402,0.68,98.0,455,48,10.55,2.46 (1.96-2.97),407,89.45,4.60 (4.42-4.78),18.68,7.67
astrocytes 8,520,0.252,80.0,288,45,15.62,3.31 (2.83-3.78),243,84.38,4.32 (4.11-4.54),7.54,4.16
oligodendrocyte progenitor cells 12,1049,0.112,61.0,235,16,6.81,3.71 (2.83-4.58),219,93.19,3.83 (3.59-4.07),8.56,7.55
oligodendrocytes 10,806,0.418,92.0,261,38,14.56,4.23 (3.56-4.90),223,85.44,4.39 (4.13-4.65),5.29,6.20
connective tissue cells 21,101,0.368,65.0,116,33,28.45,3.82 (2.89-4.74),83,71.55,4.90 (4.47-5.34),3.79,2.99
astrocytes 15,443,0.152,50.0,9,3,33.33,2.04 (-0.10-4.18),6,66.67,3.68 (2.17-5.18),3.19,1.73
oligodendrocytes 16,313,0.287,72.0,291,38,13.06,3.79 (3.22-4.35),253,86.94,4.42 (4.18-4.66),4.75,3.67
da neurons 6,409,0.298,94.0,235,14,5.96,2.63 (2.00-3.26),221,94.04,4.09 (3.83-4.35),8.11,4.18
astrocytes microglia 23,67,0.283,34.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,157,0.221,65.0,178,43,24.16,3.30 (2.56-4.04),135,75.84,4.41 (4.16-4.66),5.40,4.21
oligodendrocytes 0,546,0.293,89.0,252,47,18.65,2.69 (2.10-3.27),205,81.35,4.44 (4.20-4.69),11.71,7.41
microglia 1,214,0.298,78.0,227,31,13.66,3.95 (3.41-4.49),196,86.34,4.11 (3.85-4.37),7.39,5.92
oligodendrocytes 3,457,0.28,91.0,345,45,13.04,3.71 (3.22-4.21),300,86.96,4.38 (4.15-4.60),8.42,5.28
oligodendrocytes 2,526,0.408,84.0,213,6,2.82,5.01 (3.13-6.89),207,97.18,3.95 (3.67-4.22),5.69,8.00
