tipo_celular,module_size,PAFAH1B1_MM,PAFAH1B1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,184,0.127,4.0,21,10,47.62,1.53 (0.67-2.38),11,52.38,3.07 (2.42-3.73),2.31,1.73
T cells 18,518,0.109,19.0,131,3,2.29,3.52 (2.02-5.02),128,97.71,3.06 (2.78-3.34),2.60,4.80
astrocytes 5,932,0.098,34.0,80,3,3.75,3.84 (3.13-4.55),77,96.25,3.66 (3.24-4.09),2.00,4.39
oligodendrocyte progenitor cells 7,448,0.132,44.0,108,2,1.85,5.50 (NA-NA),106,98.15,3.23 (2.79-3.67),1.65,17.41
GABA neurons expressing GLU receptors 22,848,0.104,6.0,262,52,19.85,4.60 (3.92-5.27),210,80.15,4.03 (3.78-4.28),6.73,3.45
GLU like neurons 17,1247,0.144,58.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,853,0.256,94.0,133,17,12.78,2.06 (1.21-2.92),116,87.22,3.47 (3.15-3.79),4.69,4.08
GABA neurons expressing GABA receptors 13,266,0.13,31.0,118,16,13.56,4.81 (4.03-5.58),102,86.44,4.73 (4.34-5.12),3.19,4.12
endothelial cells 9,1653,0.152,68.0,297,10,3.37,3.92 (2.62-5.22),287,96.63,3.66 (3.46-3.87),5.37,5.52
oligodendrocytes 20,676,0.249,47.0,110,45,40.91,4.95 (4.26-5.63),65,59.09,5.03 (4.43-5.63),4.16,3.08
GABA like neurons 14,1300,0.126,15.0,306,73,23.86,4.43 (3.88-4.98),233,76.14,5.37 (5.08-5.65),12.17,4.99
astrocytes 8,1266,0.101,67.0,66,27,40.91,2.64 (1.92-3.36),39,59.09,3.68 (3.25-4.12),3.09,2.85
oligodendrocyte progenitor cells 12,103,0.45,47.0,9,3,33.33,5.41 (5.28-5.54),6,66.67,2.24 (0.06-4.41),1.99,3.26
oligodendrocytes 10,236,0.322,13.0,82,20,24.39,5.13 (4.32-5.94),62,75.61,4.95 (4.32-5.59),3.35,3.99
connective tissue cells 21,250,0.156,6.0,117,41,35.04,4.89 (4.21-5.57),76,64.96,5.65 (5.17-6.13),4.55,3.30
astrocytes 15,338,0.122,28.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,153,0.248,17.0,14,1,7.14,5.15 (NA-NA),13,92.86,4.63 (3.84-5.42),1.37,3.01
da neurons 6,553,0.17,74.0,124,20,16.13,4.07 (3.09-5.05),104,83.87,4.20 (3.77-4.63),2.91,3.06
astrocytes microglia 23,141,0.16,4.0,30,19,63.33,5.60 (4.48-6.71),11,36.67,5.89 (4.78-6.99),3.10,5.67
astrocytes 4,157,0.081,2.0,178,49,27.53,3.83 (3.14-4.52),129,72.47,4.27 (4.00-4.53),5.13,4.26
oligodendrocytes 0,261,0.088,4.0,42,26,61.9,3.69 (2.89-4.49),16,38.1,4.89 (3.63-6.14),2.42,2.04
microglia 1,480,0.123,13.0,163,6,3.68,2.88 (2.06-3.70),157,96.32,3.74 (3.47-4.02),3.94,5.21
oligodendrocytes 3,44,0.265,54.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,407,0.107,7.0,122,18,14.75,1.24 (0.84-1.64),104,85.25,3.81 (3.42-4.21),3.15,2.62
