tipo_celular,module_size,HSD17B12_MM,HSD17B12_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.165,55.0,97,6,6.19,4.03 (2.95-5.12),91,93.81,2.98 (2.56-3.39),4.82,4.91
T cells 18,610,0.091,10.0,98,15,15.31,1.08 (0.66-1.51),83,84.69,3.54 (3.25-3.83),7.14,3.48
astrocytes 5,1141,0.132,51.0,166,8,4.82,1.27 (0.55-2.00),158,95.18,3.52 (3.27-3.77),5.25,4.51
oligodendrocyte progenitor cells 7,448,0.12,32.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,823,0.217,74.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,489,0.187,75.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55),NA,3.21
da like neurons 11,191,0.088,6.0,93,1,1.08,1.29 (NA-NA),92,98.92,5.71 (5.32-6.10),1.90,4.16
GABA neurons expressing GABA receptors 13,357,0.14,37.0,237,4,1.69,4.27 (3.25-5.28),233,98.31,4.41 (4.17-4.65),2.08,4.22
endothelial cells 9,1653,0.072,8.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88),5.50,5.52
oligodendrocytes 20,250,0.151,34.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,1300,0.129,16.0,306,4,1.31,1.51 (0.51-2.52),302,98.69,5.16 (4.90-5.42),2.56,6.76
astrocytes 8,577,0.088,53.0,83,2,2.41,3.18 (1.90-4.45),81,97.59,3.25 (2.79-3.71),2.98,4.51
oligodendrocyte progenitor cells 12,153,0.468,77.0,27,2,7.41,1.78 (0.16-3.40),25,92.59,5.30 (4.50-6.09),1.51,2.20
oligodendrocytes 10,2107,0.092,24.0,358,18,5.03,1.15 (0.75-1.54),340,94.97,4.06 (3.88-4.24),33.93,8.18
connective tissue cells 21,145,0.272,37.0,1,0,0.0,NA,1,100.0,NA,NA,1.58
astrocytes 15,1768,0.134,85.0,105,15,14.29,2.08 (1.42-2.74),90,85.71,3.42 (3.06-3.78),5.21,3.77
oligodendrocytes 16,108,0.149,30.0,5,0,0.0,NA,5,100.0,3.97 (2.94-5.00),NA,2.53
da neurons 6,518,0.133,72.0,122,18,14.75,2.29 (1.50-3.07),104,85.25,4.40 (4.00-4.80),5.69,3.10
astrocytes microglia 23,78,0.181,3.0,3,0,0.0,NA,3,100.0,0.39 (0.24-0.54),NA,4.03
astrocytes 4,514,0.158,33.0,95,3,3.16,4.78 (4.78-4.78),92,96.84,3.31 (2.88-3.74),1.85,4.73
oligodendrocytes 0,187,0.158,45.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14),NA,2.49
microglia 1,813,0.14,73.0,79,8,10.13,3.67 (2.68-4.67),71,89.87,3.03 (2.59-3.46),3.36,8.41
oligodendrocytes 3,1003,0.095,50.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,528,0.12,8.0,175,7,4.0,3.82 (2.68-4.95),168,96.0,4.41 (4.05-4.78),8.38,4.46
