tipo_celular,module_size,RB1CC1_MM,RB1CC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352,0.122,20.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91),NA,3.22
T cells 18,610,0.122,25.0,98,36,36.73,2.58 (1.97-3.20),62,63.27,3.47 (3.17-3.77),5.21,3.35
astrocytes 5,1141,0.154,79.0,166,26,15.66,2.39 (1.89-2.89),140,84.34,3.63 (3.35-3.90),4.91,4.48
oligodendrocyte progenitor cells 7,4285,0.148,70.0,353,60,17.0,2.64 (2.17-3.11),293,83.0,4.20 (4.02-4.38),17.17,6.20
GABA neurons expressing GLU receptors 22,203,0.153,10.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97),NA,3.80
GLU like neurons 17,1247,0.158,67.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,197,0.285,73.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,266,0.149,45.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09),NA,3.99
endothelial cells 9,1653,0.112,38.0,297,4,1.35,5.13 (4.19-6.08),293,98.65,3.65 (3.45-3.86),2.06,5.57
oligodendrocytes 20,271,0.126,25.0,8,2,25.0,5.98 (5.98-5.98),6,75.0,2.50 (1.33-3.67),1.98,3.90
GABA like neurons 14,1300,0.21,52.0,306,16,5.23,2.47 (1.66-3.28),290,94.77,5.30 (5.04-5.55),4.56,6.82
astrocytes 8,727,0.114,55.0,29,2,6.9,3.49 (2.87-4.12),27,93.1,2.27 (1.76-2.79),2.62,3.62
oligodendrocyte progenitor cells 12,3303,0.137,96.0,276,41,14.86,2.52 (2.12-2.91),235,85.14,3.78 (3.54-4.02),9.04,4.42
oligodendrocytes 10,735,0.091,47.0,277,2,0.72,4.81 (NA-NA),275,99.28,3.89 (3.65-4.13),2.10,9.00
connective tissue cells 21,85,0.188,5.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75),NA,3.74
astrocytes 15,1768,0.15,91.0,105,33,31.43,2.91 (2.28-3.53),72,68.57,3.37 (2.98-3.76),4.45,3.76
oligodendrocytes 16,69,0.182,24.0,1,0,0.0,NA,1,100.0,NA,NA,1.56
da neurons 6,553,0.152,66.0,124,7,5.65,2.95 (1.67-4.22),117,94.35,4.27 (3.87-4.68),2.57,3.06
astrocytes microglia 23,100,0.21,10.0,9,3,33.33,3.90 (2.85-4.95),6,66.67,3.98 (2.48-5.47),1.39,1.89
astrocytes 4,752,0.157,56.0,96,7,7.29,2.61 (2.14-3.08),89,92.71,3.36 (3.00-3.71),2.41,4.47
oligodendrocytes 0,1186,0.174,90.0,300,5,1.67,4.38 (1.78-6.98),295,98.33,3.78 (3.58-3.99),4.51,4.15
microglia 1,1615,0.16,93.0,161,45,27.95,2.62 (1.99-3.24),116,72.05,3.57 (3.32-3.82),8.15,4.38
oligodendrocytes 3,357,0.109,60.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45),NA,4.24
oligodendrocytes 2,921,0.125,30.0,200,12,6.0,3.10 (1.87-4.34),188,94.0,3.65 (3.38-3.92),4.03,3.43
