tipo_celular,module_size,RSF1_MM,RSF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218,0.135,7.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,727,0.134,42.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83),5.05,6.26
astrocytes 5,1141,0.144,68.0,166,48,28.92,2.50 (2.17-2.83),118,71.08,3.86 (3.56-4.16),5.47,4.18
oligodendrocyte progenitor cells 7,448,0.078,8.0,108,1,0.93,3.55 (NA-NA),107,99.07,3.25 (2.81-3.70),1.97,17.26
GABA neurons expressing GLU receptors 22,848,0.108,8.0,262,12,4.58,2.45 (1.40-3.51),250,95.42,4.27 (4.02-4.51),4.32,4.09
GLU like neurons 17,380,0.146,32.0,39,1,2.56,1.71 (NA-NA),38,97.44,3.00 (2.44-3.56),2.61,2.57
da like neurons 11,853,0.087,15.0,133,49,36.84,2.32 (1.96-2.69),84,63.16,3.94 (3.54-4.34),5.74,3.24
GABA neurons expressing GABA receptors 13,200,0.168,62.0,34,2,5.88,3.66 (3.64-3.69),32,94.12,3.91 (2.95-4.87),1.69,3.60
endothelial cells 9,1653,0.122,46.0,297,8,2.69,3.65 (2.61-4.70),289,97.31,3.67 (3.47-3.88),4.93,5.53
oligodendrocytes 20,295,0.216,60.0,28,7,25.0,2.83 (2.03-3.63),21,75.0,1.95 (1.43-2.48),2.02,3.42
GABA like neurons 14,1300,0.169,31.0,306,8,2.61,1.38 (0.83-1.94),298,97.39,5.24 (4.99-5.49),6.59,6.71
astrocytes 8,771,0.07,25.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,143,0.395,29.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,1.31
oligodendrocytes 10,2107,0.205,71.0,358,79,22.07,2.31 (2.04-2.59),279,77.93,4.50 (4.31-4.68),21.98,5.93
connective tissue cells 21,82,0.239,28.0,19,0,0.0,NA,19,100.0,7.57 (7.32-7.82),NA,1.85
astrocytes 15,261,0.176,65.0,8,2,25.0,0.32 (0.20-0.45),6,75.0,5.02 (3.40-6.64),1.77,1.85
oligodendrocytes 16,116,0.096,1.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68),NA,1.37
da neurons 6,448,0.129,74.0,43,5,11.63,3.90 (3.68-4.13),38,88.37,3.18 (2.58-3.78),3.01,3.53
astrocytes microglia 23,253,0.229,37.0,47,9,19.15,2.87 (2.04-3.70),38,80.85,2.84 (2.48-3.20),2.22,3.29
astrocytes 4,752,0.148,41.0,96,16,16.67,2.75 (2.36-3.14),80,83.33,3.43 (3.03-3.83),2.66,4.65
oligodendrocytes 0,1186,0.157,70.0,300,14,4.67,3.17 (2.80-3.54),286,95.33,3.83 (3.62-4.05),5.70,4.08
microglia 1,1615,0.14,84.0,161,55,34.16,2.15 (1.85-2.45),106,65.84,4.07 (3.77-4.37),9.24,3.45
oligodendrocytes 3,357,0.108,59.0,127,7,5.51,4.73 (3.67-5.79),120,94.49,3.04 (2.70-3.37),5.60,4.16
oligodendrocytes 2,921,0.117,19.0,200,9,4.5,3.67 (2.61-4.73),191,95.5,3.62 (3.34-3.89),2.30,3.52
