tipo_celular,module_size,AP1B1_MM,AP1B1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360,0.065,1.0,102,8,7.84,2.88 (1.96-3.81),94,92.16,3.54 (3.16-3.92),4.94,2.87
T cells 18,282,0.06,4.0,241,6,2.49,3.66 (3.08-4.24),235,97.51,4.07 (3.81-4.33),3.34,4.36
astrocytes 5,932,0.086,15.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285,0.124,32.0,353,39,11.05,2.62 (2.15-3.09),314,88.95,4.10 (3.90-4.29),17.23,6.93
GABA neurons expressing GLU receptors 22,599,0.303,86.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,1316,0.104,32.0,101,3,2.97,3.17 (2.85-3.49),98,97.03,3.05 (2.68-3.41),2.19,3.08
da like neurons 11,1220,0.095,13.0,410,36,8.78,3.29 (2.92-3.66),374,91.22,4.37 (4.17-4.57),9.98,7.28
GABA neurons expressing GABA receptors 13,357,0.226,76.0,237,5,2.11,3.88 (3.55-4.20),232,97.89,4.42 (4.18-4.66),6.61,4.13
endothelial cells 9,338,0.065,8.0,191,14,7.33,3.48 (3.10-3.86),177,92.67,3.93 (3.68-4.17),5.44,9.45
oligodendrocytes 20,221,0.152,30.0,12,2,16.67,5.75 (5.75-5.75),10,83.33,1.58 (0.12-3.05),2.17,4.65
GABA like neurons 14,2402,0.138,21.0,455,49,10.77,3.38 (2.94-3.82),406,89.23,4.51 (4.31-4.71),16.59,7.90
astrocytes 8,520,0.079,30.0,288,47,16.32,3.58 (3.23-3.94),241,83.68,4.32 (4.09-4.55),7.59,4.12
oligodendrocyte progenitor cells 12,3303,0.076,47.0,276,22,7.97,3.08 (2.58-3.57),254,92.03,3.60 (3.36-3.83),6.01,5.03
oligodendrocytes 10,483,0.111,47.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,142,0.333,59.0,55,3,5.45,0.48 (0.39-0.58),52,94.55,3.77 (2.93-4.61),2.71,3.32
astrocytes 15,338,0.163,60.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,69,0.236,73.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,300,0.225,70.0,159,13,8.18,4.87 (4.32-5.42),146,91.82,4.31 (3.97-4.64),3.73,3.73
astrocytes microglia 23,253,0.258,50.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17),NA,3.08
astrocytes 4,787,0.146,40.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37),1.77,5.81
oligodendrocytes 0,2078,0.061,1.0,238,11,4.62,3.28 (2.45-4.11),227,95.38,3.66 (3.43-3.89),4.52,5.05
microglia 1,346,0.093,9.0,43,6,13.95,3.93 (3.49-4.36),37,86.05,3.74 (3.14-4.34),3.03,4.72
oligodendrocytes 3,457,0.039,3.0,345,40,11.59,3.41 (3.09-3.72),305,88.41,4.43 (4.20-4.66),8.58,5.31
oligodendrocytes 2,1630,0.139,45.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
