tipo_celular,module_size,ATXN2_MM,ATXN2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.139,15.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52),NA,5.26
T cells 18,624,0.127,28.0,142,1,0.7,NA,141,99.3,3.21 (2.94-3.48),1.68,4.32
astrocytes 5,118,0.235,65.0,8,2,25.0,5.21 (5.21-5.21),6,75.0,3.83 (1.50-6.17),1.48,2.18
oligodendrocyte progenitor cells 7,448,0.161,67.0,108,2,1.85,2.76 (NA-NA),106,98.15,3.26 (2.82-3.70),13.37,17.19
GABA neurons expressing GLU receptors 22,599,0.104,5.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,1247,0.129,47.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,265,0.314,90.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49),NA,1.75
GABA neurons expressing GABA receptors 13,88,0.209,82.0,2,0,0.0,NA,2,100.0,NA,NA,1.67
endothelial cells 9,1653,0.237,97.0,297,1,0.34,6.08 (NA-NA),296,99.66,3.66 (3.46-3.87),2.94,5.53
oligodendrocytes 20,233,0.162,33.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,1300,0.249,69.0,306,17,5.56,2.05 (1.51-2.60),289,94.44,5.35 (5.10-5.60),4.80,6.82
astrocytes 8,279,0.295,59.0,78,1,1.28,2.54 (NA-NA),77,98.72,4.34 (3.92-4.76),1.31,2.73
oligodendrocyte progenitor cells 12,103,0.515,89.0,9,0,0.0,NA,9,100.0,3.60 (1.89-5.31),NA,2.84
oligodendrocytes 10,130,0.16,11.0,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,91,0.185,6.0,4,0,0.0,NA,4,100.0,0.35 (0.26-0.44),NA,2.51
astrocytes 15,208,0.364,71.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36),NA,2.82
oligodendrocytes 16,149,0.121,9.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12),NA,3.31
da neurons 6,398,0.135,45.0,138,13,9.42,2.01 (1.32-2.71),125,90.58,5.15 (4.79-5.50),2.84,2.72
astrocytes microglia 23,141,0.201,18.0,30,3,10.0,1.82 (1.65-1.99),27,90.0,6.27 (5.57-6.97),1.65,4.31
astrocytes 4,251,0.131,24.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86),NA,3.07
oligodendrocytes 0,1186,0.139,39.0,300,8,2.67,3.59 (2.67-4.51),292,97.33,3.80 (3.59-4.01),4.16,4.16
microglia 1,1615,0.115,59.0,161,31,19.25,1.47 (1.16-1.78),130,80.75,3.83 (3.57-4.08),9.32,4.51
oligodendrocytes 3,639,0.118,66.0,15,5,33.33,0.85 (0.13-1.56),10,66.67,4.86 (3.58-6.13),2.83,1.91
oligodendrocytes 2,407,0.192,82.0,122,31,25.41,1.54 (1.24-1.84),91,74.59,4.19 (3.77-4.60),3.02,2.59
