tipo_celular,module_size,VPS26A_MM,VPS26A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178,0.163,16.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,727,0.128,37.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,1656,0.105,33.0,136,2,1.47,3.71 (2.16-5.26),134,98.53,3.20 (2.93-3.47),3.08,5.02
oligodendrocyte progenitor cells 7,4285,0.143,62.0,353,42,11.9,3.25 (2.59-3.91),311,88.1,4.00 (3.82-4.19),18.69,6.63
GABA neurons expressing GLU receptors 22,848,0.097,5.0,262,23,8.78,3.40 (2.75-4.06),239,91.22,4.26 (4.00-4.53),6.01,3.92
GLU like neurons 17,795,0.092,25.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09),NA,3.01
da like neurons 11,172,0.105,10.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86),NA,2.87
GABA neurons expressing GABA receptors 13,88,0.165,60.0,2,0,0.0,NA,2,100.0,NA,NA,1.67
endothelial cells 9,303,0.057,6.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46),NA,5.04
oligodendrocytes 20,271,0.189,58.0,8,2,25.0,5.98 (5.98-5.98),6,75.0,2.50 (1.33-3.67),1.98,3.90
GABA like neurons 14,2402,0.192,39.0,455,41,9.01,3.19 (2.64-3.75),414,90.99,4.50 (4.31-4.69),20.08,7.72
astrocytes 8,771,0.063,21.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,708,0.09,37.0,25,4,16.0,4.94 (1.76-8.12),21,84.0,2.38 (1.53-3.23),2.36,2.57
oligodendrocytes 10,483,0.109,47.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,118,0.295,52.0,4,2,50.0,NA,2,50.0,1.60 (-1.03-4.24),1.30,2.74
astrocytes 15,1768,0.079,43.0,105,17,16.19,3.10 (2.10-4.09),88,83.81,3.24 (2.89-3.59),4.92,3.80
oligodendrocytes 16,121,0.247,64.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89),NA,1.91
da neurons 6,553,0.103,30.0,124,2,1.61,2.45 (-1.56-6.46),122,98.39,4.22 (3.83-4.62),2.73,3.04
astrocytes microglia 23,327,0.349,58.0,120,23,19.17,2.47 (1.88-3.06),97,80.83,3.96 (3.65-4.27),3.75,2.57
astrocytes 4,1807,0.131,26.0,104,13,12.5,2.27 (1.44-3.10),91,87.5,2.95 (2.66-3.25),9.46,4.82
oligodendrocytes 0,2078,0.124,71.0,238,13,5.46,4.07 (2.85-5.29),225,94.54,3.61 (3.39-3.83),7.31,4.89
microglia 1,480,0.182,46.0,163,1,0.61,4.23 (NA-NA),162,99.39,3.70 (3.44-3.97),1.68,5.19
oligodendrocytes 3,743,0.069,31.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630,0.138,42.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
