tipo_celular,module_size,ARID1B_MM,ARID1B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235,0.11,11.0,140,39,27.86,4.10 (3.80-4.40),101,72.14,4.77 (4.39-5.15),4.19,3.29
T cells 18,388,0.134,41.0,84,19,22.62,3.81 (3.20-4.42),65,77.38,2.73 (2.37-3.09),2.37,4.90
astrocytes 5,222,0.151,26.0,98,4,4.08,2.04 (1.16-2.92),94,95.92,4.73 (4.32-5.13),2.95,2.64
oligodendrocyte progenitor cells 7,200,0.036,1.0,16,2,12.5,2.53 (2.34-2.73),14,87.5,4.16 (3.27-5.04),1.49,4.68
GABA neurons expressing GLU receptors 22,459,0.239,78.0,165,12,7.27,2.57 (1.90-3.24),153,92.73,5.36 (5.02-5.69),4.83,4.03
GLU like neurons 17,685,0.285,90.0,135,33,24.44,1.94 (1.65-2.23),102,75.56,3.70 (3.34-4.06),3.37,3.87
da like neurons 11,71,0.527,98.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,288,0.23,71.0,93,15,16.13,2.67 (2.10-3.25),78,83.87,5.81 (5.33-6.29),3.35,4.07
endothelial cells 9,1653,0.264,99.0,297,28,9.43,3.78 (3.50-4.05),269,90.57,3.66 (3.43-3.89),5.19,5.55
oligodendrocytes 20,676,0.467,76.0,110,13,11.82,2.48 (1.81-3.16),97,88.18,5.49 (5.07-5.92),3.21,3.57
GABA like neurons 14,1300,0.143,21.0,306,25,8.17,2.62 (2.14-3.11),281,91.83,5.43 (5.18-5.69),6.72,6.70
astrocytes 8,262,0.294,96.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,143,0.09,15.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,1.31
oligodendrocytes 10,2107,0.335,93.0,358,98,27.37,2.44 (2.20-2.67),260,72.63,4.66 (4.48-4.84),19.16,5.82
connective tissue cells 21,147,0.191,28.0,4,1,25.0,5.06 (NA-NA),3,75.0,5.43 (4.83-6.04),2.30,4.13
astrocytes 15,418,0.362,80.0,54,1,1.85,1.29 (NA-NA),53,98.15,3.73 (3.30-4.17),4.84,2.98
oligodendrocytes 16,287,0.224,31.0,105,15,14.29,2.31 (1.79-2.83),90,85.71,5.83 (5.49-6.17),3.15,3.52
da neurons 6,398,0.29,86.0,138,21,15.22,2.52 (1.93-3.11),117,84.78,5.33 (4.97-5.69),2.66,2.75
astrocytes microglia 23,229,0.158,4.0,99,17,17.17,3.89 (3.47-4.32),82,82.83,4.40 (4.00-4.79),3.31,3.22
astrocytes 4,220,0.085,6.0,63,13,20.63,3.05 (2.65-3.46),50,79.37,5.90 (5.33-6.47),4.02,3.10
oligodendrocytes 0,261,0.128,17.0,42,11,26.19,1.56 (1.21-1.92),31,73.81,5.37 (4.99-5.75),2.01,2.37
microglia 1,315,0.118,21.0,144,27,18.75,3.90 (3.55-4.26),117,81.25,4.61 (4.24-4.98),3.15,4.45
oligodendrocytes 3,127,0.151,10.0,45,8,17.78,2.39 (1.78-3.01),37,82.22,5.17 (4.21-6.13),2.05,6.76
oligodendrocytes 2,347,0.123,9.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
