tipo_celular,module_size,TXNL4A_MM,TXNL4A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178,0.275,77.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,393,0.084,6.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61),NA,5.34
astrocytes 5,423,0.116,26.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88),NA,5.02
oligodendrocyte progenitor cells 7,666,0.107,10.0,127,0,0.0,NA,127,100.0,3.83 (3.49-4.17),NA,5.84
GABA neurons expressing GLU receptors 22,487,0.187,39.0,73,6,8.22,2.34 (1.40-3.27),67,91.78,2.80 (2.39-3.21),4.10,7.62
GLU like neurons 17,1316,0.171,84.0,101,2,1.98,2.84 (2.81-2.86),99,98.02,3.06 (2.70-3.42),2.08,3.07
da like neurons 11,1220,0.192,54.0,410,9,2.2,2.75 (1.88-3.62),401,97.8,4.29 (4.11-4.48),8.42,7.50
GABA neurons expressing GABA receptors 13,417,0.163,51.0,213,26,12.21,1.89 (1.38-2.41),187,87.79,4.11 (3.88-4.35),7.37,10.01
endothelial cells 9,916,0.191,45.0,302,9,2.98,3.48 (2.06-4.89),293,97.02,4.00 (3.77-4.23),9.45,10.69
oligodendrocytes 20,938,0.145,59.0,169,9,5.33,2.43 (1.39-3.48),160,94.67,3.55 (3.33-3.77),5.27,5.37
GABA like neurons 14,2402,0.203,42.0,455,43,9.45,2.45 (1.96-2.94),412,90.55,4.60 (4.42-4.78),16.15,8.07
astrocytes 8,140,0.085,39.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
oligodendrocyte progenitor cells 12,3303,0.069,37.0,276,25,9.06,1.90 (1.58-2.23),251,90.94,3.76 (3.54-3.99),14.40,4.18
oligodendrocytes 10,735,0.183,84.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,106,0.329,72.0,9,1,11.11,0.26 (NA-NA),8,88.89,4.64 (2.19-7.09),1.92,2.32
astrocytes 15,1401,0.06,25.0,96,1,1.04,2.89 (NA-NA),95,98.96,3.62 (3.17-4.08),1.57,3.82
oligodendrocytes 16,81,0.152,18.0,11,0,0.0,NA,11,100.0,1.43 (0.65-2.21),NA,1.56
da neurons 6,729,0.221,80.0,182,12,6.59,2.80 (2.07-3.53),170,93.41,3.70 (3.43-3.96),8.13,8.55
astrocytes microglia 23,114,0.322,62.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,514,0.151,29.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79),NA,4.64
oligodendrocytes 0,546,0.103,13.0,252,24,9.52,1.92 (1.38-2.47),228,90.48,4.41 (4.17-4.64),10.13,8.01
microglia 1,406,0.075,3.0,278,2,0.72,4.31 (4.31-4.31),276,99.28,4.36 (4.09-4.64),5.85,6.74
oligodendrocytes 3,457,0.062,15.0,345,6,1.74,2.66 (2.05-3.28),339,98.26,4.31 (4.10-4.52),3.71,5.73
oligodendrocytes 2,526,0.155,17.0,213,2,0.94,4.31 (4.31-4.31),211,99.06,3.97 (3.70-4.25),2.74,7.99
