tipo_celular,module_size,LNPK_MM,LNPK_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,249,0.051,1.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69),NA,2.88
T cells 18,624,0.079,5.0,142,1,0.7,3.79 (NA-NA),141,99.3,3.20 (2.94-3.47),3.00,4.31
astrocytes 5,1656,0.128,70.0,136,5,3.68,3.76 (3.68-3.85),131,96.32,3.18 (2.90-3.47),3.81,5.03
oligodendrocyte progenitor cells 7,4285,0.125,33.0,353,23,6.52,1.81 (1.31-2.31),330,93.48,4.08 (3.90-4.26),33.04,6.32
GABA neurons expressing GLU receptors 22,1069,0.182,62.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,1316,0.105,34.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,132,0.305,62.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22),NA,2.11
GABA neurons expressing GABA receptors 13,357,0.162,49.0,237,1,0.42,4.05 (NA-NA),236,99.58,4.41 (4.18-4.64),5.66,4.18
endothelial cells 9,338,0.118,44.0,191,2,1.05,3.14 (1.36-4.92),189,98.95,3.89 (3.67-4.12),3.99,9.21
oligodendrocytes 20,253,0.157,49.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,3052,0.202,93.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,520,0.048,11.0,288,10,3.47,2.79 (1.70-3.87),278,96.53,4.22 (4.02-4.42),5.83,4.64
oligodendrocyte progenitor cells 12,3303,0.08,52.0,276,16,5.8,2.32 (1.76-2.88),260,94.2,3.64 (3.41-3.86),14.24,4.55
oligodendrocytes 10,806,0.162,51.0,261,12,4.6,3.52 (2.61-4.43),249,95.4,4.42 (4.17-4.66),6.18,6.06
connective tissue cells 21,116,0.537,100.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68),NA,1.74
astrocytes 15,1768,0.114,75.0,105,15,14.29,2.21 (1.64-2.79),90,85.71,3.39 (3.03-3.76),6.10,3.62
oligodendrocytes 16,123,0.153,13.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61),NA,3.28
da neurons 6,300,0.112,30.0,159,1,0.63,NA,158,99.37,4.36 (4.06-4.67),1.46,3.74
astrocytes microglia 23,116,0.276,19.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80),NA,2.32
astrocytes 4,787,0.159,66.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078,0.117,56.0,238,3,1.26,2.16 (-0.01-4.33),235,98.74,3.66 (3.44-3.88),7.70,4.99
microglia 1,813,0.086,13.0,79,8,10.13,3.36 (2.76-3.95),71,89.87,3.07 (2.62-3.52),3.33,8.42
oligodendrocytes 3,743,0.067,29.0,76,5,6.58,3.76 (3.68-3.85),71,93.42,3.11 (2.69-3.54),6.14,7.37
oligodendrocytes 2,921,0.124,28.0,200,2,1.0,1.99 (1.51-2.47),198,99.0,3.64 (3.37-3.91),2.16,3.48
