tipo_celular,module_size,TP53BP1_MM,TP53BP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.088,8.0,15,1,6.67,NA,14,93.33,5.79 (5.09-6.49),1.77,2.38
T cells 18,282,0.138,39.0,241,0,0.0,NA,241,100.0,4.05 (3.80-4.31),NA,4.34
astrocytes 5,1141,0.087,5.0,166,50,30.12,2.46 (2.16-2.77),116,69.88,3.89 (3.59-4.20),5.39,4.19
oligodendrocyte progenitor cells 7,4285,0.132,45.0,353,77,21.81,2.58 (2.27-2.89),276,78.19,4.39 (4.20-4.58),16.73,5.65
GABA neurons expressing GLU receptors 22,599,0.151,22.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,1316,0.117,44.0,101,2,1.98,2.89 (2.81-2.97),99,98.02,3.06 (2.70-3.41),2.03,3.07
da like neurons 11,853,0.136,55.0,133,49,36.84,2.15 (1.82-2.47),84,63.16,3.99 (3.60-4.37),5.82,3.20
GABA neurons expressing GABA receptors 13,88,0.18,69.0,2,0,0.0,NA,2,100.0,NA,NA,1.67
endothelial cells 9,1653,0.105,31.0,297,21,7.07,3.83 (3.32-4.34),276,92.93,3.66 (3.45-3.88),5.20,5.54
oligodendrocytes 20,275,0.035,6.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,2090,0.21,83.0,74,17,22.97,2.58 (2.12-3.03),57,77.03,3.06 (2.59-3.54),3.30,12.65
astrocytes 8,1266,0.072,40.0,66,26,39.39,2.17 (1.64-2.70),40,60.61,4.05 (3.60-4.50),3.45,2.63
oligodendrocyte progenitor cells 12,3303,0.046,12.0,276,57,20.65,2.39 (2.12-2.66),219,79.35,3.94 (3.69-4.19),8.56,4.21
oligodendrocytes 10,735,0.1,53.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,183,0.222,31.0,32,1,3.12,0.87 (NA-NA),31,96.88,5.26 (4.67-5.86),1.48,2.71
astrocytes 15,443,0.138,38.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,121,0.156,15.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89),NA,1.91
da neurons 6,448,0.111,61.0,43,3,6.98,3.74 (3.68-3.81),40,93.02,3.24 (2.67-3.81),3.01,3.51
astrocytes microglia 23,99,0.286,35.0,3,0,0.0,NA,3,100.0,1.85 (0.77-2.94),NA,4.50
astrocytes 4,752,0.149,43.0,96,16,16.67,2.68 (2.33-3.02),80,83.33,3.45 (3.05-3.85),2.38,4.71
oligodendrocytes 0,2078,0.135,89.0,238,22,9.24,3.17 (2.56-3.78),216,90.76,3.69 (3.46-3.93),4.95,5.03
microglia 1,1615,0.081,11.0,161,70,43.48,2.60 (2.26-2.94),91,56.52,3.99 (3.64-4.34),7.78,3.63
oligodendrocytes 3,94,0.055,19.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73),NA,3.83
oligodendrocytes 2,921,0.122,25.0,200,11,5.5,2.94 (2.47-3.40),189,94.5,3.66 (3.38-3.94),3.57,3.46
