tipo_celular,module_size,NDUFV1_MM,NDUFV1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218,0.219,59.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,393,0.118,25.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61),NA,5.34
astrocytes 5,328,0.098,14.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91),NA,6.76
oligodendrocyte progenitor cells 7,628,0.213,74.0,164,31,18.9,4.01 (3.50-4.51),133,81.1,4.11 (3.71-4.50),4.30,8.28
GABA neurons expressing GLU receptors 22,823,0.175,47.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,380,0.197,69.0,39,1,2.56,1.74 (NA-NA),38,97.44,3.00 (2.44-3.56),2.57,2.57
da like neurons 11,1220,0.159,42.0,410,69,16.83,3.71 (3.45-3.97),341,83.17,4.40 (4.17-4.62),16.91,5.61
GABA neurons expressing GABA receptors 13,417,0.168,55.0,213,77,36.15,3.28 (2.94-3.62),136,63.85,4.15 (3.81-4.48),15.18,6.57
endothelial cells 9,916,0.094,13.0,302,61,20.2,3.78 (3.48-4.08),241,79.8,4.05 (3.76-4.34),19.13,8.51
oligodendrocytes 20,279,0.173,37.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13),NA,3.48
GABA like neurons 14,2402,0.331,71.0,455,70,15.38,3.40 (3.04-3.76),385,84.62,4.58 (4.37-4.78),18.53,7.07
astrocytes 8,603,0.11,70.0,89,5,5.62,1.56 (0.90-2.23),84,94.38,2.86 (2.49-3.23),4.67,6.12
oligodendrocyte progenitor cells 12,3303,0.078,49.0,276,13,4.71,2.02 (1.45-2.59),263,95.29,3.64 (3.42-3.86),9.97,4.87
oligodendrocytes 10,735,0.145,74.0,277,19,6.86,3.95 (3.86-4.04),258,93.14,3.89 (3.62-4.15),4.54,9.27
connective tissue cells 21,136,0.355,80.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA),NA,1.93
astrocytes 15,458,0.021,2.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,107,0.31,96.0,11,1,9.09,0.52 (NA-NA),10,90.91,1.58 (0.87-2.29),3.11,3.61
da neurons 6,409,0.209,81.0,235,45,19.15,3.68 (3.40-3.95),190,80.85,4.08 (3.76-4.40),5.02,4.27
astrocytes microglia 23,101,0.221,2.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,208,0.124,12.0,173,0,0.0,NA,173,100.0,3.80 (3.50-4.10),NA,5.62
oligodendrocytes 0,546,0.099,11.0,252,68,26.98,3.34 (2.96-3.71),184,73.02,4.48 (4.17-4.78),8.33,8.17
microglia 1,406,0.088,9.0,278,0,0.0,NA,278,100.0,4.36 (4.09-4.63),NA,6.74
oligodendrocytes 3,303,0.082,22.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94),NA,11.84
oligodendrocytes 2,526,0.174,22.0,213,56,26.29,4.01 (3.76-4.25),157,73.71,3.96 (3.58-4.35),9.44,7.40
