tipo_celular,module_size,REEP5_MM,REEP5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.105,13.0,97,2,2.06,3.71 (3.49-3.93),95,97.94,3.04 (2.64-3.44),4.97,4.90
T cells 18,282,0.26,83.0,241,3,1.24,3.02 (2.22-3.83),238,98.76,4.07 (3.82-4.33),2.44,4.36
astrocytes 5,1656,0.139,84.0,136,3,2.21,3.72 (3.60-3.85),133,97.79,3.20 (2.92-3.47),3.90,5.01
oligodendrocyte progenitor cells 7,296,0.256,78.0,251,1,0.4,NA,250,99.6,4.07 (3.83-4.30),1.57,6.17
GABA neurons expressing GLU receptors 22,848,0.205,47.0,262,12,4.58,2.95 (1.97-3.94),250,95.42,4.24 (3.99-4.49),5.32,4.05
GLU like neurons 17,1316,0.194,92.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,1220,0.346,87.0,410,11,2.68,3.08 (2.16-4.00),399,97.32,4.29 (4.10-4.48),8.18,7.50
GABA neurons expressing GABA receptors 13,86,0.171,56.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72),NA,4.82
endothelial cells 9,916,0.15,32.0,302,6,1.99,2.56 (1.40-3.71),296,98.01,4.02 (3.79-4.25),4.94,10.77
oligodendrocytes 20,228,0.113,17.0,5,2,40.0,1.10 (-0.55-2.76),3,60.0,4.69 (2.53-6.85),1.93,2.82
GABA like neurons 14,2402,0.583,94.0,455,19,4.18,2.68 (1.70-3.67),436,95.82,4.44 (4.26-4.63),24.33,8.16
astrocytes 8,520,0.277,84.0,288,16,5.56,3.51 (2.56-4.46),272,94.44,4.22 (4.02-4.42),8.02,4.49
oligodendrocyte progenitor cells 12,3303,0.061,27.0,276,12,4.35,2.18 (1.58-2.77),264,95.65,3.62 (3.40-3.85),9.32,4.92
oligodendrocytes 10,806,0.287,77.0,261,12,4.6,3.70 (2.76-4.65),249,95.4,4.41 (4.16-4.66),5.31,6.10
connective tissue cells 21,101,0.329,54.0,116,8,6.9,2.16 (1.73-2.58),108,93.1,4.88 (4.46-5.29),3.77,3.18
astrocytes 15,458,0.077,39.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,313,0.332,78.0,291,14,4.81,2.95 (2.21-3.68),277,95.19,4.42 (4.19-4.65),7.01,3.65
da neurons 6,409,0.241,86.0,235,0,0.0,NA,235,100.0,3.97 (3.72-4.22),NA,4.41
astrocytes microglia 23,80,0.255,16.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,157,0.139,20.0,178,14,7.87,1.81 (1.22-2.40),164,92.13,4.42 (4.17-4.67),4.40,4.51
oligodendrocytes 0,613,0.145,52.0,127,2,1.57,2.74 (2.35-3.14),125,98.43,3.06 (2.63-3.48),2.84,6.33
microglia 1,214,0.192,54.0,227,3,1.32,3.39 (2.10-4.67),224,98.68,4.10 (3.87-4.34),5.62,6.13
oligodendrocytes 3,457,0.163,70.0,345,15,4.35,3.35 (2.41-4.29),330,95.65,4.33 (4.12-4.54),6.98,5.63
oligodendrocytes 2,528,0.236,67.0,175,9,5.14,3.77 (2.92-4.62),166,94.86,4.43 (4.06-4.80),6.53,4.52
