tipo_celular,module_size,YWHAQ_MM,YWHAQ_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351,0.23,93.0,71,4,5.63,1.32 (0.53-2.12),67,94.37,2.71 (2.29-3.14),1.89,3.68
T cells 18,282,0.135,18.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,228,0.106,13.0,266,18,6.77,2.11 (1.20-3.02),248,93.23,4.24 (4.04-4.44),10.55,4.57
oligodendrocyte progenitor cells 7,296,0.164,38.0,251,0,0.0,NA,251,100.0,4.07 (3.83-4.30),NA,6.15
GABA neurons expressing GLU receptors 22,487,0.313,80.0,73,4,5.48,2.22 (0.60-3.84),69,94.52,2.79 (2.39-3.19),2.31,7.62
GLU like neurons 17,637,0.126,35.0,91,13,14.29,2.37 (1.33-3.41),78,85.71,5.06 (4.54-5.57),3.03,3.06
da like neurons 11,1220,0.247,70.0,410,14,3.41,3.39 (1.31-5.46),396,96.59,4.27 (4.08-4.45),17.73,7.15
GABA neurons expressing GABA receptors 13,417,0.1,9.0,213,22,10.33,1.84 (1.03-2.64),191,89.67,3.96 (3.73-4.20),8.90,9.78
endothelial cells 9,586,0.102,20.0,62,1,1.61,2.43 (NA-NA),61,98.39,4.08 (3.63-4.53),3.67,4.22
oligodendrocytes 20,279,0.13,18.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13),NA,3.48
GABA like neurons 14,2402,0.39,79.0,455,23,5.05,1.86 (0.83-2.89),432,94.95,4.46 (4.28-4.64),22.51,8.11
astrocytes 8,771,0.187,64.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,3303,0.128,93.0,276,29,10.51,1.77 (1.51-2.03),247,89.49,3.81 (3.59-4.04),7.12,4.87
oligodendrocytes 10,806,0.187,59.0,261,8,3.07,3.40 (1.86-4.93),253,96.93,4.38 (4.14-4.63),7.53,6.02
connective tissue cells 21,125,0.292,49.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99),NA,2.65
astrocytes 15,443,0.18,71.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,113,0.202,70.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71),NA,1.74
da neurons 6,409,0.135,56.0,235,4,1.7,2.49 (0.66-4.33),231,98.3,4.01 (3.76-4.26),6.98,4.37
astrocytes microglia 23,140,0.269,21.0,1,0,0.0,NA,1,100.0,NA,NA,1.75
astrocytes 4,157,0.106,4.0,178,14,7.87,2.26 (1.20-3.32),164,92.13,4.30 (4.04-4.56),8.19,4.18
oligodendrocytes 0,613,0.191,86.0,127,14,11.02,2.25 (1.75-2.76),113,88.98,3.22 (2.74-3.70),2.64,6.73
microglia 1,214,0.131,26.0,227,13,5.73,4.20 (2.80-5.60),214,94.27,4.09 (3.85-4.33),12.17,5.75
oligodendrocytes 3,743,0.128,89.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,528,0.198,49.0,175,12,6.86,3.61 (2.62-4.60),163,93.14,4.42 (4.06-4.78),13.73,3.95
