tipo_celular,module_size,PCMT1_MM,PCMT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172,0.226,68.0,140,0,0.0,NA,140,100.0,4.51 (4.08-4.93),NA,3.57
T cells 18,388,0.037,1.0,84,1,1.19,NA,83,98.81,2.97 (2.65-3.30),1.40,4.36
astrocytes 5,228,0.166,43.0,266,14,5.26,2.11 (1.04-3.18),252,94.74,4.21 (4.00-4.41),12.59,4.56
oligodendrocyte progenitor cells 7,296,0.177,49.0,251,0,0.0,NA,251,100.0,4.07 (3.83-4.30),NA,6.15
GABA neurons expressing GLU receptors 22,400,0.204,54.0,24,6,25.0,1.27 (0.25-2.28),18,75.0,2.45 (1.91-2.99),6.06,2.76
GLU like neurons 17,1316,0.087,16.0,101,2,1.98,2.76 (2.30-3.22),99,98.02,3.06 (2.70-3.42),3.30,3.05
da like neurons 11,1220,0.248,70.0,410,10,2.44,2.78 (1.44-4.13),400,97.56,4.27 (4.08-4.46),22.60,7.14
GABA neurons expressing GABA receptors 13,417,0.15,43.0,213,16,7.51,1.58 (0.75-2.42),197,92.49,3.93 (3.69-4.16),9.91,9.67
endothelial cells 9,338,0.176,66.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11),NA,9.16
oligodendrocytes 20,938,0.211,83.0,169,10,5.92,2.35 (0.97-3.74),159,94.08,3.53 (3.31-3.75),11.88,4.95
GABA like neurons 14,2402,0.312,68.0,455,16,3.52,1.57 (0.76-2.38),439,96.48,4.45 (4.27-4.63),29.41,8.09
astrocytes 8,520,0.25,80.0,288,11,3.82,2.86 (1.75-3.96),277,96.18,4.21 (4.01-4.41),13.43,4.34
oligodendrocyte progenitor cells 12,3303,0.116,87.0,276,11,3.99,1.91 (1.27-2.55),265,96.01,3.62 (3.40-3.84),13.96,4.74
oligodendrocytes 10,806,0.322,82.0,261,5,1.92,3.18 (NA-NA),256,98.08,4.37 (4.13-4.61),8.58,6.02
connective tissue cells 21,136,0.576,100.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA),NA,1.93
astrocytes 15,377,0.172,67.0,14,1,7.14,0.52 (NA-NA),13,92.86,2.32 (0.98-3.65),2.26,2.47
oligodendrocytes 16,313,0.26,63.0,291,1,0.34,0.55 (NA-NA),290,99.66,4.34 (4.12-4.57),1.33,3.82
da neurons 6,409,0.29,93.0,235,4,1.7,2.49 (0.66-4.33),231,98.3,4.01 (3.76-4.26),6.98,4.37
astrocytes microglia 23,125,0.281,25.0,3,0,0.0,NA,3,100.0,NA,NA,1.30
astrocytes 4,157,0.133,15.0,178,12,6.74,2.13 (0.92-3.34),166,93.26,4.27 (4.01-4.54),9.13,4.16
oligodendrocytes 0,613,0.101,10.0,127,1,0.79,1.01 (NA-NA),126,99.21,3.08 (2.66-3.49),5.73,6.28
microglia 1,214,0.168,46.0,227,8,3.52,3.66 (3.13-4.18),219,96.48,4.10 (3.86-4.34),17.96,5.69
oligodendrocytes 3,457,0.118,53.0,345,9,2.61,3.66 (3.13-4.18),336,97.39,4.28 (4.07-4.49),23.38,5.22
oligodendrocytes 2,528,0.196,48.0,175,9,5.14,3.66 (3.13-4.18),166,94.86,4.40 (4.04-4.76),16.88,3.96
