tipo_celular,module_size,IPO7_MM,IPO7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211,0.204,74.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08),NA,4.16
T cells 18,624,0.232,92.0,142,4,2.82,3.79 (2.95-4.62),138,97.18,3.19 (2.92-3.46),3.71,4.31
astrocytes 5,322,0.123,22.0,58,11,18.97,3.50 (2.50-4.50),47,81.03,4.37 (3.92-4.82),1.94,2.41
oligodendrocyte progenitor cells 7,4285,0.174,95.0,353,59,16.71,2.58 (2.20-2.96),294,83.29,4.21 (4.02-4.40),20.79,5.51
GABA neurons expressing GLU receptors 22,848,0.103,6.0,262,20,7.63,3.69 (2.84-4.53),242,92.37,4.21 (3.95-4.47),5.57,3.98
GLU like neurons 17,1316,0.112,40.0,101,4,3.96,3.06 (2.22-3.89),97,96.04,3.05 (2.69-3.42),2.50,3.08
da like neurons 11,1220,0.092,11.0,410,24,5.85,3.56 (2.87-4.26),386,94.15,4.31 (4.11-4.50),11.39,7.27
GABA neurons expressing GABA receptors 13,357,0.083,6.0,237,7,2.95,3.98 (3.55-4.41),230,97.05,4.42 (4.18-4.66),5.99,4.13
endothelial cells 9,412,0.125,25.0,141,13,9.22,3.67 (2.42-4.93),128,90.78,2.89 (2.66-3.12),3.38,7.17
oligodendrocytes 20,271,0.124,22.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,3052,0.157,65.0,125,4,3.2,4.01 (3.02-5.01),121,96.8,3.33 (3.00-3.66),2.73,8.81
astrocytes 8,520,0.061,19.0,288,27,9.38,3.21 (2.64-3.78),261,90.62,4.30 (4.09-4.50),8.68,4.27
oligodendrocyte progenitor cells 12,3303,0.065,32.0,276,45,16.3,2.60 (2.23-2.96),231,83.7,3.78 (3.53-4.02),11.68,3.83
oligodendrocytes 10,735,0.122,64.0,277,4,1.44,6.69 (6.29-7.09),273,98.56,3.87 (3.62-4.11),2.68,9.04
connective tissue cells 21,136,0.24,23.0,3,1,33.33,NA,2,66.67,0.26 (NA-NA),2.42,1.69
astrocytes 15,1401,0.092,56.0,96,11,11.46,3.51 (2.12-4.89),85,88.54,3.62 (3.15-4.10),2.39,3.98
oligodendrocytes 16,105,0.288,83.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00),NA,13.60
da neurons 6,518,0.144,79.0,122,23,18.85,2.27 (1.73-2.81),99,81.15,4.55 (4.14-4.97),5.26,3.07
astrocytes microglia 23,110,0.25,18.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807,0.16,79.0,104,22,21.15,2.15 (1.61-2.69),82,78.85,3.07 (2.76-3.39),12.59,3.47
oligodendrocytes 0,613,0.143,51.0,127,17,13.39,2.89 (2.42-3.37),110,86.61,3.09 (2.59-3.59),3.56,6.70
microglia 1,813,0.158,82.0,79,1,1.27,2.24 (NA-NA),78,98.73,3.11 (2.71-3.52),7.00,7.91
oligodendrocytes 3,743,0.071,34.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,921,0.173,92.0,200,18,9.0,3.60 (3.12-4.08),182,91.0,3.62 (3.33-3.91),4.95,3.32
