tipo_celular,module_size,SNX27_MM,SNX27_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.126,7.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52),NA,5.26
T cells 18,610,0.099,14.0,98,21,21.43,2.29 (1.63-2.96),77,78.57,3.38 (3.04-3.72),6.21,3.44
astrocytes 5,1656,0.116,50.0,136,2,1.47,3.71 (2.16-5.26),134,98.53,3.20 (2.93-3.47),3.08,5.02
oligodendrocyte progenitor cells 7,4285,0.173,95.0,353,29,8.22,2.70 (2.03-3.36),324,91.78,4.03 (3.85-4.22),22.92,6.73
GABA neurons expressing GLU receptors 22,487,0.07,2.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14),NA,7.33
GLU like neurons 17,1247,0.126,43.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,142,0.249,56.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA),NA,1.71
GABA neurons expressing GABA receptors 13,266,0.207,73.0,118,2,1.69,2.67 (2.55-2.80),116,98.31,4.78 (4.43-5.14),2.71,4.01
endothelial cells 9,450,0.094,11.0,74,3,4.05,4.27 (3.37-5.17),71,95.95,5.54 (4.96-6.12),1.70,3.72
oligodendrocytes 20,250,0.13,25.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,2402,0.166,30.0,455,25,5.49,2.57 (1.98-3.16),430,94.51,4.49 (4.30-4.67),25.46,7.87
astrocytes 8,520,0.038,5.0,288,24,8.33,3.10 (2.57-3.62),264,91.67,4.30 (4.10-4.51),10.63,4.15
oligodendrocyte progenitor cells 12,708,0.073,27.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,806,0.031,3.0,261,10,3.83,2.67 (2.05-3.30),251,96.17,4.46 (4.21-4.70),8.10,5.98
connective tissue cells 21,106,0.271,34.0,9,1,11.11,0.26 (NA-NA),8,88.89,4.64 (2.19-7.09),1.92,2.32
astrocytes 15,261,0.159,55.0,8,3,37.5,1.39 (-0.70-3.48),5,62.5,5.40 (3.54-7.25),1.67,1.92
oligodendrocytes 16,88,0.211,61.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553,0.127,50.0,124,2,1.61,2.45 (-1.56-6.46),122,98.39,4.22 (3.83-4.62),2.73,3.04
astrocytes microglia 23,83,0.26,24.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787,0.166,75.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,613,0.133,41.0,127,7,5.51,3.47 (3.07-3.86),120,94.49,3.01 (2.56-3.46),3.22,6.46
microglia 1,1615,0.13,76.0,161,15,9.32,1.53 (0.82-2.24),146,90.68,3.50 (3.23-3.76),11.70,4.79
oligodendrocytes 3,681,0.09,46.0,87,6,6.9,1.31 (0.34-2.28),81,93.1,2.69 (2.41-2.96),6.02,4.11
oligodendrocytes 2,921,0.168,91.0,200,11,5.5,3.70 (3.05-4.35),189,94.5,3.62 (3.33-3.90),4.74,3.39
