tipo_celular,module_size,KIF2A_MM,KIF2A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352,0.173,48.0,73,1,1.37,NA,72,98.63,3.56 (3.22-3.91),1.35,3.25
T cells 18,624,0.148,47.0,142,11,7.75,3.86 (3.41-4.32),131,92.25,3.16 (2.87-3.44),3.67,4.35
astrocytes 5,1141,0.134,53.0,166,21,12.65,2.22 (1.72-2.71),145,87.35,3.57 (3.30-3.84),8.55,3.97
oligodendrocyte progenitor cells 7,448,0.151,58.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,487,0.127,15.0,73,3,4.11,2.12 (1.04-3.20),70,95.89,2.79 (2.39-3.19),2.37,7.54
GLU like neurons 17,1316,0.144,67.0,101,3,2.97,2.77 (2.53-3.01),98,97.03,3.06 (2.70-3.43),2.35,3.08
da like neurons 11,137,0.267,47.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA),NA,1.63
GABA neurons expressing GABA receptors 13,238,0.089,7.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,450,0.163,35.0,74,8,10.81,4.23 (3.36-5.11),66,89.19,5.67 (5.06-6.28),2.74,3.74
oligodendrocytes 20,358,0.151,49.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,3052,0.201,92.0,125,4,3.2,4.19 (3.46-4.92),121,96.8,3.34 (3.01-3.66),4.32,8.75
astrocytes 8,727,0.077,29.0,29,1,3.45,3.81 (NA-NA),28,96.55,2.31 (1.81-2.81),2.39,3.59
oligodendrocyte progenitor cells 12,138,0.459,45.0,5,2,40.0,4.33 (4.33-4.33),3,60.0,NA,1.43,2.85
oligodendrocytes 10,735,0.083,40.0,277,1,0.36,NA,276,99.64,3.89 (3.65-4.14),2.03,8.97
connective tissue cells 21,111,0.264,43.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA),NA,3.65
astrocytes 15,1768,0.107,69.0,105,14,13.33,1.68 (1.22-2.14),91,86.67,3.43 (3.08-3.78),7.79,3.39
oligodendrocytes 16,94,0.158,18.0,5,1,20.0,3.65 (NA-NA),4,80.0,2.64 (1.13-4.14),1.76,1.89
da neurons 6,307,0.121,51.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28),NA,3.36
astrocytes microglia 23,255,0.304,82.0,57,1,1.75,NA,56,98.25,2.65 (2.29-3.01),1.69,3.36
astrocytes 4,752,0.156,53.0,96,9,9.38,3.36 (2.34-4.38),87,90.62,3.28 (2.93-3.63),2.97,4.46
oligodendrocytes 0,1186,0.17,86.0,300,10,3.33,3.56 (3.21-3.91),290,96.67,3.80 (3.59-4.01),3.19,4.19
microglia 1,958,0.119,61.0,290,13,4.48,2.47 (1.64-3.30),277,95.52,3.89 (3.66-4.13),4.35,5.03
oligodendrocytes 3,1003,0.126,74.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,348,0.122,10.0,114,10,8.77,4.84 (4.62-5.06),104,91.23,5.15 (4.69-5.62),4.83,4.35
