tipo_celular,module_size,NFE2L1_MM,NFE2L1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159,0.245,72.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51),NA,3.27
T cells 18,282,0.193,61.0,241,0,0.0,NA,241,100.0,4.05 (3.80-4.31),NA,4.34
astrocytes 5,328,0.099,14.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91),NA,6.76
oligodendrocyte progenitor cells 7,296,0.213,67.0,251,0,0.0,NA,251,100.0,4.07 (3.83-4.30),NA,6.15
GABA neurons expressing GLU receptors 22,848,0.449,96.0,262,4,1.53,0.70 (0.28-1.13),258,98.47,4.23 (3.99-4.47),3.43,4.11
GLU like neurons 17,229,0.233,73.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13),NA,3.09
da like neurons 11,1220,0.318,84.0,410,1,0.24,0.55 (NA-NA),409,99.76,4.26 (4.07-4.45),11.45,7.51
GABA neurons expressing GABA receptors 13,357,0.089,9.0,237,0,0.0,NA,237,100.0,4.41 (4.18-4.64),NA,4.18
endothelial cells 9,916,0.21,51.0,302,1,0.33,0.21 (NA-NA),301,99.67,4.00 (3.77-4.22),5.10,10.67
oligodendrocytes 20,358,0.136,42.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,2402,0.529,91.0,455,20,4.4,1.33 (0.92-1.73),435,95.6,4.54 (4.36-4.71),23.00,8.18
astrocytes 8,520,0.201,71.0,288,1,0.35,0.55 (NA-NA),287,99.65,4.19 (3.99-4.39),3.91,4.69
oligodendrocyte progenitor cells 12,3303,0.063,30.0,276,37,13.41,1.82 (1.61-2.04),239,86.59,3.90 (3.67-4.12),10.43,4.29
oligodendrocytes 10,806,0.305,80.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61),NA,6.07
connective tissue cells 21,125,0.223,17.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99),NA,2.65
astrocytes 15,1401,0.039,8.0,96,3,3.12,1.66 (1.48-1.85),93,96.88,3.69 (3.23-4.15),5.96,3.73
oligodendrocytes 16,91,0.297,87.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,307,0.127,57.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28),NA,3.36
astrocytes microglia 23,53,0.307,41.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,157,0.131,13.0,178,6,3.37,1.01 (0.00-2.01),172,96.63,4.29 (4.04-4.55),4.39,4.50
oligodendrocytes 0,546,0.121,21.0,252,18,7.14,1.29 (0.88-1.70),234,92.86,4.38 (4.15-4.62),9.90,8.08
microglia 1,214,0.167,45.0,227,0,0.0,NA,227,100.0,4.09 (3.86-4.33),NA,6.12
oligodendrocytes 3,457,0.154,66.0,345,0,0.0,NA,345,100.0,4.27 (4.06-4.48),NA,5.69
oligodendrocytes 2,528,0.255,75.0,175,0,0.0,NA,175,100.0,4.38 (4.03-4.73),NA,4.62
