tipo_celular,module_size,SDHA_MM,SDHA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.164,27.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52),NA,5.26
T cells 18,282,0.106,7.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,228,0.108,14.0,266,56,21.05,3.31 (2.97-3.64),210,78.95,4.42 (4.18-4.67),6.61,4.55
oligodendrocyte progenitor cells 7,4285,0.144,63.0,353,30,8.5,1.60 (1.24-1.95),323,91.5,4.17 (4.00-4.35),28.82,6.14
GABA neurons expressing GLU receptors 22,848,0.198,44.0,262,20,7.63,2.94 (2.30-3.58),242,92.37,4.31 (4.05-4.56),2.84,4.21
GLU like neurons 17,1316,0.156,76.0,101,2,1.98,2.32 (1.92-2.72),99,98.02,3.07 (2.71-3.43),2.46,3.07
da like neurons 11,1220,0.147,37.0,410,57,13.9,3.63 (3.39-3.87),353,86.1,4.39 (4.17-4.61),17.48,5.91
GABA neurons expressing GABA receptors 13,357,0.214,71.0,237,10,4.22,3.24 (2.41-4.07),227,95.78,4.47 (4.23-4.71),2.75,4.25
endothelial cells 9,338,0.081,20.0,191,1,0.52,3.72 (NA-NA),190,99.48,3.89 (3.66-4.11),3.10,9.19
oligodendrocytes 20,938,0.087,30.0,169,50,29.59,3.59 (3.28-3.89),119,70.41,3.42 (3.13-3.72),4.02,5.93
GABA like neurons 14,2402,0.197,40.0,455,67,14.73,3.15 (2.82-3.48),388,85.27,4.64 (4.44-4.84),18.81,7.11
astrocytes 8,520,0.123,53.0,288,41,14.24,3.64 (3.33-3.95),247,85.76,4.29 (4.06-4.53),4.62,4.70
oligodendrocyte progenitor cells 12,708,0.074,27.0,25,2,8.0,2.01 (-1.53-5.55),23,92.0,2.96 (1.92-3.99),1.76,2.60
oligodendrocytes 10,735,0.132,69.0,277,19,6.86,3.95 (3.86-4.04),258,93.14,3.89 (3.62-4.15),4.54,9.27
connective tissue cells 21,101,0.147,4.0,116,24,20.69,3.32 (2.84-3.80),92,79.31,5.15 (4.66-5.64),3.73,3.09
astrocytes 15,443,0.218,86.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,69,0.176,34.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,409,0.251,88.0,235,57,24.26,3.58 (3.28-3.88),178,75.74,4.17 (3.83-4.51),4.95,4.24
astrocytes microglia 23,46,0.274,18.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807,0.141,43.0,104,16,15.38,1.54 (1.14-1.94),88,84.62,3.13 (2.83-3.42),13.69,3.89
oligodendrocytes 0,613,0.121,26.0,127,2,1.57,2.55 (1.76-3.34),125,98.43,3.06 (2.64-3.49),4.29,6.31
microglia 1,214,0.096,12.0,227,50,22.03,3.82 (3.60-4.03),177,77.97,4.21 (3.89-4.53),9.59,5.14
oligodendrocytes 3,854,0.057,11.0,76,2,2.63,0.72 (-0.29-1.73),74,97.37,2.84 (2.51-3.17),3.11,4.76
oligodendrocytes 2,528,0.131,12.0,175,1,0.57,1.29 (NA-NA),174,99.43,4.40 (4.06-4.75),7.99,4.60
