tipo_celular,module_size,PCGF5_MM,PCGF5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360,0.211,61.0,102,36,35.29,2.40 (2.05-2.74),66,64.71,4.15 (3.68-4.62),3.43,2.82
T cells 18,727,0.239,97.0,49,6,12.24,3.51 (2.42-4.59),43,87.76,2.35 (1.94-2.76),4.93,6.42
astrocytes 5,423,0.111,21.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91),3.43,5.04
oligodendrocyte progenitor cells 7,4285,0.102,11.0,353,79,22.38,2.29 (2.03-2.56),274,77.62,4.45 (4.28-4.63),18.30,5.11
GABA neurons expressing GLU receptors 22,567,0.193,50.0,16,2,12.5,3.25 (0.69-5.82),14,87.5,1.76 (1.12-2.40),2.11,3.85
GLU like neurons 17,637,0.201,64.0,91,11,12.09,1.02 (0.54-1.50),80,87.91,5.23 (4.80-5.65),3.80,2.96
da like neurons 11,172,0.268,61.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86),NA,2.87
GABA neurons expressing GABA receptors 13,200,0.189,73.0,34,2,5.88,3.66 (3.64-3.69),32,94.12,3.91 (2.95-4.87),1.69,3.60
endothelial cells 9,1653,0.171,79.0,297,16,5.39,3.69 (2.92-4.47),281,94.61,3.67 (3.46-3.88),6.40,5.47
oligodendrocytes 20,676,0.564,85.0,110,10,9.09,2.14 (1.11-3.17),100,90.91,5.32 (4.89-5.74),3.27,3.55
GABA like neurons 14,1300,0.162,28.0,306,12,3.92,2.05 (1.35-2.74),294,96.08,5.28 (5.03-5.53),6.05,6.73
astrocytes 8,771,0.158,57.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,218,0.328,65.0,1,1,100.0,2.68 (NA-NA),0,0.0,NA,2.31,NA
oligodendrocytes 10,236,0.586,75.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51),NA,3.84
connective tissue cells 21,152,0.317,73.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52),NA,2.22
astrocytes 15,458,0.051,19.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,153,0.379,57.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40),NA,2.89
da neurons 6,398,0.173,58.0,138,15,10.87,2.08 (1.44-2.72),123,89.13,5.23 (4.88-5.58),2.32,2.79
astrocytes microglia 23,190,0.231,25.0,7,1,14.29,3.22 (NA-NA),6,85.71,5.16 (4.09-6.24),1.81,1.81
astrocytes 4,220,0.133,29.0,63,2,3.17,1.93 (1.64-2.21),61,96.83,5.27 (4.72-5.82),2.35,3.32
oligodendrocytes 0,261,0.215,72.0,42,12,28.57,1.93 (1.24-2.63),30,71.43,5.34 (4.89-5.79),2.02,2.37
microglia 1,958,0.138,83.0,290,16,5.52,2.27 (1.58-2.96),274,94.48,3.91 (3.68-4.15),5.86,4.95
oligodendrocytes 3,116,0.302,75.0,7,4,57.14,0.96 (0.79-1.12),3,42.86,5.55 (4.15-6.96),1.55,1.36
oligodendrocytes 2,347,0.158,29.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
