tipo_celular,module_size,MT-ND5_MM,MT-ND5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352,0.267,82.0,73,5,6.85,4.91 (NA-NA),68,93.15,3.54 (3.19-3.89),2.06,3.31
T cells 18,388,0.115,28.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30),NA,4.32
astrocytes 5,228,0.171,48.0,266,80,30.08,3.39 (3.09-3.69),186,69.92,4.57 (4.31-4.83),6.23,4.44
oligodendrocyte progenitor cells 7,296,0.156,33.0,251,37,14.74,3.75 (3.54-3.95),214,85.26,4.15 (3.85-4.44),6.40,6.11
GABA neurons expressing GLU receptors 22,192,0.733,96.0,55,45,81.82,3.94 (3.58-4.29),10,18.18,4.41 (2.73-6.10),3.71,1.58
GLU like neurons 17,637,0.144,44.0,91,12,13.19,1.08 (0.54-1.62),79,86.81,5.22 (4.78-5.65),3.89,2.93
da like neurons 11,1220,0.233,66.0,410,84,20.49,3.80 (3.54-4.06),326,79.51,4.40 (4.17-4.64),14.88,5.62
GABA neurons expressing GABA receptors 13,238,0.237,80.0,36,2,5.56,NA,34,94.44,3.88 (3.35-4.40),1.95,18.12
endothelial cells 9,338,0.175,66.0,191,16,8.38,3.35 (2.85-3.85),175,91.62,3.94 (3.70-4.18),3.08,9.71
oligodendrocytes 20,275,0.09,10.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,1300,0.047,2.0,306,14,4.58,2.55 (1.93-3.17),292,95.42,5.28 (5.02-5.54),3.89,6.84
astrocytes 8,47,0.458,79.0,76,26,34.21,4.06 (3.39-4.74),50,65.79,4.01 (3.68-4.34),5.07,4.37
oligodendrocyte progenitor cells 12,143,0.353,17.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,1.31
oligodendrocytes 10,735,0.286,99.0,277,20,7.22,3.97 (3.88-4.06),257,92.78,3.89 (3.62-4.15),4.51,9.29
connective tissue cells 21,112,0.283,71.0,7,1,14.29,2.14 (NA-NA),6,85.71,1.92 (1.00-2.84),1.92,1.94
astrocytes 15,208,0.06,34.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36),NA,2.82
oligodendrocytes 16,199,0.174,58.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66),NA,4.76
da neurons 6,553,0.316,97.0,124,5,4.03,2.37 (0.94-3.80),119,95.97,4.27 (3.87-4.67),2.46,3.06
astrocytes microglia 23,46,0.599,76.0,73,67,91.78,3.90 (3.62-4.18),6,8.22,6.54 (5.58-7.51),5.48,3.04
astrocytes 4,157,0.396,90.0,178,76,42.7,3.43 (3.11-3.75),102,57.3,4.94 (4.59-5.30),5.62,3.66
oligodendrocytes 0,116,0.377,89.0,169,15,8.88,3.16 (2.60-3.71),154,91.12,4.40 (4.08-4.71),3.51,6.78
microglia 1,214,0.181,51.0,227,70,30.84,3.80 (3.55-4.06),157,69.16,4.27 (3.93-4.61),8.77,4.94
oligodendrocytes 3,32,0.509,68.0,81,73,90.12,3.90 (3.62-4.18),8,9.88,5.61 (4.17-7.06),8.37,3.24
oligodendrocytes 2,99,0.362,74.0,116,13,11.21,3.22 (2.63-3.81),103,88.79,4.05 (3.73-4.38),3.11,7.76
