tipo_celular,module_size,CANX_MM,CANX_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.169,57.0,97,10,10.31,4.99 (3.65-6.32),87,89.69,2.87 (2.48-3.26),4.00,5.01
T cells 18,282,0.202,65.0,241,5,2.07,3.46 (2.42-4.50),236,97.93,4.07 (3.82-4.33),2.34,4.38
astrocytes 5,228,0.194,59.0,266,30,11.28,2.70 (2.10-3.30),236,88.72,4.33 (4.12-4.53),9.48,4.41
oligodendrocyte progenitor cells 7,628,0.251,83.0,164,10,6.1,3.92 (2.93-4.90),154,93.9,4.10 (3.75-4.44),7.56,7.52
GABA neurons expressing GLU receptors 22,848,0.44,95.0,262,30,11.45,3.60 (2.94-4.26),232,88.55,4.25 (3.98-4.51),7.30,3.69
GLU like neurons 17,1316,0.232,98.0,101,1,0.99,5.75 (NA-NA),100,99.01,3.02 (2.67-3.37),2.97,3.05
da like neurons 11,1220,0.354,89.0,410,32,7.8,3.72 (3.14-4.31),378,92.2,4.30 (4.11-4.50),14.30,6.94
GABA neurons expressing GABA receptors 13,357,0.339,93.0,237,7,2.95,4.05 (2.75-5.35),230,97.05,4.42 (4.18-4.66),5.02,4.16
endothelial cells 9,338,0.249,79.0,191,3,1.57,4.54 (2.10-6.97),188,98.43,3.87 (3.65-4.10),5.11,9.22
oligodendrocytes 20,358,0.096,29.0,31,4,12.9,3.77 (3.66-3.88),27,87.1,2.14 (1.70-2.58),1.79,4.13
GABA like neurons 14,2402,0.284,63.0,455,47,10.33,2.78 (2.24-3.32),408,89.67,4.57 (4.39-4.76),21.18,7.41
astrocytes 8,520,0.288,86.0,288,33,11.46,3.55 (3.03-4.07),255,88.54,4.27 (4.05-4.48),10.47,3.94
oligodendrocyte progenitor cells 12,3303,0.102,76.0,276,28,10.14,2.58 (2.00-3.16),248,89.86,3.69 (3.46-3.92),10.98,4.45
oligodendrocytes 10,806,0.369,87.0,261,20,7.66,3.55 (2.75-4.35),241,92.34,4.44 (4.19-4.69),7.23,5.97
connective tissue cells 21,118,0.365,78.0,2,1,50.0,6.60 (NA-NA),1,50.0,NA,2.43,3.95
astrocytes 15,443,0.119,25.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,313,0.363,83.0,291,24,8.25,3.74 (2.98-4.49),267,91.75,4.40 (4.17-4.63),6.00,3.62
da neurons 6,300,0.311,89.0,159,7,4.4,6.43 (6.24-6.62),152,95.6,4.24 (3.93-4.55),2.58,3.78
astrocytes microglia 23,91,0.237,39.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA),NA,6.41
astrocytes 4,157,0.178,50.0,178,27,15.17,2.67 (2.01-3.34),151,84.83,4.45 (4.19-4.72),6.18,4.20
oligodendrocytes 0,613,0.141,49.0,127,9,7.09,3.19 (2.35-4.03),118,92.91,3.03 (2.58-3.49),3.52,6.49
microglia 1,214,0.249,72.0,227,11,4.85,3.76 (2.49-5.04),216,95.15,4.11 (3.87-4.35),14.53,5.69
oligodendrocytes 3,457,0.189,78.0,345,30,8.7,3.72 (3.09-4.34),315,91.3,4.34 (4.12-4.56),13.08,4.99
oligodendrocytes 2,528,0.273,79.0,175,20,11.43,3.93 (3.12-4.75),155,88.57,4.45 (4.07-4.83),11.55,3.73
