tipo_celular,module_size,CMIP_MM,CMIP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360,0.185,49.0,102,5,4.9,2.60 (1.60-3.61),97,95.1,3.55 (3.17-3.92),5.94,2.88
T cells 18,349,0.121,25.0,68,0,0.0,NA,68,100.0,4.37 (3.81-4.93),NA,3.31
astrocytes 5,932,0.166,96.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,666,0.166,50.0,127,0,0.0,NA,127,100.0,3.83 (3.49-4.17),NA,5.84
GABA neurons expressing GLU receptors 22,192,0.138,57.0,55,0,0.0,NA,55,100.0,4.03 (3.61-4.44),NA,3.32
GLU like neurons 17,1247,0.156,66.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,215,0.285,77.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52),NA,5.38
GABA neurons expressing GABA receptors 13,200,0.129,33.0,34,1,2.94,3.65 (NA-NA),33,97.06,3.90 (2.98-4.81),2.02,3.53
endothelial cells 9,658,0.287,75.0,120,0,0.0,NA,120,100.0,4.61 (4.29-4.92),NA,3.65
oligodendrocytes 20,403,0.115,47.0,18,7,38.89,0.99 (0.31-1.67),11,61.11,2.44 (1.55-3.33),5.49,2.71
GABA like neurons 14,1300,0.254,72.0,306,2,0.65,2.73 (1.19-4.28),304,99.35,5.11 (4.85-5.38),3.78,6.73
astrocytes 8,1266,0.152,88.0,66,12,18.18,1.75 (1.05-2.45),54,81.82,3.62 (3.19-4.05),4.82,2.54
oligodendrocyte progenitor cells 12,3303,0.108,82.0,276,8,2.9,2.14 (1.48-2.81),268,97.1,3.60 (3.38-3.82),25.62,4.50
oligodendrocytes 10,2107,0.231,78.0,358,15,4.19,1.58 (0.98-2.19),343,95.81,4.00 (3.81-4.19),51.70,7.63
connective tissue cells 21,100,0.366,87.0,8,0,0.0,NA,8,100.0,1.58 (-0.37-3.52),NA,1.97
astrocytes 15,458,0.091,48.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,85,0.273,80.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,307,0.189,88.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28),NA,3.36
astrocytes microglia 23,229,0.288,48.0,99,0,0.0,NA,99,100.0,4.30 (3.96-4.63),NA,3.24
astrocytes 4,514,0.169,42.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79),NA,4.64
oligodendrocytes 0,309,0.106,21.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,315,0.14,34.0,144,0,0.0,NA,144,100.0,4.46 (4.15-4.77),NA,4.21
oligodendrocytes 3,242,0.098,30.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94),NA,2.04
oligodendrocytes 2,131,0.144,24.0,20,0,0.0,NA,20,100.0,4.51 (3.77-5.25),NA,3.82
