tipo_celular,module_size,RAB7A_MM,RAB7A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,249,0.198,76.0,35,6,17.14,3.96 (2.98-4.95),29,82.86,3.70 (2.57-4.83),2.52,2.95
T cells 18,282,0.201,70.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,322,0.184,55.0,58,9,15.52,2.52 (1.94-3.11),49,84.48,4.54 (4.12-4.97),2.17,2.35
oligodendrocyte progenitor cells 7,4285,0.127,38.0,353,79,22.38,3.04 (2.66-3.43),274,77.62,4.22 (4.03-4.42),13.68,6.44
GABA neurons expressing GLU receptors 22,567,0.256,73.0,16,4,25.0,2.47 (2.02-2.92),12,75.0,1.77 (0.87-2.68),1.54,4.33
GLU like neurons 17,1316,0.137,62.0,101,8,7.92,4.03 (3.11-4.95),93,92.08,2.94 (2.58-3.31),3.10,3.05
da like neurons 11,289,0.166,41.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,266,0.098,12.0,118,16,13.56,4.58 (3.99-5.18),102,86.44,4.77 (4.36-5.18),2.39,4.24
endothelial cells 9,412,0.222,67.0,141,13,9.22,2.84 (2.14-3.54),128,90.78,2.97 (2.72-3.23),3.26,7.18
oligodendrocytes 20,938,0.127,51.0,169,36,21.3,3.12 (2.71-3.54),133,78.7,3.57 (3.32-3.83),5.68,5.28
GABA like neurons 14,3052,0.189,87.0,125,2,1.6,3.81 (NA-NA),123,98.4,3.35 (3.02-3.67),1.84,8.72
astrocytes 8,354,0.162,73.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,3303,0.094,69.0,276,58,21.01,2.89 (2.56-3.21),218,78.99,3.79 (3.53-4.06),7.27,4.54
oligodendrocytes 10,2107,0.152,52.0,358,68,18.99,2.87 (2.43-3.31),290,81.01,4.19 (4.00-4.38),14.46,8.30
connective tissue cells 21,91,0.296,59.0,4,0,0.0,NA,4,100.0,0.35 (0.26-0.44),NA,2.51
astrocytes 15,1401,0.107,69.0,96,13,13.54,2.87 (2.16-3.57),83,86.46,3.76 (3.25-4.27),3.87,3.79
oligodendrocytes 16,78,0.131,11.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,228,0.128,72.0,2,1,50.0,3.28 (NA-NA),1,50.0,0.95 (NA-NA),1.75,2.23
astrocytes microglia 23,327,0.177,6.0,120,64,53.33,2.71 (2.41-3.01),56,46.67,4.64 (4.27-5.01),3.10,2.45
astrocytes 4,514,0.177,47.0,95,13,13.68,2.40 (1.78-3.03),82,86.32,3.58 (3.10-4.06),2.47,4.98
oligodendrocytes 0,1186,0.121,18.0,300,14,4.67,3.61 (3.12-4.09),286,95.33,3.80 (3.59-4.02),4.44,4.14
microglia 1,480,0.162,36.0,163,16,9.82,3.36 (2.88-3.84),147,90.18,3.75 (3.46-4.03),3.87,5.31
oligodendrocytes 3,1003,0.06,12.0,111,2,1.8,4.69 (0.81-8.57),109,98.2,3.27 (2.93-3.62),1.51,4.28
oligodendrocytes 2,921,0.086,2.0,200,20,10.0,3.60 (2.94-4.25),180,90.0,3.62 (3.34-3.91),4.05,3.40
