tipo_celular,module_size,RAB1A_MM,RAB1A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360,0.147,31.0,102,30,29.41,2.44 (1.95-2.93),72,70.59,3.97 (3.54-4.41),4.10,2.59
T cells 18,610,0.145,45.0,98,31,31.63,2.39 (1.83-2.96),67,68.37,3.51 (3.17-3.85),5.04,3.57
astrocytes 5,423,0.121,30.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91),3.43,5.04
oligodendrocyte progenitor cells 7,4285,0.147,69.0,353,68,19.26,2.92 (2.51-3.33),285,80.74,4.19 (4.00-4.38),15.01,6.41
GABA neurons expressing GLU receptors 22,823,0.184,53.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23),2.12,3.48
GLU like neurons 17,685,0.121,43.0,135,39,28.89,2.26 (1.87-2.65),96,71.11,3.52 (3.16-3.89),3.92,3.68
da like neurons 11,102,0.175,30.0,8,1,12.5,0.95 (NA-NA),7,87.5,3.07 (2.93-3.20),2.05,1.90
GABA neurons expressing GABA receptors 13,88,0.128,27.0,2,1,50.0,NA,1,50.0,NA,1.72,1.62
endothelial cells 9,412,0.14,32.0,141,11,7.8,2.77 (1.90-3.65),130,92.2,2.98 (2.73-3.23),3.43,7.11
oligodendrocytes 20,228,0.195,49.0,5,3,60.0,1.91 (0.06-3.75),2,40.0,5.27 (2.10-8.45),3.04,1.60
GABA like neurons 14,3052,0.089,12.0,125,2,1.6,3.81 (NA-NA),123,98.4,3.35 (3.02-3.67),1.84,8.72
astrocytes 8,577,0.089,54.0,83,4,4.82,1.79 (1.12-2.46),79,95.18,3.34 (2.88-3.81),2.56,4.57
oligodendrocyte progenitor cells 12,3303,0.128,93.0,276,51,18.48,2.94 (2.54-3.34),225,81.52,3.73 (3.48-3.98),7.03,4.67
oligodendrocytes 10,2107,0.184,64.0,358,59,16.48,2.46 (2.06-2.86),299,83.52,4.24 (4.06-4.43),16.59,8.07
connective tissue cells 21,110,0.192,12.0,13,3,23.08,2.65 (0.96-4.35),10,76.92,3.25 (2.27-4.23),1.78,1.68
astrocytes 15,367,0.09,19.0,17,1,5.88,2.91 (NA-NA),16,94.12,2.03 (1.01-3.05),1.87,3.39
oligodendrocytes 16,71,0.261,88.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.45
da neurons 6,409,0.086,21.0,235,7,2.98,3.67 (2.11-5.23),228,97.02,3.99 (3.73-4.24),4.62,4.41
astrocytes microglia 23,327,0.174,6.0,120,46,38.33,2.72 (2.28-3.15),74,61.67,4.17 (3.83-4.51),3.10,2.60
astrocytes 4,514,0.123,12.0,95,4,4.21,1.14 (0.66-1.61),91,95.79,3.50 (3.07-3.92),3.10,4.71
oligodendrocytes 0,1186,0.145,50.0,300,5,1.67,2.97 (2.43-3.52),295,98.33,3.81 (3.60-4.02),1.86,4.19
microglia 1,480,0.223,65.0,163,5,3.07,3.69 (2.25-5.13),158,96.93,3.71 (3.44-3.98),2.77,5.24
oligodendrocytes 3,1003,0.071,21.0,111,2,1.8,3.78 (1.69-5.87),109,98.2,3.29 (2.94-3.64),2.55,4.26
oligodendrocytes 2,921,0.136,46.0,200,18,9.0,3.28 (2.54-4.03),182,91.0,3.66 (3.37-3.94),4.30,3.38
