tipo_celular,module_size,NAP1L4_MM,NAP1L4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.096,9.0,98,7,7.14,1.79 (1.10-2.48),91,92.86,3.37 (2.87-3.88),15.06,13.33
T cells 18,388,0.149,49.0,84,1,1.19,NA,83,98.81,2.97 (2.65-3.30),3.72,4.33
astrocytes 5,1141,0.057,0.0,166,12,7.23,2.34 (1.28-3.41),154,92.77,3.48 (3.23-3.74),5.25,4.50
oligodendrocyte progenitor cells 7,628,0.106,9.0,164,1,0.61,5.16 (NA-NA),163,99.39,4.08 (3.75-4.40),3.86,7.55
GABA neurons expressing GLU receptors 22,848,0.279,72.0,262,10,3.82,2.47 (1.40-3.54),252,96.18,4.25 (4.01-4.50),5.15,4.06
GLU like neurons 17,380,0.165,44.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52),NA,2.57
da like neurons 11,1220,0.101,16.0,410,7,1.71,3.06 (2.06-4.07),403,98.29,4.28 (4.09-4.47),11.67,7.44
GABA neurons expressing GABA receptors 13,266,0.062,0.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09),NA,3.99
endothelial cells 9,450,0.068,6.0,74,1,1.35,1.74 (NA-NA),73,98.65,5.54 (5.00-6.08),4.42,3.63
oligodendrocytes 20,938,0.164,67.0,169,6,3.55,2.61 (0.86-4.36),163,96.45,3.52 (3.30-3.74),3.17,5.44
GABA like neurons 14,2402,0.218,47.0,455,17,3.74,1.98 (1.19-2.77),438,96.26,4.47 (4.29-4.65),29.27,8.04
astrocytes 8,771,0.085,34.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,218,0.206,43.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,735,0.061,20.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,139,0.235,21.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73),NA,2.05
astrocytes 15,1768,0.14,88.0,105,9,8.57,1.48 (0.92-2.05),96,91.43,3.39 (3.04-3.73),5.35,3.85
oligodendrocytes 16,74,0.203,62.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,300,0.109,27.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67),NA,3.73
astrocytes microglia 23,190,0.187,4.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92),NA,1.81
astrocytes 4,752,0.112,5.0,96,2,2.08,1.57 (1.57-1.57),94,97.92,3.34 (3.00-3.67),2.74,4.35
oligodendrocytes 0,613,0.17,74.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46),NA,6.28
microglia 1,1615,0.084,15.0,161,16,9.94,1.44 (0.67-2.21),145,90.06,3.51 (3.25-3.77),11.84,4.72
oligodendrocytes 3,681,0.124,73.0,87,10,11.49,1.36 (0.91-1.81),77,88.51,2.74 (2.46-3.02),4.86,4.16
oligodendrocytes 2,347,0.143,19.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
