tipo_celular,module_size,ATXN3_MM,ATXN3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.132,32.0,97,9,9.28,3.92 (2.96-4.88),88,90.72,2.95 (2.53-3.37),4.23,4.97
T cells 18,477,0.137,33.0,43,1,2.33,NA,42,97.67,2.03 (1.52-2.53),1.93,7.25
astrocytes 5,932,0.102,41.0,80,1,1.25,4.57 (NA-NA),79,98.75,3.66 (3.24-4.07),2.07,4.33
oligodendrocyte progenitor cells 7,4285,0.135,50.0,353,75,21.25,2.66 (2.35-2.98),278,78.75,4.33 (4.14-4.53),18.19,5.33
GABA neurons expressing GLU receptors 22,1069,0.215,82.0,37,2,5.41,2.13 (0.94-3.32),35,94.59,2.16 (1.68-2.64),2.24,3.15
GLU like neurons 17,1316,0.071,8.0,101,7,6.93,2.92 (2.11-3.74),94,93.07,3.06 (2.69-3.43),2.82,3.07
da like neurons 11,101,0.064,2.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,101,0.207,86.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85),NA,1.99
endothelial cells 9,1653,0.135,56.0,297,8,2.69,3.33 (2.71-3.94),289,97.31,3.68 (3.47-3.89),7.78,5.46
oligodendrocytes 20,221,0.296,81.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,3052,0.121,35.0,125,6,4.8,3.08 (2.95-3.22),119,95.2,3.36 (3.03-3.69),2.84,8.90
astrocytes 8,1266,0.069,36.0,66,26,39.39,2.14 (1.63-2.65),40,60.61,4.14 (3.70-4.57),3.60,2.53
oligodendrocyte progenitor cells 12,3303,0.094,69.0,276,59,21.38,2.67 (2.35-2.99),217,78.62,3.83 (3.57-4.08),9.61,3.89
oligodendrocytes 10,2107,0.043,4.0,358,75,20.95,2.58 (2.26-2.91),283,79.05,4.32 (4.12-4.52),20.68,6.50
connective tissue cells 21,136,0.291,55.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA),NA,1.93
astrocytes 15,1401,0.029,3.0,96,11,11.46,2.95 (2.01-3.89),85,88.54,3.72 (3.22-4.22),4.30,3.73
oligodendrocytes 16,86,0.161,35.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553,0.087,19.0,124,8,6.45,3.10 (2.04-4.16),116,93.55,4.28 (3.86-4.69),2.93,3.04
astrocytes microglia 23,57,0.282,27.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721,0.179,92.0,61,7,11.48,3.33 (2.52-4.14),54,88.52,2.92 (2.46-3.37),3.53,6.34
oligodendrocytes 0,1186,0.115,12.0,300,16,5.33,4.11 (3.56-4.65),284,94.67,3.77 (3.56-3.99),3.98,4.17
microglia 1,1615,0.109,49.0,161,52,32.3,2.52 (2.13-2.90),109,67.7,3.73 (3.41-4.06),9.37,3.55
oligodendrocytes 3,242,0.056,5.0,6,2,33.33,5.55 (5.23-5.87),4,66.67,6.20 (4.76-7.64),2.09,2.02
oligodendrocytes 2,407,0.135,28.0,122,44,36.07,2.56 (2.03-3.08),78,63.93,3.93 (3.43-4.43),3.01,2.52
