tipo_celular,module_size,SF1_MM,SF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.064,2.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49),NA,2.34
T cells 18,518,0.164,58.0,131,7,5.34,3.30 (2.68-3.92),124,94.66,3.06 (2.77-3.35),4.22,4.78
astrocytes 5,1141,0.103,16.0,166,34,20.48,2.13 (1.74-2.53),132,79.52,3.79 (3.52-4.06),6.35,4.08
oligodendrocyte progenitor cells 7,628,0.147,37.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41),NA,7.53
GABA neurons expressing GLU receptors 22,1069,0.109,13.0,37,4,10.81,2.23 (1.51-2.95),33,89.19,2.15 (1.63-2.66),2.83,3.13
GLU like neurons 17,685,0.13,49.0,135,24,17.78,1.87 (1.42-2.32),111,82.22,3.54 (3.21-3.87),4.41,3.61
da like neurons 11,408,0.135,37.0,25,9,36.0,1.82 (0.87-2.77),16,64.0,6.90 (5.94-7.86),2.15,2.35
GABA neurons expressing GABA receptors 13,77,0.203,75.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85),NA,1.97
endothelial cells 9,916,0.082,9.0,302,4,1.32,2.48 (0.49-4.48),298,98.68,4.01 (3.78-4.24),22.28,10.50
oligodendrocytes 20,275,0.168,36.0,17,1,5.88,NA,16,94.12,1.72 (1.15-2.29),1.67,4.46
GABA like neurons 14,2402,0.238,53.0,455,40,8.79,2.26 (1.87-2.66),415,91.21,4.62 (4.44-4.80),17.97,7.95
astrocytes 8,603,0.069,43.0,89,15,16.85,2.14 (1.50-2.78),74,83.15,2.93 (2.53-3.33),5.57,6.14
oligodendrocyte progenitor cells 12,1049,0.124,66.0,235,11,4.68,3.50 (3.10-3.89),224,95.32,3.84 (3.60-4.09),10.85,7.46
oligodendrocytes 10,2107,0.13,43.0,358,64,17.88,2.29 (1.92-2.66),294,82.12,4.35 (4.17-4.53),25.07,6.08
connective tissue cells 21,114,0.2,14.0,11,3,27.27,2.25 (-0.64-5.14),8,72.73,1.33 (0.31-2.35),2.32,2.07
astrocytes 15,1768,0.116,76.0,105,33,31.43,2.39 (1.87-2.92),72,68.57,3.62 (3.22-4.01),5.73,3.18
oligodendrocytes 16,155,0.119,1.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24),1.69,1.63
da neurons 6,398,0.078,7.0,138,13,9.42,2.61 (1.56-3.65),125,90.58,5.10 (4.74-5.46),2.56,2.75
astrocytes microglia 23,255,0.238,32.0,57,2,3.51,1.92 (NA-NA),55,96.49,2.67 (2.30-3.03),1.63,3.39
astrocytes 4,721,0.108,3.0,61,7,11.48,2.86 (2.18-3.54),54,88.52,2.98 (2.52-3.44),2.20,6.52
oligodendrocytes 0,2078,0.089,9.0,238,8,3.36,2.77 (1.54-3.99),230,96.64,3.67 (3.45-3.90),10.21,4.84
microglia 1,406,0.114,23.0,278,3,1.08,3.86 (2.99-4.74),275,98.92,4.37 (4.09-4.65),26.83,6.52
oligodendrocytes 3,1003,0.124,73.0,111,3,2.7,3.90 (2.39-5.42),108,97.3,3.28 (2.93-3.63),4.10,4.23
oligodendrocytes 2,804,0.07,1.0,84,6,7.14,1.18 (0.65-1.72),78,92.86,2.84 (2.49-3.18),2.86,3.44
