tipo_celular,module_size,PKM_MM,PKM_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172,0.269,78.0,140,48,34.29,5.13 (4.52-5.74),92,65.71,4.22 (3.69-4.76),2.97,3.89
T cells 18,282,0.195,62.0,241,42,17.43,4.77 (4.19-5.36),199,82.57,3.91 (3.64-4.18),4.43,4.32
astrocytes 5,228,0.2,63.0,266,48,18.05,3.19 (2.75-3.63),218,81.95,4.30 (4.08-4.53),8.10,4.29
oligodendrocyte progenitor cells 7,296,0.351,92.0,251,27,10.76,4.21 (3.81-4.62),224,89.24,4.05 (3.79-4.31),6.56,6.10
GABA neurons expressing GLU receptors 22,848,0.54,99.0,262,42,16.03,3.41 (2.93-3.90),220,83.97,4.29 (4.02-4.56),5.77,3.79
GLU like neurons 17,1316,0.216,96.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41),2.99,3.05
da like neurons 11,1220,0.434,95.0,410,51,12.44,3.69 (3.37-4.00),359,87.56,4.33 (4.12-4.54),14.08,6.58
GABA neurons expressing GABA receptors 13,357,0.364,95.0,237,11,4.64,4.65 (3.83-5.48),226,95.36,4.40 (4.16-4.64),3.54,4.22
endothelial cells 9,338,0.269,82.0,191,3,1.57,3.36 (3.01-3.71),188,98.43,3.90 (3.67-4.12),3.64,9.25
oligodendrocytes 20,295,0.074,13.0,28,9,32.14,2.72 (2.18-3.27),19,67.86,1.95 (1.36-2.55),1.93,3.61
GABA like neurons 14,2402,0.561,93.0,455,65,14.29,2.94 (2.50-3.38),390,85.71,4.61 (4.42-4.80),17.79,7.34
astrocytes 8,520,0.35,92.0,288,43,14.93,3.46 (3.16-3.76),245,85.07,4.28 (4.06-4.51),8.06,4.09
oligodendrocyte progenitor cells 12,3303,0.1,74.0,276,65,23.55,2.57 (2.28-2.86),211,76.45,3.94 (3.68-4.20),8.05,4.20
oligodendrocytes 10,806,0.435,93.0,261,21,8.05,3.48 (3.10-3.87),240,91.95,4.43 (4.18-4.69),5.17,6.14
connective tissue cells 21,301,0.347,45.0,158,22,13.92,3.07 (2.42-3.73),136,86.08,4.45 (4.05-4.85),12.64,6.17
astrocytes 15,1401,0.151,90.0,96,8,8.33,3.30 (2.28-4.31),88,91.67,3.64 (3.16-4.13),1.93,3.97
oligodendrocytes 16,313,0.52,96.0,291,21,7.22,3.54 (2.77-4.31),270,92.78,4.37 (4.14-4.60),3.43,3.85
da neurons 6,300,0.365,95.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67),NA,3.73
astrocytes microglia 23,70,0.297,41.0,76,0,0.0,NA,76,100.0,4.20 (3.69-4.72),NA,4.53
astrocytes 4,208,0.185,43.0,173,17,9.83,3.70 (3.27-4.13),156,90.17,3.80 (3.49-4.12),4.14,5.78
oligodendrocytes 0,116,0.233,70.0,169,3,1.78,4.65 (2.84-6.45),166,98.22,4.27 (3.96-4.57),2.12,6.57
microglia 1,214,0.32,84.0,227,35,15.42,3.95 (3.69-4.22),192,84.58,4.11 (3.84-4.38),10.25,5.37
oligodendrocytes 3,457,0.341,95.0,345,24,6.96,3.52 (3.14-3.89),321,93.04,4.31 (4.10-4.53),13.68,5.09
oligodendrocytes 2,99,0.332,71.0,116,4,3.45,3.53 (3.39-3.67),112,96.55,3.98 (3.66-4.29),2.79,7.39
