tipo_celular,module_size,CUL5_MM,CUL5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,181,0.131,10.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07),NA,4.68
T cells 18,727,0.087,8.0,49,10,20.41,4.11 (3.34-4.89),39,79.59,2.12 (1.75-2.49),4.94,6.57
astrocytes 5,1141,0.129,46.0,166,34,20.48,3.02 (2.55-3.49),132,79.52,3.50 (3.21-3.79),5.55,4.29
oligodendrocyte progenitor cells 7,4285,0.14,58.0,353,49,13.88,2.83 (2.39-3.28),304,86.12,4.10 (3.90-4.29),19.07,6.29
GABA neurons expressing GLU receptors 22,567,0.132,20.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,489,0.113,33.0,42,1,2.38,2.68 (NA-NA),41,97.62,6.11 (5.58-6.64),2.25,3.24
da like neurons 11,59,0.093,18.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,266,0.121,25.0,118,2,1.69,3.03 (2.35-3.71),116,98.31,4.77 (4.42-5.13),2.65,4.02
endothelial cells 9,1653,0.109,35.0,297,22,7.41,3.88 (3.42-4.34),275,92.59,3.66 (3.44-3.87),7.61,5.35
oligodendrocytes 20,298,0.186,66.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,2402,0.149,25.0,455,30,6.59,2.77 (2.12-3.41),425,93.41,4.49 (4.30-4.67),16.86,8.27
astrocytes 8,1266,0.038,5.0,66,11,16.67,1.76 (0.97-2.54),55,83.33,3.58 (3.15-4.01),3.97,2.75
oligodendrocyte progenitor cells 12,3303,0.113,85.0,276,41,14.86,2.92 (2.47-3.37),235,85.14,3.67 (3.43-3.91),10.34,4.20
oligodendrocytes 10,2107,0.131,43.0,358,57,15.92,2.77 (2.37-3.17),301,84.08,4.13 (3.93-4.34),17.24,8.00
connective tissue cells 21,91,0.358,80.0,4,0,0.0,NA,4,100.0,0.35 (0.26-0.44),NA,2.51
astrocytes 15,377,0.126,30.0,14,2,14.29,1.06 (-0.23-2.34),12,85.71,2.41 (0.91-3.90),3.07,2.35
oligodendrocytes 16,113,0.111,0.0,10,1,10.0,6.31 (NA-NA),9,90.0,2.56 (2.18-2.95),1.70,1.91
da neurons 6,398,0.082,10.0,138,12,8.7,2.14 (1.38-2.90),126,91.3,5.13 (4.77-5.49),2.69,2.74
astrocytes microglia 23,58,0.189,6.0,6,0,0.0,NA,6,100.0,5.75 (NA-NA),NA,2.04
astrocytes 4,721,0.15,47.0,61,7,11.48,4.13 (3.90-4.36),54,88.52,2.80 (2.35-3.25),3.18,6.39
oligodendrocytes 0,1186,0.145,50.0,300,8,2.67,3.56 (2.90-4.23),292,97.33,3.80 (3.59-4.01),3.77,4.17
microglia 1,813,0.096,24.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,1003,0.096,51.0,111,4,3.6,3.56 (NA-NA),107,96.4,3.30 (2.95-3.65),3.66,4.25
oligodendrocytes 2,804,0.118,12.0,84,28,33.33,3.21 (2.67-3.76),56,66.67,2.39 (1.99-2.80),3.79,3.20
