tipo_celular,module_size,RAB10_MM,RAB10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.202,54.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52),NA,5.26
T cells 18,610,0.119,24.0,98,20,20.41,2.21 (1.53-2.90),78,79.59,3.38 (3.05-3.72),6.43,3.42
astrocytes 5,932,0.119,65.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,448,0.185,77.0,108,2,1.85,5.50 (NA-NA),106,98.15,3.23 (2.79-3.67),1.65,17.41
GABA neurons expressing GLU receptors 22,1069,0.16,47.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,685,0.168,67.0,135,19,14.07,2.57 (1.94-3.19),116,85.93,3.26 (2.93-3.59),5.40,3.48
da like neurons 11,61,0.264,42.0,3,1,33.33,3.69 (NA-NA),2,66.67,NA,2.13,2.74
GABA neurons expressing GABA receptors 13,75,0.255,94.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46),NA,3.40
endothelial cells 9,1653,0.104,30.0,297,4,1.35,5.61 (2.90-8.31),293,98.65,3.65 (3.45-3.85),4.06,5.54
oligodendrocytes 20,228,0.162,35.0,5,3,60.0,1.91 (0.06-3.75),2,40.0,5.27 (2.10-8.45),3.04,1.60
GABA like neurons 14,2090,0.155,51.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,577,0.074,41.0,83,5,6.02,5.02 (3.57-6.47),78,93.98,3.14 (2.68-3.59),2.01,4.63
oligodendrocyte progenitor cells 12,138,0.52,83.0,5,3,60.0,4.33 (4.33-4.33),2,40.0,NA,1.49,3.47
oligodendrocytes 10,2107,0.168,57.0,358,36,10.06,2.76 (2.19-3.32),322,89.94,4.03 (3.83-4.22),16.19,8.72
connective tissue cells 21,82,0.25,35.0,19,0,0.0,NA,19,100.0,7.57 (7.32-7.82),NA,1.85
astrocytes 15,1768,0.169,96.0,105,19,18.1,2.57 (1.96-3.17),86,81.9,3.37 (2.99-3.75),3.80,4.02
oligodendrocytes 16,158,0.168,27.0,30,2,6.67,3.03 (0.90-5.17),28,93.33,2.27 (1.59-2.96),1.82,12.75
da neurons 6,398,0.076,6.0,138,21,15.22,3.60 (2.97-4.24),117,84.78,5.06 (4.65-5.47),3.30,2.63
astrocytes microglia 23,229,0.188,13.0,99,7,7.07,3.19 (2.74-3.65),92,92.93,4.39 (4.04-4.75),3.49,3.22
astrocytes 4,255,0.208,70.0,12,1,8.33,5.51 (NA-NA),11,91.67,4.44 (3.48-5.41),1.36,2.42
oligodendrocytes 0,613,0.175,77.0,127,7,5.51,3.47 (3.07-3.86),120,94.49,3.01 (2.56-3.46),3.22,6.46
microglia 1,813,0.112,45.0,79,11,13.92,3.28 (2.84-3.72),68,86.08,3.07 (2.60-3.54),2.80,8.73
oligodendrocytes 3,681,0.089,44.0,87,6,6.9,1.31 (0.34-2.28),81,93.1,2.69 (2.41-2.96),6.02,4.11
oligodendrocytes 2,528,0.151,19.0,175,36,20.57,3.55 (3.19-3.92),139,79.43,4.61 (4.18-5.03),9.44,3.37
