tipo_celular,module_size,ATP6V1C1_MM,ATP6V1C1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360,0.216,64.0,102,12,11.76,2.64 (1.51-3.77),90,88.24,3.62 (3.24-4.00),5.58,2.69
T cells 18,282,0.085,14.0,241,29,12.03,4.46 (3.85-5.07),212,87.97,4.00 (3.72-4.27),4.87,4.27
astrocytes 5,1656,0.105,32.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285,0.154,78.0,353,25,7.08,2.41 (1.52-3.29),328,92.92,4.03 (3.86-4.21),25.96,6.70
GABA neurons expressing GLU receptors 22,714,0.147,30.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00),1.76,3.81
GLU like neurons 17,1316,0.101,29.0,101,9,8.91,5.62 (4.92-6.31),92,91.09,2.88 (2.54-3.22),3.07,3.05
da like neurons 11,1220,0.202,58.0,410,51,12.44,3.79 (3.25-4.32),359,87.56,4.32 (4.12-4.52),11.07,7.01
GABA neurons expressing GABA receptors 13,238,0.074,2.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,338,0.135,51.0,191,38,19.9,4.33 (3.81-4.86),153,80.1,3.77 (3.53-4.02),5.25,10.13
oligodendrocytes 20,233,0.218,65.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,2402,0.234,52.0,455,49,10.77,3.43 (2.75-4.10),406,89.23,4.46 (4.27-4.65),16.73,7.88
astrocytes 8,520,0.116,50.0,288,49,17.01,3.99 (3.44-4.54),239,82.99,4.21 (4.00-4.42),8.02,4.00
oligodendrocyte progenitor cells 12,3303,0.136,96.0,276,17,6.16,2.31 (1.51-3.10),259,93.84,3.64 (3.42-3.86),9.14,4.85
oligodendrocytes 10,735,0.189,85.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,139,0.268,27.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78),NA,1.71
astrocytes 15,1768,0.076,40.0,105,11,10.48,3.05 (1.51-4.59),94,89.52,3.23 (2.91-3.56),5.81,3.76
oligodendrocytes 16,104,0.194,34.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA,1.45,NA
da neurons 6,307,0.137,64.0,95,1,1.05,4.08 (NA-NA),94,98.95,4.86 (4.41-5.30),1.36,3.38
astrocytes microglia 23,131,0.313,62.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787,0.155,57.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078,0.128,78.0,238,7,2.94,4.39 (2.17-6.62),231,97.06,3.61 (3.40-3.83),6.62,4.97
microglia 1,346,0.169,62.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27),NA,4.48
oligodendrocytes 3,457,0.09,34.0,345,42,12.17,4.30 (3.73-4.86),303,87.83,4.27 (4.05-4.49),12.02,4.82
oligodendrocytes 2,1630,0.131,28.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
